,,,,,,,,,,,,,,,,,,,,,,,,,,iShares Short-Term National Muni Bond ETF
NEW HAMPSHIRE ST,State Tax-Backed,Fixed Income,"11,369,827.67",0.17,"11,369,827.67","10,000,000.00",6446826V3,US6446826V36,-,113.28,United States,-,USD,2.75,0.41,1.0,"Dec 01, 2024",5.0,2.75,-,0.41,2.75,0.41,USD,"Dec 22, 2020","Dec 22, 2020"
MONTGOMERY CNTY MD,Local Tax-Backed,Fixed Income,"11,243,979.23",0.16,"11,243,979.23","10,310,000.00",61334PDN0,US61334PDN06,-,107.49,United States,-,USD,1.52,0.26,1.0,"Aug 01, 2023",5.0,1.52,-,0.26,1.52,0.26,USD,"Sep 08, 2021","Sep 08, 2021"
HILLSBOROUGH CNTY FLA SCH BRD,Prerefund/Escrow,Fixed Income,"11,227,992.78",0.16,"11,227,992.78","10,705,000.00",43232VUM1,US43232VUM17,-,102.39,United States,-,USD,0.49,0.22,1.0,"Jul 01, 2022",5.0,0.49,-,0.22,0.49,0.22,USD,"Apr 03, 2012","Apr 03, 2012"
METROPOLITAN TRANSN AUTH N Y R,Transportation,Fixed Income,"11,206,918.11",0.16,"11,206,918.11","9,380,000.00",59261APW1,US59261APW17,-,118.84,United States,-,USD,4.4,1.03,1.0,"Nov 15, 2026",5.0,4.39,-,1.03,4.39,1.03,USD,"Dec 14, 2017","Dec 14, 2017"
ALABAMA ST PUB SCH & COLLEGE A,State Tax-Backed,Fixed Income,"11,142,575.01",0.16,"11,142,575.01","9,965,000.00",010609AT2,US010609AT27,-,109.32,United States,-,USD,1.89,0.32,1.0,"Jan 01, 2024",5.0,1.89,-,0.32,1.89,0.32,USD,"Jul 10, 2014","Jul 10, 2014"
NORTH CAROLINA ST,State Tax-Backed,Fixed Income,"11,049,474.81",0.16,"11,049,474.81","9,900,000.00",6582564Y5,US6582564Y56,-,111.19,United States,-,USD,2.31,0.34,1.0,"Jun 01, 2024",5.0,2.3,-,0.34,2.3,0.34,USD,"Oct 22, 2020","Oct 22, 2020"
MASSACHUSETTS ST,State Tax-Backed,Fixed Income,"11,036,169.90",0.16,"11,036,169.90","10,500,000.00",57582PAC4,US57582PAC41,-,103.36,United States,-,USD,0.66,0.21,1.0,"Sep 01, 2022",5.25,0.65,-,0.21,0.65,0.21,USD,"Oct 18, 2006","Oct 18, 2006"
NORTH CAROLINA ST,State Tax-Backed,Fixed Income,"11,015,089.58",0.16,"11,015,089.58","9,190,000.00",658256Z54,US658256Z544,-,119.44,United States,-,USD,4.03,0.54,1.0,"Jun 01, 2026",5.0,4.03,-,0.54,4.03,0.54,USD,"Mar 09, 2016","Mar 09, 2016"
MARYLAND ST DEPT TRANSN CONS T,State Tax-Backed,Fixed Income,"11,011,517.67",0.16,"11,011,517.67","10,000,000.00",574204S61,US574204S615,-,108.95,United States,-,USD,1.84,0.31,1.0,"Dec 01, 2023",5.0,1.84,-,0.31,1.84,0.31,USD,"Oct 07, 2021","Oct 07, 2021"
UNIVERSITY UTAH UNIV REVS,Prerefund/Escrow,Fixed Income,"11,003,279.27",0.16,"11,003,279.27","10,045,000.00",915183SD0,US915183SD03,-,107.46,United States,-,USD,1.51,0.28,1.0,"Aug 01, 2023",5.0,1.51,-,0.28,1.51,0.28,USD,"Jul 30, 2013","Jul 30, 2013"
PENNSYLVANIA ST TPK COMMN TPK,Prerefund/Escrow,Fixed Income,"10,991,199.25",0.16,"10,991,199.25","10,050,000.00",7092242U2,US7092242U26,-,108.95,United States,-,USD,1.85,0.31,1.0,"Dec 01, 2023",5.0,1.85,-,0.31,1.85,0.31,USD,"Aug 20, 2013","Aug 20, 2013"
MASSACHUSETTS ST,State Tax-Backed,Fixed Income,"10,971,343.25",0.16,"10,971,343.25","10,030,000.00",57582RLN4,US57582RLN43,-,108.97,United States,-,USD,1.85,0.3,1.0,"Dec 01, 2023",5.0,1.85,-,0.3,1.85,0.3,USD,"Dec 08, 2016","Dec 08, 2016"
MARYLAND ST,State Tax-Backed,Fixed Income,"10,953,986.33",0.16,"10,953,986.33","10,000,000.00",574193SW9,US574193SW94,-,107.46,United States,-,USD,1.51,0.28,1.0,"Aug 01, 2023",5.0,1.51,-,0.28,1.51,0.28,USD,"Aug 05, 2020","Aug 05, 2020"
DENVER COLO CITY & CNTY SCH DI,School Districts,Fixed Income,"10,944,403.70",0.16,"10,944,403.70","9,360,000.00",249174YA5,US249174YA52,-,116.23,United States,-,USD,4.51,0.64,1.0,"Dec 01, 2026",4.0,4.51,-,0.64,4.51,0.64,USD,"Oct 28, 2021","Oct 28, 2021"
MASSACHUSETTS ST WTR POLLUTN A,Utility,Fixed Income,"10,891,898.43",0.16,"10,891,898.43","10,385,000.00",57605AFT8,US57605AFT88,-,102.8,United States,-,USD,0.57,0.2,1.0,"Aug 01, 2022",5.0,0.57,-,0.2,0.57,0.2,USD,"Jun 12, 2014","Jun 12, 2014"
NEW YORK N Y CITY TRANSITIONAL,Local Tax-Backed,Fixed Income,"10,890,309.35",0.16,"10,890,309.35","8,965,000.00",64971XYZ5,US64971XYZ58,-,120.64,United States,-,USD,4.37,0.65,1.0,"Nov 01, 2026",5.0,4.36,-,0.65,4.36,0.65,USD,"Apr 07, 2021","Apr 07, 2021"
WAKE CNTY N C,Local Tax-Backed,Fixed Income,"10,874,026.15",0.16,"10,874,026.15","10,140,000.00",930863T62,US930863T623,-,105.57,United States,-,USD,1.13,0.21,1.0,"Mar 01, 2023",5.0,1.13,-,0.21,1.13,0.21,USD,"May 13, 2010","May 13, 2010"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"10,856,882.65",0.16,"10,856,882.65","9,080,000.00",64972GYR9,US64972GYR90,-,119.35,United States,-,USD,4.07,0.59,1.0,"Jun 15, 2026",5.0,4.07,-,0.59,4.07,0.59,USD,"Mar 18, 2021","Mar 18, 2021"
MASSACHUSETTS ST,State Tax-Backed,Fixed Income,"10,853,488.27",0.16,"10,853,488.27","9,460,000.00",57582PAE0,US57582PAE07,-,112.98,United States,-,USD,2.5,0.35,1.0,"Sep 01, 2024",5.25,2.49,-,0.35,2.49,0.35,USD,"Oct 18, 2006","Oct 18, 2006"
OHIO ST,State Tax-Backed,Fixed Income,"10,802,969.27",0.16,"10,802,969.27","9,020,000.00",677522RL0,US677522RL00,-,118.93,United States,-,USD,3.95,0.57,1.0,"May 01, 2026",5.0,3.95,-,0.57,3.95,0.57,USD,"Oct 03, 2017","Oct 03, 2017"
BAY AREA TOLL AUTH CALIF TOLL,Prerefund/Escrow,Fixed Income,"10,755,102.05",0.16,"10,755,102.05","9,625,000.00",072024TP7,US072024TP76,-,110.49,United States,-,USD,2.14,0.32,1.0,"Apr 01, 2024",5.0,2.14,-,0.32,2.14,0.32,USD,"Aug 05, 2014","Aug 05, 2014"
NEW YORK ST DORM AUTH SALES TA,Prerefund/Escrow,Fixed Income,"10,721,887.22",0.16,"10,721,887.22","10,000,000.00",64990APN9,US64990APN99,-,105.75,United States,-,USD,1.17,0.22,1.0,"Mar 15, 2023",5.0,1.17,-,0.22,1.17,0.22,USD,"Oct 24, 2013","Oct 24, 2013"
BLACKROCK LIQ MUNICASH CL INS MMF,Cash and/or Derivatives,Money Market,"10,716,267.73",0.16,"10,716,267.73","10,715,196.00",09248U841,US09248U8412,B0BW5H6,1.0,United States,-,USD,0.04,0.13,1.0,-,0.1,0.04,-,0.13,0.04,0.13,USD,-,"Feb 23, 1984"
MULTNOMAH CNTY ORE SCH DIST NO,School Districts,Fixed Income,"10,711,327.22",0.16,"10,711,327.22","10,000,000.00",625517KR7,US625517KR72,-,106.89,United States,-,USD,1.42,0.25,1.0,"Jun 15, 2023",5.0,1.42,-,0.25,1.42,0.25,USD,"Apr 14, 2020","Apr 14, 2020"
ENERGY NORTHWEST WASH ELEC REV,Utility,Fixed Income,"10,697,622.82",0.16,"10,697,622.82","9,065,000.00",29270CK46,US29270CK464,-,115.51,United States,-,USD,3.2,0.52,1.0,"Jul 01, 2025",5.0,3.2,-,0.52,3.2,0.52,USD,"May 21, 2015","May 21, 2015"
MINNESOTA ST FOR PREVIOUS ISSU,State Tax-Backed,Fixed Income,"10,623,779.78",0.16,"10,623,779.78","9,325,000.00",60412AEV1,US60412AEV17,-,111.84,United States,-,USD,2.42,0.39,1.0,"Aug 01, 2024",5.0,2.41,-,0.39,2.41,0.39,USD,"Aug 19, 2015","Aug 19, 2015"
MARYLAND ST,State Tax-Backed,Fixed Income,"10,593,836.59",0.16,"10,593,836.59","8,960,000.00",574193PD4,US574193PD41,-,116.15,United States,-,USD,3.28,0.45,1.0,"Aug 01, 2025",5.0,3.28,-,0.45,3.28,0.45,USD,"Aug 30, 2017","Aug 30, 2017"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"10,566,070.10",0.15,"10,566,070.10","8,925,000.00",544532AS3,US544532AS36,-,115.89,United States,-,USD,3.2,0.42,1.0,"Jul 01, 2025",5.0,3.2,-,0.42,3.2,0.42,USD,"May 01, 2020","May 01, 2020"
TAMPA-HILLSBOROUGH CNTY FLA EX,Prerefund/Escrow,Fixed Income,"10,539,778.71",0.15,"10,539,778.71","10,050,000.00",875301EU3,US875301EU35,-,102.37,United States,-,USD,0.49,0.25,1.0,"Jul 01, 2022",5.0,0.49,-,0.25,0.49,0.25,USD,"Dec 20, 2012","Dec 20, 2012"
BAY AREA TOLL AUTH CALIF TOLL,Prerefund/Escrow,Fixed Income,"10,523,873.65",0.15,"10,523,873.65","9,815,000.00",072024TF9,US072024TF94,-,105.97,United States,-,USD,1.22,0.21,1.0,"Apr 01, 2023",5.0,1.21,-,0.21,1.21,0.21,USD,"Aug 06, 2013","Aug 06, 2013"
MASSACHUSETTS ST,State Tax-Backed,Fixed Income,"10,489,278.03",0.15,"10,489,278.03","9,040,000.00",57582RGJ9,US57582RGJ95,-,114.37,United States,-,USD,2.94,0.43,1.0,"Mar 01, 2025",5.0,2.94,-,0.43,2.94,0.43,USD,"Mar 17, 2016","Mar 17, 2016"
METROPOLITAN GOVT NASHVILLE &,Local Tax-Backed,Fixed Income,"10,489,053.00",0.15,"10,489,053.00","10,000,000.00",592112TS5,US592112TS57,-,102.39,United States,-,USD,0.49,0.21,1.0,"Jul 01, 2022",5.0,0.49,-,0.21,0.49,0.21,USD,"Feb 18, 2021","Feb 18, 2021"
METROPOLITAN COUNCIL MINN MINN,Local Tax-Backed,Fixed Income,"10,482,236.67",0.15,"10,482,236.67","10,000,000.00",591852Y93,US591852Y931,-,104.41,United States,-,USD,0.91,0.19,1.0,"Dec 01, 2022",5.0,0.9,-,0.19,0.9,0.19,USD,"May 05, 2021","May 05, 2021"
MARYLAND ST,State Tax-Backed,Fixed Income,"10,446,035.60",0.15,"10,446,035.60","9,000,000.00",574193SB5,US574193SB57,-,114.59,United States,-,USD,2.98,0.41,1.0,"Mar 15, 2025",5.0,2.97,-,0.41,2.97,0.41,USD,"Mar 18, 2020","Mar 18, 2020"
ILLINOIS ST,State Tax-Backed,Fixed Income,"10,414,232.03",0.15,"10,414,232.03","9,550,000.00",4521522F7,US4521522F76,-,107.8,United States,-,USD,1.68,0.52,1.0,"Oct 01, 2023",5.0,1.68,-,0.52,1.68,0.52,USD,"Sep 05, 2018","Sep 05, 2018"
OHIO ST,State Tax-Backed,Fixed Income,"10,399,447.63",0.15,"10,399,447.63","8,810,000.00",677523AM4,US677523AM49,-,115.96,United States,-,USD,3.28,0.5,1.0,"Aug 01, 2025",5.0,3.28,-,0.5,3.28,0.5,USD,"Jun 26, 2020","Jun 26, 2020"
HAWAII ST,State Tax-Backed,Fixed Income,"10,359,292.04",0.15,"10,359,292.04","9,665,000.00",419792HQ2,US419792HQ23,-,105.93,United States,-,USD,1.22,0.24,1.0,"Apr 01, 2023",5.0,1.21,-,0.24,1.21,0.24,USD,"Apr 14, 2016","Apr 14, 2016"
CENTRAL TEX REGL MOBILITY AUTH,Prerefund/Escrow,Fixed Income,"10,304,766.99",0.15,"10,304,766.99","9,620,000.00",155498CX4,US155498CX42,-,104.62,United States,-,USD,0.97,0.37,1.0,"Jan 01, 2023",5.0,0.97,-,0.37,0.97,0.37,USD,"May 16, 2013","May 16, 2013"
IDAHO ST,Cash and/or Derivatives,Cash,"10,292,701.96",0.15,"10,292,701.96","10,000,000.00",451434CA0,US451434CA07,-,101.42,United States,-,USD,0.5,0.13,1.0,"Jun 30, 2022",3.0,0.5,-,0.13,0.5,0.13,USD,"Jul 01, 2021","Jul 01, 2021"
TEXAS ST,State Tax-Backed,Fixed Income,"10,253,085.30",0.15,"10,253,085.30","9,165,000.00",882723MY2,US882723MY29,-,110.62,United States,-,USD,2.21,1.07,1.0,"Oct 01, 2024",5.0,2.57,-,0.26,2.14,0.26,USD,"Jul 02, 2014","Jul 02, 2014"
HAWAII ST,State Tax-Backed,Fixed Income,"10,219,726.70",0.15,"10,219,726.70","9,745,000.00",419792MD5,US419792MD54,-,103.62,United States,-,USD,0.74,0.17,1.0,"Oct 01, 2022",5.0,0.74,-,0.17,0.74,0.17,USD,"Oct 13, 2016","Oct 13, 2016"
COLUMBUS OHIO,Local Tax-Backed,Fixed Income,"10,116,227.48",0.15,"10,116,227.48","9,060,000.00",199492VG1,US199492VG10,-,110.41,United States,-,USD,2.14,0.35,1.0,"Apr 01, 2024",5.0,2.13,-,0.35,2.13,0.35,USD,"Nov 16, 2017","Nov 16, 2017"
NEW JERSEY ST TRANSN TR FD AUTH,State Tax-Backed,Fixed Income,"10,074,749.24",0.15,"10,074,749.24","9,155,000.00",646136EK3,US646136EK33,-,109.8,United States,-,USD,1.88,0.46,1.0,"Dec 15, 2023",5.5,1.88,-,0.46,1.88,0.46,USD,"Jun 01, 2006","Jun 01, 2006"
KING CNTY WASH SWR REV,Prerefund/Escrow,Fixed Income,"10,067,893.95",0.15,"10,067,893.95","8,855,000.00",495289X62,US495289X620,-,113.67,United States,-,USD,2.78,0.41,1.0,"Jan 01, 2025",5.0,2.77,-,0.41,2.77,0.41,USD,"Feb 18, 2015","Feb 18, 2015"
NEW YORK N Y,Cash and/or Derivatives,Cash,"10,000,504.11",0.15,"10,000,504.11","10,000,000.00",64966LU25,US64966LU257,-,100.0,United States,-,USD,0.0,0.08,1.0,"Jun 01, 2044",0.08,0.0,-,0.08,0.0,0.08,USD,"Jun 18, 2015","Jun 18, 2015"
UNIVERSITY CALIF REVS FOR PREV,Cash and/or Derivatives,Cash,"10,000,345.21",0.15,"10,000,345.21","10,000,000.00",91412GSK2,US91412GSK21,-,100.0,United States,-,USD,0.0,0.05,1.0,"May 15, 2048",0.05,0.0,-,0.05,0.0,0.05,USD,"Sep 04, 2018","Oct 02, 2013"
ENERGY NORTHWEST WASH ELEC REV,Utility,Fixed Income,"9,998,320.70",0.15,"9,998,320.70","8,780,000.00",29270CZ81,US29270CZ819,-,111.38,United States,-,USD,2.33,0.42,1.0,"Jul 01, 2024",5.0,2.33,-,0.42,2.33,0.42,USD,"May 31, 2018","May 31, 2018"
CALIFORNIA ST UNIV REV,Education,Fixed Income,"9,914,193.79",0.15,"9,914,193.79","9,400,000.00",13077C4L5,US13077C4L50,-,104.8,United States,-,USD,1.78,1.34,1.0,"Nov 01, 2023",4.0,1.77,-,1.34,1.77,1.34,USD,"Apr 20, 2016","Apr 20, 2016"
NORTH CAROLINA ST,State Tax-Backed,Fixed Income,"9,870,431.20",0.14,"9,870,431.20","8,235,000.00",6582563L4,US6582563L45,-,119.44,United States,-,USD,4.03,0.54,1.0,"Jun 01, 2026",5.0,4.03,-,0.54,4.03,0.54,USD,"Aug 01, 2018","Aug 01, 2018"
PHOENIX ARIZ,Local Tax-Backed,Fixed Income,"9,852,490.50",0.14,"9,852,490.50","9,160,000.00",718814N69,US718814N692,-,105.56,United States,-,USD,1.45,0.28,1.0,"Jul 01, 2023",4.0,1.45,-,0.28,1.45,0.28,USD,"Jun 24, 2014","Jun 24, 2014"
WASHINGTON ST,State Tax-Backed,Fixed Income,"9,835,368.12",0.14,"9,835,368.12","9,375,000.00",93974EQD1,US93974EQD12,-,102.83,United States,-,USD,0.57,0.15,1.0,"Aug 01, 2022",5.0,0.57,-,0.15,0.57,0.15,USD,"May 04, 2021","May 04, 2021"
MONTGOMERY CNTY MD,Prerefund/Escrow,Fixed Income,"9,798,615.49",0.14,"9,798,615.49","8,840,000.00",6133403Q9,US6133403Q95,-,110.18,United States,-,USD,2.7,0.38,1.0,"Nov 01, 2024",4.0,2.69,-,0.38,2.69,0.38,USD,"Nov 19, 2014","Nov 19, 2014"
CHARLESTON CNTY S C,Local Tax-Backed,Fixed Income,"9,724,839.41",0.14,"9,724,839.41","7,975,000.00",160069E89,US160069E893,-,121.07,United States,-,USD,4.58,0.6,1.0,"Nov 01, 2026",5.0,4.58,-,0.6,4.58,0.6,USD,"Oct 28, 2021","Oct 28, 2021"
ARIZONA ST TRANSN BRD EXCISE T,State Tax-Backed,Fixed Income,"9,708,084.08",0.14,"9,708,084.08","9,255,000.00",040649MA0,US040649MA07,-,102.4,United States,-,USD,0.49,0.2,1.0,"Jul 01, 2022",5.0,0.49,-,0.2,0.49,0.2,USD,"Dec 18, 2014","Dec 18, 2014"
MASSACHUSETTS ST WTR POLLUTN A,Utility,Fixed Income,"9,662,529.00",0.14,"9,662,529.00","8,175,000.00",57605AFK7,US57605AFK79,-,116.11,United States,-,USD,3.28,0.46,1.0,"Aug 01, 2025",5.0,3.28,-,0.46,3.28,0.46,USD,"Jun 12, 2014","Jun 12, 2014"
WASHINGTON ST,State Tax-Backed,Fixed Income,"9,644,311.60",0.14,"9,644,311.60","8,800,000.00",93974C8B9,US93974C8B91,-,107.09,United States,-,USD,1.43,0.26,1.0,"Jul 01, 2023",5.0,1.43,-,0.26,1.43,0.26,USD,"Feb 05, 2013","Feb 05, 2013"
METROPOLITAN WTR DIST SOUTHN C,Utility,Fixed Income,"9,588,374.58",0.14,"9,588,374.58","9,140,000.00",59266TNZ0,US59266TNZ02,-,102.41,United States,-,USD,0.49,0.18,1.0,"Jul 01, 2022",5.0,0.49,-,0.18,0.49,0.18,USD,"Jun 28, 2018","Jun 28, 2018"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"9,549,892.40",0.14,"9,549,892.40","8,105,000.00",13063DZK7,US13063DZK70,-,116.99,United States,-,USD,3.54,0.52,1.0,"Nov 01, 2025",5.0,3.53,-,0.52,3.53,0.52,USD,"Nov 03, 2020","Nov 03, 2020"
DISTRICT COLUMBIA INCOME TAX R,Local Tax-Backed,Fixed Income,"9,516,400.65",0.14,"9,516,400.65","7,810,000.00",25477GPW9,US25477GPW95,-,120.6,United States,-,USD,4.28,0.6,1.0,"Oct 01, 2026",5.0,4.28,-,0.6,4.28,0.6,USD,"Dec 04, 2019","Dec 04, 2019"
MINNESOTA ST,State Tax-Backed,Fixed Income,"9,445,334.10",0.14,"9,445,334.10","8,625,000.00",604129Q66,US604129Q661,-,108.26,United States,-,USD,1.68,0.27,1.0,"Oct 01, 2023",5.0,1.68,-,0.27,1.68,0.27,USD,"Nov 06, 2013","Nov 06, 2013"
CLARK CNTY NEV SCH DIST,School Districts,Fixed Income,"9,362,486.53",0.14,"9,362,486.53","7,835,000.00",181059X43,US181059X436,-,118.62,United States,-,USD,4.05,0.74,1.0,"Jun 15, 2026",5.0,4.05,-,0.74,4.05,0.74,USD,"Oct 28, 2021","Oct 28, 2021"
OHIO ST,Prerefund/Escrow,Fixed Income,"9,359,354.96",0.14,"9,359,354.96","7,790,000.00",677522YQ1,US677522YQ14,-,118.06,United States,-,USD,3.71,0.52,1.0,"Feb 01, 2026",5.0,3.7,-,0.52,3.7,0.52,USD,"Mar 20, 2018","Mar 20, 2018"
VIRGINIA ST PUB BLDG AUTH PUB,Prerefund/Escrow,Fixed Income,"9,330,166.94",0.14,"9,330,166.94","8,675,000.00",928172ZJ7,US928172ZJ79,-,105.89,United States,-,USD,1.53,0.27,1.0,"Aug 01, 2023",4.0,1.53,-,0.27,1.53,0.27,USD,"Feb 21, 2013","Feb 21, 2013"
CALIFORNIA EDL FACS AUTH REV,Prerefund/Escrow,Fixed Income,"9,316,553.46",0.14,"9,316,553.46","8,120,000.00",130178TF3,US130178TF37,-,113.42,United States,-,USD,2.58,0.34,1.0,"Oct 01, 2024",5.25,2.57,-,0.34,2.57,0.34,USD,"Jul 09, 2009","Jul 09, 2009"
SOUTHERN CALIF PUB PWR AUTH RE,Utility,Fixed Income,"9,282,563.13",0.14,"9,282,563.13","8,300,000.00",84247PLK5,US84247PLK56,-,109.34,United States,-,USD,1.92,0.8,1.0,"Apr 01, 2024",5.0,2.11,-,0.31,1.89,0.31,USD,"May 27, 2020","May 27, 2020"
NEW YORK ST DORM AUTH ST PERS,Prerefund/Escrow,Fixed Income,"9,268,644.06",0.14,"9,268,644.06","8,295,000.00",64990FKF0,US64990FKF08,-,110.27,United States,-,USD,2.09,0.32,1.0,"Mar 15, 2024",5.0,2.09,-,0.32,2.09,0.32,USD,"Jun 28, 2019","Jun 28, 2019"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"9,263,615.72",0.14,"9,263,615.72","7,965,000.00",13063CQT0,US13063CQT08,-,114.64,United States,-,USD,3.12,1.37,1.0,"Mar 01, 2026",5.0,3.76,-,0.35,2.94,0.35,USD,"Mar 18, 2015","Mar 18, 2015"
TRIBOROUGH BRDG & TUNL AUTH N Y RE,Prerefund/Escrow,Fixed Income,"9,237,225.00",0.14,"9,237,225.00","8,990,000.00",896029Z32,US896029Z323,-,100.0,United States,-,USD,0.02,50.0,1.0,"Jan 03, 2022",5.5,0.0,-,50.0,0.0,50.0,USD,"Aug 15, 1999","Aug 15, 1999"
ARIZONA ST TRANSN BRD HWY REV,Prerefund/Escrow,Fixed Income,"9,217,666.02",0.14,"9,217,666.02","8,790,000.00",040654VR3,US040654VR33,-,102.37,United States,-,USD,0.49,0.26,1.0,"Jul 01, 2022",5.0,0.49,-,0.26,0.49,0.26,USD,"Jan 29, 2013","Jan 29, 2013"
NEW YORK N Y CITY MUN WTR FIN,Utility,Fixed Income,"9,189,669.63",0.13,"9,189,669.63","7,940,000.00",64972GYQ1,US64972GYQ18,-,115.52,United States,-,USD,3.22,0.47,1.0,"Jun 15, 2025",5.0,3.22,-,0.47,3.22,0.47,USD,"Mar 18, 2021","Mar 18, 2021"
UNIV PITTSBURGH OF THE COMWLTH,Education,Fixed Income,"9,142,963.75",0.13,"9,142,963.75","7,990,000.00",91335VKW5,US91335VKW53,-,113.59,United States,-,USD,3.88,0.77,1.0,"Apr 15, 2026",4.0,3.96,-,0.65,3.82,0.65,USD,"Apr 15, 2021","Apr 15, 2021"
CHINO BASIN CALIF REGL FING AU,Utility,Fixed Income,"9,070,864.57",0.13,"9,070,864.57","8,015,000.00",169498FR8,US169498FR89,-,112.51,United States,-,USD,3.43,0.69,1.0,"Nov 01, 2025",4.0,3.58,-,0.48,3.36,0.48,USD,"Jun 30, 2020","Jun 30, 2020"
MASSACHUSETTS BAY TRANSN AUTH MASS,State Tax-Backed,Fixed Income,"9,063,675.75",0.13,"9,063,675.75","7,950,000.00",575579HB6,US575579HB69,-,111.51,United States,-,USD,2.33,0.37,1.0,"Jul 01, 2024",5.0,2.33,-,0.37,2.33,0.37,USD,"Mar 24, 2005","Mar 24, 2005"
OREGON ST FOR PREVIOUS ISSUES,State Tax-Backed,Fixed Income,"9,043,401.97",0.13,"9,043,401.97","8,830,000.00",68609BYT8,US68609BYT87,-,101.58,United States,-,USD,0.33,0.24,1.0,"May 01, 2022",5.0,0.33,-,0.24,0.33,0.24,USD,"Feb 21, 2017","Feb 21, 2017"
NORTH CAROLINA ST LTD OBLIG,State Tax-Backed,Fixed Income,"8,992,778.32",0.13,"8,992,778.32","8,780,000.00",65829QCC6,US65829QCC69,-,101.59,United States,-,USD,0.33,0.22,1.0,"May 01, 2022",5.0,0.33,-,0.22,0.33,0.22,USD,"Nov 19, 2014","Nov 19, 2014"
DALLAS TEX INDPT SCH DIST,School Districts,Fixed Income,"8,985,556.89",0.13,"8,985,556.89","8,230,000.00",235308ZV8,US235308ZV88,-,107.67,United States,-,USD,2.03,0.37,1.0,"Feb 15, 2024",4.0,2.03,-,0.37,2.03,0.37,USD,"Feb 10, 2021","Jan 15, 2021"
PENNSYLVANIA ST,State Tax-Backed,Fixed Income,"8,913,578.40",0.13,"8,913,578.40","8,145,000.00",70914PYP1,US70914PYP16,-,107.55,United States,-,USD,1.55,0.33,1.0,"Aug 15, 2023",5.0,1.55,-,0.33,1.55,0.33,USD,"Jun 16, 2015","Jun 16, 2015"
LEWISVILLE TEX INDPT SCH DIST,School Districts,Fixed Income,"8,885,552.02",0.13,"8,885,552.02","7,530,000.00",5288287X8,US5288287X82,-,116.11,United States,-,USD,3.32,0.51,1.0,"Aug 15, 2025",5.0,3.32,-,0.51,3.32,0.51,USD,"May 15, 2016","May 15, 2016"
MONTGOMERY CNTY MD,Local Tax-Backed,Fixed Income,"8,869,907.73",0.13,"8,869,907.73","8,000,000.00",61334PCP6,US61334PCP62,-,110.21,United States,-,USD,2.7,0.37,1.0,"Nov 01, 2024",4.0,2.69,-,0.37,2.69,0.37,USD,"Aug 05, 2020","Aug 05, 2020"
NEW YORK ST DORM AUTH ST PERS,State Tax-Backed,Fixed Income,"8,851,550.30",0.13,"8,851,550.30","8,640,000.00",64990FVS0,US64990FVS00,-,100.56,United States,-,USD,0.13,0.41,1.0,"Feb 15, 2022",5.0,0.12,-,0.41,0.12,0.41,USD,"Jul 13, 2017","Jul 13, 2017"
WISCONSIN STATE OF,State Tax-Backed,Fixed Income,"8,847,043.76",0.13,"8,847,043.76","8,440,000.00",97705MEP6,US97705MEP68,-,103.99,United States,-,USD,0.82,0.21,1.0,"Nov 01, 2022",5.0,0.82,-,0.21,0.82,0.21,USD,"Aug 25, 2016","Aug 25, 2016"
LOUISIANA ST,State Tax-Backed,Fixed Income,"8,831,186.12",0.13,"8,831,186.12","8,420,000.00",546415H37,US546415H375,-,102.58,United States,-,USD,0.53,0.21,1.0,"Jul 15, 2022",5.0,0.53,-,0.21,0.53,0.21,USD,"Jun 27, 2012","Jun 27, 2012"
ILLINOIS ST,State Tax-Backed,Fixed Income,"8,723,174.29",0.13,"8,723,174.29","8,150,000.00",452152G47,US452152G477,-,104.95,United States,-,USD,1.05,0.42,1.0,"Feb 01, 2023",5.0,1.05,-,0.42,1.05,0.42,USD,"Nov 02, 2016","Nov 02, 2016"
HARRISONBURG VA,Local Tax-Backed,Fixed Income,"8,687,380.43",0.13,"8,687,380.43","7,165,000.00",415666RM0,US415666RM00,-,119.86,United States,-,USD,4.1,0.56,1.0,"Jul 15, 2026",5.0,4.1,-,0.56,4.1,0.56,USD,"Sep 21, 2021","Sep 21, 2021"
WESTCHESTER CNTY N Y,Local Tax-Backed,Fixed Income,"8,645,613.25",0.13,"8,645,613.25","7,650,000.00",95736VBP6,US95736VBP67,-,112.79,United States,-,USD,2.64,0.38,1.0,"Oct 15, 2024",5.0,2.64,-,0.38,2.64,0.38,USD,"Dec 15, 2021","Dec 15, 2021"
WISCONSIN ST,State Tax-Backed,Fixed Income,"8,613,502.77",0.13,"8,613,502.77","7,465,000.00",97705MVY8,US97705MVY82,-,114.98,United States,-,USD,3.21,0.45,1.0,"May 01, 2025",5.0,3.22,-,0.45,3.22,0.45,USD,"Dec 02, 2021","Dec 02, 2021"
MASSACHUSETTS ST,State Tax-Backed,Fixed Income,"8,607,559.28",0.13,"8,607,559.28","7,695,000.00",57582RWD4,US57582RWD42,-,109.36,United States,-,USD,1.89,0.3,1.0,"Jan 01, 2024",5.0,1.89,-,0.3,1.89,0.3,USD,"Jan 17, 2019","Jan 17, 2019"
