,,,,,,,,,,,,,,,,,,,,,,,,,,iShares 10+ Year Investment Grade Corporate Bond ETF
MORGAN STANLEY,Banking,Fixed Income,"2,662,802.18",0.11,"2,662,802.18","1,726,000.00",617482V92,US617482V925,B7N7040,151.5,United States,-,USD,12.94,3.0,1.0,"Jul 24, 2042",6.38,13.01,-,3.0,13.01,3.0,USD,"Jul 24, 2012","Jul 24, 2012"
AMAZON.COM INC,Consumer Cyclical,Fixed Income,"2,649,580.86",0.11,"2,649,580.86","2,228,000.00",023135BF2,US023135BF28,BF199R0,117.53,United States,-,USD,11.74,2.51,1.0,"Aug 22, 2037",3.88,11.92,-,2.48,11.63,2.48,USD,"Feb 22, 2018","Jun 06, 2018"
SAUDI ARABIAN OIL CO MTN 144A,Owned No Guarantee,Fixed Income,"2,645,946.45",0.11,"2,645,946.45","2,268,000.00",80414L2F1,US80414L2F13,-,115.77,Saudi Arabia,-,USD,16.51,3.48,1.0,"Apr 16, 2049",4.38,16.6,-,3.48,16.6,3.48,USD,"Apr 16, 2019","Apr 16, 2019"
CHARTER COMMUNICATIONS OPERATING L,Communications,Fixed Income,"2,633,615.89",0.11,"2,633,615.89","2,190,000.00",161175BL7,US161175BL78,BFF9P78,119.36,United States,-,USD,14.54,4.13,1.0,"May 01, 2047",5.38,14.68,-,4.12,14.52,4.12,USD,"Nov 01, 2017","Nov 27, 2017"
AMAZON.COM INC,Consumer Cyclical,Fixed Income,"2,632,442.59",0.11,"2,632,442.59","2,456,000.00",023135CB0,US023135CB05,BN45045,106.76,United States,-,USD,19.26,2.76,1.0,"May 12, 2051",3.1,19.49,-,2.76,19.28,2.76,USD,"May 12, 2021","May 12, 2021"
CISCO SYSTEMS INC,Technology,Fixed Income,"2,621,421.80",0.1,"2,621,421.80","1,849,000.00",17275RAF9,US17275RAF91,B596Q94,139.24,United States,-,USD,12.28,2.73,1.0,"Jan 15, 2040",5.5,12.33,-,2.73,12.33,2.73,USD,"Nov 17, 2009","Nov 17, 2009"
VODAFONE GROUP PLC,Communications,Fixed Income,"2,610,388.78",0.1,"2,610,388.78","1,896,000.00",92857WAQ3,US92857WAQ33,B1SBFX9,135.56,United Kingdom,-,USD,10.52,3.18,1.0,"Feb 27, 2037",6.15,10.52,-,3.18,10.52,3.18,USD,"Feb 27, 2007","Feb 27, 2007"
ORACLE CORP,Technology,Fixed Income,"2,566,543.13",0.1,"2,566,543.13","2,060,000.00",68389XAM7,US68389XAM74,B7FNML7,122.11,United States,-,USD,12.16,3.71,1.0,"Jul 15, 2040",5.38,12.16,-,3.71,12.16,3.71,USD,"Jul 15, 2011","Dec 12, 2011"
MORGAN STANLEY MTN,Banking,Fixed Income,"2,563,471.26",0.1,"2,563,471.26","1,699,000.00",6174468N2,US6174468N29,BL68VG7,149.37,United States,-,USD,15.64,3.03,1.0,"Mar 24, 2051",5.6,16.63,-,2.99,16.58,2.99,USD,"Mar 24, 2020","Mar 24, 2020"
CITIGROUP INC,Banking,Fixed Income,"2,537,157.84",0.1,"2,537,157.84","1,945,000.00",172967MD0,US172967MD09,BFMLH37,128.4,United States,-,USD,16.24,3.08,1.0,"Jul 23, 2048",4.65,16.36,-,3.07,16.33,3.07,USD,"Jul 23, 2018","Jul 23, 2018"
EDF SA 144A,Owned No Guarantee,Fixed Income,"2,533,082.64",0.1,"2,533,082.64","1,700,000.00",268317AC8,US268317AC80,B3L9B69,146.01,France,-,USD,11.06,3.38,1.0,"Jan 26, 2039",6.95,11.07,-,3.38,11.07,3.38,USD,"Jan 26, 2009","Jan 26, 2009"
VERIZON COMMUNICATIONS INC,Communications,Fixed Income,"2,531,786.40",0.1,"2,531,786.40","2,160,000.00",92343VCQ5,US92343VCQ59,BRXDL34,116.48,United States,-,USD,9.83,2.86,1.0,"Nov 01, 2034",4.4,9.98,-,2.81,9.68,2.81,USD,"Oct 29, 2014","Oct 29, 2014"
T-MOBILE USA INC,Communications,Fixed Income,"2,522,234.75",0.1,"2,522,234.75","2,550,000.00",87264ABN4,US87264ABN46,BN303Z3,97.66,United States,-,USD,18.08,3.43,1.0,"Feb 15, 2051",3.3,18.25,-,3.43,18.25,3.43,USD,"Feb 15, 2021","May 21, 2021"
AT&T INC,Communications,Fixed Income,"2,487,654.57",0.1,"2,487,654.57","2,395,000.00",00206RKA9,US00206RKA94,BMHWV76,103.56,United States,-,USD,17.94,3.46,1.0,"Jun 01, 2051",3.65,18.11,-,3.45,17.94,3.45,USD,"May 28, 2020","May 28, 2020"
ANHEUSER-BUSCH INBEV WORLDWIDE INC MTN,Consumer Non-Cyclical,Fixed Income,"2,473,730.08",0.1,"2,473,730.08","2,007,000.00",035240AN0,US035240AN09,BFYCQM0,122.28,Belgium,-,USD,16.0,3.32,1.0,"Apr 15, 2048",4.6,16.2,-,3.31,16.02,3.31,USD,"Apr 04, 2018","Apr 04, 2018"
ALTRIA GROUP INC,Consumer Non-Cyclical,Fixed Income,"2,471,266.54",0.1,"2,471,266.54","1,945,000.00",02209SBF9,US02209SBF92,BJ2W9Y3,124.79,United States,-,USD,14.44,4.38,1.0,"Feb 14, 2049",5.95,14.56,-,4.37,14.43,4.37,USD,"Feb 14, 2019","Feb 14, 2019"
MORGAN STANLEY,Banking,Fixed Income,"2,461,645.36",0.1,"2,461,645.36","1,930,000.00",61746BEG7,US61746BEG77,BYM4WR8,125.61,United States,-,USD,15.99,2.93,1.0,"Jan 22, 2047",4.38,16.09,-,2.93,16.09,2.93,USD,"Jan 20, 2017","Jan 20, 2017"
QATAR PETROLEUM 144A,Owned No Guarantee,Fixed Income,"2,424,596.42",0.1,"2,424,596.42","2,365,000.00",74730DAE3,US74730DAE31,-,101.06,Qatar,-,USD,14.23,3.05,1.0,"Jul 12, 2041",3.13,14.37,-,3.05,14.09,3.05,USD,"Jul 12, 2021","Jul 12, 2021"
PACIFIC GAS AND ELECTRIC COMPANY,Electric,Fixed Income,"2,419,186.63",0.1,"2,419,186.63","2,172,000.00",694308JN8,US694308JN86,BMTC6G8,108.91,United States,-,USD,15.3,4.4,1.0,"Jul 01, 2050",4.95,15.42,-,4.39,15.28,4.39,USD,"Jul 02, 2020","Jul 01, 2020"
CHARTER COMMUNICATIONS OPERATING L,Communications,Fixed Income,"2,404,137.18",0.1,"2,404,137.18","2,117,000.00",161175BT0,US161175BT05,BKSVYZ7,111.96,United States,-,USD,15.73,4.08,1.0,"Mar 01, 2050",4.8,15.87,-,4.07,15.73,4.07,USD,"Oct 24, 2019","Oct 24, 2019"
APPLE INC,Technology,Fixed Income,"2,385,953.87",0.1,"2,385,953.87","2,401,000.00",037833EF3,US037833EF38,BKP9GX6,98.32,United States,-,USD,19.68,2.73,1.0,"Feb 08, 2051",2.65,19.89,-,2.73,19.89,2.73,USD,"Feb 08, 2021","Feb 08, 2021"
EXXON MOBIL CORP,Energy,Fixed Income,"2,383,664.38",0.1,"2,383,664.38","2,019,000.00",30231GAW2,US30231GAW24,BYYD0G8,116.69,United States,-,USD,15.61,3.12,1.0,"Mar 01, 2046",4.11,15.8,-,3.11,15.6,3.11,USD,"Mar 03, 2016","Mar 03, 2016"
AMGEN INC,Consumer Non-Cyclical,Fixed Income,"2,375,984.10",0.09,"2,375,984.10","1,979,000.00",031162BZ2,US031162BZ23,BWTM390,119.33,United States,-,USD,15.07,3.22,1.0,"May 01, 2045",4.4,15.26,-,3.2,15.05,3.2,USD,"May 01, 2015","May 01, 2015"
EXXON MOBIL CORP,Energy,Fixed Income,"2,371,958.33",0.09,"2,371,958.33","2,175,000.00",30231GBM3,US30231GBM33,BMDSC31,108.33,United States,-,USD,18.49,3.02,1.0,"Apr 15, 2051",3.45,18.7,-,3.02,18.51,3.02,USD,"Apr 15, 2020","Apr 15, 2020"
ABBVIE INC,Consumer Non-Cyclical,Fixed Income,"2,363,868.55",0.09,"2,363,868.55","1,896,000.00",00287YAS8,US00287YAS81,BXC32G7,124.06,United States,-,USD,14.89,3.23,1.0,"May 14, 2045",4.7,15.09,-,3.21,14.89,3.21,USD,"May 14, 2015","May 14, 2015"
INTEL CORPORATION,Technology,Fixed Income,"2,356,644.97",0.09,"2,356,644.97","1,753,000.00",458140BM1,US458140BM12,BM5D1Q0,133.17,United States,-,USD,16.87,3.0,1.0,"Mar 25, 2050",4.75,17.12,-,2.98,16.94,2.98,USD,"Mar 25, 2020","Mar 25, 2020"
BANK OF AMERICA CORP MTN,Banking,Fixed Income,"2,351,622.18",0.09,"2,351,622.18","1,761,000.00",06051GFC8,US06051GFC87,BJ3WDS4,131.32,United States,-,USD,14.22,3.04,1.0,"Jan 21, 2044",5.0,14.3,-,3.04,14.3,3.04,USD,"Jan 21, 2014","Jan 21, 2014"
BERKSHIRE HATHAWAY FINANCE CORP,Insurance,Fixed Income,"2,335,794.77",0.09,"2,335,794.77","1,900,000.00",084664CQ2,US084664CQ25,BFX84P8,121.35,United States,-,USD,16.6,3.03,1.0,"Aug 15, 2048",4.2,16.82,-,3.01,16.63,3.01,USD,"Aug 15, 2018","Aug 15, 2018"
JPMORGAN CHASE & CO,Banking,Fixed Income,"2,333,811.87",0.09,"2,333,811.87","2,026,000.00",46647PAJ5,US46647PAJ57,BF348B0,113.5,United States,-,USD,11.27,2.75,1.0,"Jul 24, 2038",3.88,11.76,-,2.75,11.75,2.75,USD,"Jul 24, 2017","Jul 24, 2017"
WALT DISNEY CO,Communications,Fixed Income,"2,304,495.71",0.09,"2,304,495.71","1,730,000.00",254687FS0,US254687FS06,-,131.93,United States,-,USD,16.89,3.01,1.0,"Mar 23, 2050",4.7,17.14,-,3.0,16.96,3.0,USD,"Mar 23, 2020","Mar 23, 2020"
CORPORACION NACIONAL DEL COBRE DE 144A,Owned No Guarantee,Fixed Income,"2,292,375.86",0.09,"2,292,375.86","2,215,000.00",21987BBA5,US21987BBA52,-,101.95,Chile,-,USD,17.07,3.59,1.0,"Jan 30, 2050",3.7,17.23,-,3.59,17.05,3.59,USD,"Sep 30, 2019","Sep 30, 2019"
GILEAD SCIENCES INC,Consumer Non-Cyclical,Fixed Income,"2,284,943.45",0.09,"2,284,943.45","1,781,000.00",375558BD4,US375558BD48,BYMYP35,126.71,United States,-,USD,15.12,3.16,1.0,"Mar 01, 2046",4.75,15.32,-,3.14,15.13,3.14,USD,"Sep 14, 2015","Sep 14, 2015"
BROADCOM INC 144A,Technology,Fixed Income,"2,279,494.14",0.09,"2,279,494.14","2,257,000.00",11135FBP5,US11135FBP53,-,100.6,United States,-,USD,11.12,3.08,1.0,"Nov 15, 2035",3.14,11.15,-,3.08,10.98,3.08,USD,"Sep 30, 2021","Sep 30, 2021"
ABBVIE INC,Consumer Non-Cyclical,Fixed Income,"2,273,865.88",0.09,"2,273,865.88","1,895,000.00",00287YAM1,US00287YAM12,BCZM189,119.32,United States,-,USD,14.16,3.13,1.0,"Nov 06, 2042",4.4,14.21,-,3.13,14.21,3.13,USD,"May 06, 2013","Aug 05, 2013"
AMAZON.COM INC,Consumer Cyclical,Fixed Income,"2,266,897.51",0.09,"2,266,897.51","2,376,000.00",023135BT2,US023135BT22,BM8HHH2,95.21,United States,-,USD,19.76,2.74,1.0,"Jun 03, 2050",2.5,19.97,-,2.74,19.97,2.74,USD,"Jun 03, 2020","Jun 03, 2020"
TELEFONICA EMISIONES SAU,Communications,Fixed Income,"2,264,185.85",0.09,"2,264,185.85","1,800,000.00",87938WAU7,US87938WAU71,BF04KW8,124.15,Spain,-,USD,14.91,3.73,1.0,"Mar 08, 2047",5.21,14.98,-,3.73,14.98,3.73,USD,"Mar 08, 2017","Mar 08, 2017"
BROADCOM INC,Technology,Fixed Income,"2,264,187.24",0.09,"2,264,187.24","2,005,000.00",11135FAS0,US11135FAS02,-,112.38,United States,-,USD,8.72,2.96,1.0,"Nov 15, 2032",4.3,8.77,-,2.94,8.6,2.94,USD,"May 08, 2020","Aug 07, 2020"
GALAXY PIPELINE ASSETS BIDCO LTD 144A,Energy,Fixed Income,"2,255,771.25",0.09,"2,255,771.25","2,250,000.00",36321PAE0,US36321PAE07,-,99.52,United Arab Emirates,-,USD,9.32,2.99,1.0,"Sep 30, 2040",2.94,9.37,-,2.99,9.37,2.99,USD,"Feb 18, 2021","Feb 18, 2021"
AT&T INC,Communications,Fixed Income,"2,233,441.66",0.09,"2,233,441.66","2,167,000.00",00206RJZ6,US00206RJZ64,BMHWTV6,102.77,United States,-,USD,13.94,3.31,1.0,"Jun 01, 2041",3.5,14.06,-,3.3,13.8,3.3,USD,"May 28, 2020","May 28, 2020"
DUPONT DE NEMOURS INC,Basic Industry,Fixed Income,"2,231,719.19",0.09,"2,231,719.19","1,587,000.00",26078JAF7,US26078JAF75,BGWKX55,139.93,United States,-,USD,15.84,3.19,1.0,"Nov 15, 2048",5.42,16.06,-,3.17,15.89,3.17,USD,"Nov 28, 2018","Nov 28, 2018"
COMCAST CORPORATION,Communications,Fixed Income,"2,207,219.62",0.09,"2,207,219.62","1,720,000.00",20030NCM1,US20030NCM11,BGGFK44,127.33,United States,-,USD,16.24,3.18,1.0,"Oct 15, 2048",4.7,16.46,-,3.16,16.28,3.16,USD,"Oct 05, 2018","Oct 05, 2018"
FISERV INC,Technology,Fixed Income,"2,205,864.85",0.09,"2,205,864.85","1,818,000.00",337738AV0,US337738AV08,BGBN0F4,119.13,United States,-,USD,16.42,3.33,1.0,"Jul 01, 2049",4.4,16.62,-,3.32,16.45,3.32,USD,"Jun 24, 2019","Jun 24, 2019"
JPMORGAN CHASE & CO,Banking,Fixed Income,"2,200,431.83",0.09,"2,200,431.83","1,560,000.00",46625HJB7,US46625HJB78,B6QKFT9,138.47,United States,-,USD,12.82,2.99,1.0,"Jul 15, 2041",5.6,12.88,-,2.99,12.88,2.99,USD,"Jul 21, 2011","Jul 21, 2011"
HSBC HOLDINGS PLC,Banking,Fixed Income,"2,185,560.55",0.09,"2,185,560.55","1,538,000.00",404280AJ8,US404280AJ87,B39GHK8,141.54,United Kingdom,-,USD,10.96,3.46,1.0,"Jun 01, 2038",6.8,10.97,-,3.46,10.97,3.46,USD,"May 27, 2008","May 27, 2008"
BRISTOL-MYERS SQUIBB CO,Consumer Non-Cyclical,Fixed Income,"2,183,376.91",0.09,"2,183,376.91","1,843,000.00",110122CQ9,US110122CQ99,BMWV9D0,118.29,United States,-,USD,12.67,2.79,1.0,"Jun 15, 2039",4.13,12.86,-,2.77,12.59,2.77,USD,"Jun 15, 2020","Jul 17, 2020"
BROADCOM INC 144A,Technology,Fixed Income,"2,178,604.45",0.09,"2,178,604.45","2,067,000.00",11135FBL4,US11135FBL40,BKMQWR6,104.67,United States,-,USD,9.92,3.01,1.0,"Apr 15, 2034",3.47,9.95,-,3.0,9.78,3.0,USD,"Mar 31, 2021","Mar 31, 2021"
WELLS FARGO & COMPANY MTN,Banking,Fixed Income,"2,170,864.39",0.09,"2,170,864.39","1,735,000.00",94974BGU8,US94974BGU89,BDSFRX9,124.81,United States,-,USD,15.61,3.28,1.0,"Dec 07, 2046",4.75,15.69,-,3.28,15.69,3.28,USD,"Dec 08, 2016","Dec 08, 2016"
BAT CAPITAL CORP,Consumer Non-Cyclical,Fixed Income,"2,164,010.00",0.09,"2,164,010.00","2,022,000.00",05526DBD6,US05526DBD66,BG5QT52,105.36,United Kingdom,-,USD,11.13,3.93,1.0,"Aug 15, 2037",4.39,11.19,-,3.92,10.94,3.92,USD,"Aug 15, 2018","Nov 20, 2018"
ANHEUSER-BUSCH INBEV WORLDWIDE INC,Consumer Non-Cyclical,Fixed Income,"2,162,814.76",0.09,"2,162,814.76","1,470,000.00",03523TBW7,US03523TBW71,BJ521B1,144.58,Belgium,-,USD,18.0,3.61,1.0,"Jan 23, 2059",5.8,18.24,-,3.6,18.13,3.6,USD,"Jan 23, 2019","Jan 23, 2019"
VERIZON COMMUNICATIONS INC,Communications,Fixed Income,"2,158,859.73",0.09,"2,158,859.73","1,642,000.00",92343VDU5,US92343VDU52,BYZKXZ8,129.95,United States,-,USD,10.99,2.82,1.0,"Mar 16, 2037",5.25,11.0,-,2.82,11.0,2.82,USD,"Mar 16, 2017","Mar 16, 2017"
ORACLE CORPORATION,Technology,Fixed Income,"2,147,902.77",0.09,"2,147,902.77","2,104,000.00",68389XBZ7,US68389XBZ78,BMYLXB4,101.11,United States,-,USD,13.54,3.57,1.0,"Mar 25, 2041",3.65,13.64,-,3.57,13.39,3.57,USD,"Mar 24, 2021","Mar 24, 2021"
BANK OF AMERICA CORP,Banking,Fixed Income,"2,144,686.08",0.09,"2,144,686.08","1,360,000.00",59023VAA8,US59023VAA89,B2RFJL5,156.69,United States,-,USD,10.71,3.26,1.0,"May 14, 2038",7.75,10.73,-,3.26,10.73,3.26,USD,"May 14, 2008","May 14, 2008"
HSBC HOLDINGS PLC,Banking,Fixed Income,"2,131,684.38",0.09,"2,131,684.38","1,557,000.00",404280AG4,US404280AG49,B13VN63,135.86,United Kingdom,-,USD,10.05,3.33,1.0,"May 02, 2036",6.5,10.04,-,3.33,10.04,3.33,USD,"May 03, 2006","May 03, 2006"
AMAZON.COM INC,Consumer Cyclical,Fixed Income,"2,131,314.91",0.09,"2,131,314.91","1,645,000.00",023135BM7,US023135BM78,BDGMR10,128.04,United States,-,USD,19.83,2.97,1.0,"Aug 22, 2057",4.25,20.1,-,2.96,19.96,2.96,USD,"Feb 22, 2018","Jun 06, 2018"
CHARTER COMMUNICATIONS OPERATING L,Communications,Fixed Income,"2,130,744.01",0.09,"2,130,744.01","2,118,000.00",161175CA0,US161175CA05,BKY7998,100.28,United States,-,USD,17.54,3.88,1.0,"Jun 01, 2052",3.9,17.68,-,3.88,17.53,3.88,USD,"Mar 04, 2021","Mar 04, 2021"
ANHEUSER-BUSCH INBEV WORLDWIDE INC,Consumer Non-Cyclical,Fixed Income,"2,117,004.42",0.08,"2,117,004.42","1,712,000.00",035240AT7,US035240AT78,BM8MLZ3,123.28,Belgium,-,USD,17.01,3.24,1.0,"Jun 01, 2050",4.5,17.23,-,3.23,17.06,3.23,USD,"Apr 03, 2020","Apr 03, 2020"
HCA INC,Consumer Non-Cyclical,Fixed Income,"2,110,111.47",0.08,"2,110,111.47","1,640,000.00",404119BZ1,US404119BZ18,BKKDGY4,128.43,United States,-,USD,15.83,3.61,1.0,"Jun 15, 2049",5.25,16.02,-,3.59,15.87,3.59,USD,"Jun 12, 2019","Jun 12, 2019"
AT&T INC,Communications,Fixed Income,"2,109,991.38",0.08,"2,109,991.38","2,142,000.00",00206RKD3,US00206RKD34,-,97.21,United States,-,USD,14.97,3.28,1.0,"Feb 01, 2043",3.1,15.09,-,3.28,15.09,3.28,USD,"Aug 04, 2020","Aug 04, 2020"
APPLE INC,Technology,Fixed Income,"2,108,406.08",0.08,"2,108,406.08","1,756,000.00",037833CD0,US037833CD08,BDCWWV9,118.5,United States,-,USD,16.2,2.8,1.0,"Aug 04, 2046",3.85,16.42,-,2.79,16.2,2.79,USD,"Aug 04, 2016","Aug 04, 2016"
ABU DHABI CRUDE OIL PIPELINE LLC 144A,Owned No Guarantee,Fixed Income,"2,099,398.94",0.08,"2,099,398.94","1,776,000.00",00401MAB2,US00401MAB28,BD6JBM0,118.21,United Arab Emirates,-,USD,12.59,3.24,1.0,"Nov 02, 2047",4.6,12.67,-,3.24,12.67,3.24,USD,"Nov 02, 2017","Nov 02, 2017"
INTERNATIONAL BUSINESS MACHINES CO,Technology,Fixed Income,"2,096,378.00",0.08,"2,096,378.00","1,807,000.00",459200KB6,US459200KB68,BK5CT25,115.48,United States,-,USD,12.66,3.0,1.0,"May 15, 2039",4.15,12.68,-,3.0,12.68,3.0,USD,"May 15, 2019","May 15, 2019"
COMCAST CORPORATION,Communications,Fixed Income,"2,094,755.07",0.08,"2,094,755.07","1,809,000.00",20030NCC3,US20030NCC39,BFWQ3V2,115.13,United States,-,USD,16.53,3.11,1.0,"Nov 01, 2047",3.97,16.73,-,3.1,16.53,3.1,USD,"Oct 19, 2017","Dec 14, 2017"
SHELL INTERNATIONAL FINANCE BV,Energy,Fixed Income,"2,089,356.08",0.08,"2,089,356.08","1,788,000.00",822582BQ4,US822582BQ44,BDB2XM8,116.29,Netherlands,-,USD,16.06,3.05,1.0,"May 10, 2046",4.0,16.14,-,3.05,16.14,3.05,USD,"May 10, 2016","May 10, 2016"
FOMENTO ECONOMICO MEXICANO SAB DE,Consumer Non-Cyclical,Fixed Income,"2,085,934.83",0.08,"2,085,934.83","1,965,000.00",344419AC0,US344419AC03,BKKBHZ6,104.56,Mexico,-,USD,17.58,3.25,1.0,"Jan 16, 2050",3.5,17.76,-,3.25,17.57,3.25,USD,"Jan 16, 2020","Jan 16, 2020"
TEACHERS INSURANCE AND ANNUITY ASS 144A,Insurance,Fixed Income,"2,084,423.82",0.08,"2,084,423.82","1,718,000.00",878091BF3,US878091BF35,BF19248,120.78,United States,-,USD,16.13,3.08,1.0,"May 15, 2047",4.27,16.34,-,3.07,16.14,3.07,USD,"May 08, 2017","May 08, 2017"
AT&T INC,Communications,Fixed Income,"2,082,738.92",0.08,"2,082,738.92","1,794,000.00",00206RCP5,US00206RCP55,BX2KBF0,115.52,United States,-,USD,10.1,3.08,1.0,"May 15, 2035",4.5,10.24,-,3.03,9.95,3.03,USD,"May 04, 2015","May 04, 2015"
SOUTHERN PERU COPPER CORP,Basic Industry,Fixed Income,"2,082,485.62",0.08,"2,082,485.62","1,474,000.00",84265VAE5,US84265VAE56,B57GT08,139.88,Mexico,-,USD,11.64,3.72,1.0,"Apr 16, 2040",6.75,11.65,-,3.72,11.65,3.72,USD,"Apr 16, 2010","Apr 16, 2010"
GOLDMAN SACHS GROUP INC/THE,Banking,Fixed Income,"2,078,816.17",0.08,"2,078,816.17","1,807,000.00",38148YAA6,US38148YAA64,BYZKX58,114.37,United States,-,USD,11.4,2.82,1.0,"Oct 31, 2038",4.02,11.93,-,2.82,11.92,2.82,USD,"Oct 31, 2017","Oct 31, 2017"
ALIBABA GROUP HOLDING LTD,Consumer Cyclical,Fixed Income,"2,074,944.52",0.08,"2,074,944.52","1,882,000.00",01609WAV4,US01609WAV46,BFD9PC5,109.97,China,-,USD,16.04,3.6,1.0,"Dec 06, 2047",4.2,16.2,-,3.6,16.01,3.6,USD,"Dec 06, 2017","Dec 06, 2017"
AT&T INC,Communications,Fixed Income,"2,074,220.90",0.08,"2,074,220.90","1,709,000.00",00206RCQ3,US00206RCQ39,BX2H2X6,120.76,United States,-,USD,15.1,3.48,1.0,"May 15, 2046",4.75,15.27,-,3.46,15.09,3.46,USD,"May 04, 2015","May 04, 2015"
VODAFONE GROUP PLC,Communications,Fixed Income,"2,071,860.28",0.08,"2,071,860.28","1,641,000.00",92857WBS8,US92857WBS89,BK6WV73,126.11,United Kingdom,-,USD,16.38,3.4,1.0,"Jun 19, 2049",4.88,16.48,-,3.4,16.48,3.4,USD,"Jun 19, 2019","Jun 19, 2019"
GOLDMAN SACHS GROUP INC/THE,Banking,Fixed Income,"2,064,858.99",0.08,"2,064,858.99","1,581,000.00",38148LAF3,US38148LAF31,BY58YT3,130.05,United States,-,USD,14.71,3.3,1.0,"May 22, 2045",5.15,14.79,-,3.3,14.79,3.3,USD,"May 22, 2015","May 22, 2015"
T-MOBILE USA INC,Communications,Fixed Income,"2,060,215.65",0.08,"2,060,215.65","2,086,000.00",87264ABL8,US87264ABL89,BN0ZLS0,97.63,United States,-,USD,14.12,3.17,1.0,"Feb 15, 2041",3.0,14.23,-,3.17,14.23,3.17,USD,"Feb 15, 2021","May 21, 2021"
REYNOLDS AMERICAN INC,Consumer Non-Cyclical,Fixed Income,"2,058,604.29",0.08,"2,058,604.29","1,664,000.00",761713BB1,US761713BB19,BZ0HGQ3,121.5,United States,-,USD,13.42,4.38,1.0,"Aug 15, 2045",5.85,13.54,-,4.36,13.38,4.36,USD,"Jun 12, 2015","Jun 12, 2015"
WELLS FARGO & COMPANY MTN,Banking,Fixed Income,"2,054,501.23",0.08,"2,054,501.23","1,626,000.00",94974BGQ7,US94974BGQ77,BYQ29R7,125.75,United States,-,USD,15.03,3.33,1.0,"Nov 17, 2045",4.9,15.1,-,3.33,15.1,3.33,USD,"Nov 17, 2015","Nov 17, 2015"
ABBVIE INC,Consumer Non-Cyclical,Fixed Income,"2,052,370.99",0.08,"2,052,370.99","1,689,000.00",00287YAW9,US00287YAW93,BYP8MQ6,120.93,United States,-,USD,15.49,3.21,1.0,"May 14, 2046",4.45,15.69,-,3.19,15.49,3.19,USD,"May 12, 2016","May 12, 2016"
WELLS FARGO BANK NA MTN,Banking,Fixed Income,"2,045,648.98",0.08,"2,045,648.98","1,380,000.00",92976GAJ0,US92976GAJ04,B29SN65,145.19,United States,-,USD,10.8,3.02,1.0,"Jan 15, 2038",6.6,10.82,-,3.02,10.82,3.02,USD,"Dec 07, 2007","Dec 07, 2007"
ABBVIE INC,Consumer Non-Cyclical,Fixed Income,"2,041,160.71",0.08,"2,041,160.71","1,698,000.00",00287YAR0,US00287YAR09,BXC32C3,119.62,United States,-,USD,10.14,2.74,1.0,"May 14, 2035",4.5,10.31,-,2.69,10.02,2.69,USD,"May 14, 2015","May 14, 2015"
HOME DEPOT INC,Consumer Cyclical,Fixed Income,"2,038,897.39",0.08,"2,038,897.39","1,437,000.00",437076AS1,US437076AS19,B1L80H6,141.64,United States,-,USD,10.82,2.52,1.0,"Dec 16, 2036",5.88,10.85,-,2.52,10.85,2.52,USD,"Dec 19, 2006","Dec 19, 2006"
ORACLE CORPORATION,Technology,Fixed Income,"2,037,672.53",0.08,"2,037,672.53","1,953,000.00",68389XBQ7,US68389XBQ79,BD390R1,103.82,United States,-,USD,16.02,3.77,1.0,"Nov 15, 2047",4.0,16.16,-,3.76,15.97,3.76,USD,"Nov 09, 2017","Nov 09, 2017"
INTEL CORPORATION,Technology,Fixed Income,"2,037,373.32",0.08,"2,037,373.32","1,785,000.00",458140BG4,US458140BG44,BFMFJQ6,113.9,United States,-,USD,16.96,2.96,1.0,"Dec 08, 2047",3.73,17.17,-,2.95,16.96,2.95,USD,"Jun 08, 2018","Jun 08, 2018"
AIA GROUP LTD 144A,Insurance,Fixed Income,"2,036,426.66",0.08,"2,036,426.66","1,965,000.00",00131LAK1,US00131LAK17,-,102.71,Hong Kong,-,USD,13.82,3.01,1.0,"Sep 16, 2040",3.2,13.95,-,3.01,13.68,3.01,USD,"Sep 16, 2020","Sep 16, 2020"
KIMBERLY-CLARK CORP,Consumer Non-Cyclical,Fixed Income,"2,030,422.90",0.08,"2,030,422.90","1,320,000.00",494368BC6,US494368BC63,B23P3Y0,151.06,United States,-,USD,10.71,2.61,1.0,"Aug 01, 2037",6.63,10.74,-,2.61,10.74,2.61,USD,"Jul 30, 2007","Jul 30, 2007"
JPMORGAN CHASE & CO,Banking,Fixed Income,"2,022,144.87",0.08,"2,022,144.87","1,946,000.00",46647PBN5,US46647PBN50,BMF0547,103.32,United States,-,USD,17.28,2.93,1.0,"Apr 22, 2051",3.11,18.83,-,2.93,18.81,2.93,USD,"Apr 22, 2020","Apr 22, 2020"
WELLS FARGO & COMPANY,Banking,Fixed Income,"2,019,474.45",0.08,"2,019,474.45","1,701,000.00",94974BGT1,US94974BGT17,BYYYTZ3,118.52,United States,-,USD,15.67,3.29,1.0,"Jun 14, 2046",4.4,15.74,-,3.29,15.74,3.29,USD,"Jun 14, 2016","Jun 14, 2016"
APPLE INC,Technology,Fixed Income,"2,018,031.68",0.08,"2,018,031.68","2,045,000.00",037833DW7,US037833DW79,-,98.31,United States,-,USD,19.48,2.74,1.0,"May 11, 2050",2.65,19.69,-,2.74,19.69,2.74,USD,"May 11, 2020","May 11, 2020"
