,,,,,,,,,,,,,,,,,,,,,,,,,,iShares® iBonds® Dec 2022 Term Corporate ETF
TOYOTA MOTOR CREDIT CORP MTN,Corporates,Fixed Income,"1,660,705.20",0.11,"1,660,705.20","1,620,000.00",89236TCQ6,US89236TCQ67,BYMVVZ0,101.21,Japan,-,USD,0.52,0.53,1.0,"Jul 13, 2022",2.8,0.53,-,0.53,0.53,0.53,USD,"Jul 13, 2015","Jul 13, 2015"
JOHN DEERE CAPITAL CORP MTN,Corporates,Fixed Income,"1,659,110.39",0.11,"1,659,110.39","1,646,000.00",24422EVA4,US24422EVA45,-,100.7,United States,-,USD,0.45,0.39,1.0,"Jun 13, 2022",1.95,0.45,-,0.39,0.45,0.39,USD,"Sep 12, 2019","Sep 12, 2019"
CHURCH & DWIGHT CO INC,Corporates,Fixed Income,"1,646,522.11",0.1,"1,646,522.11","1,615,000.00",171340AK8,US171340AK87,BF0CDW3,100.93,United States,-,USD,0.49,0.85,1.0,"Aug 01, 2022",2.45,0.57,-,0.58,0.49,0.58,USD,"Jul 25, 2017","Jul 25, 2017"
CATERPILLAR FINANCIAL SERVICES COR MTN,Corporates,Fixed Income,"1,637,877.13",0.1,"1,637,877.13","1,618,000.00",14912L5F4,US14912L5F48,B735SX9,100.99,United States,-,USD,0.42,0.47,1.0,"Jun 01, 2022",2.85,0.42,-,0.47,0.42,0.47,USD,"May 30, 2012","May 30, 2012"
CHEVRON USA INC,Corporates,Fixed Income,"1,608,021.65",0.1,"1,608,021.65","1,607,000.00",166756AF3,US166756AF32,-,99.94,United States,-,USD,0.61,0.44,1.0,"Aug 12, 2022",0.33,0.61,-,0.44,0.61,0.44,USD,"Aug 12, 2020","Aug 12, 2020"
ONCOR ELECTRIC DELIVERY CO LLC,Corporates,Fixed Income,"1,604,384.20",0.1,"1,604,384.20","1,590,000.00",68233JAR5,US68233JAR59,B7MWLF4,100.56,United States,-,USD,0.16,2.72,1.0,"Jun 01, 2022",4.1,0.41,-,0.7,0.17,0.7,USD,"May 18, 2012","Aug 23, 2012"
GEORGIA POWER COMPANY,Corporates,Fixed Income,"1,567,020.76",0.1,"1,567,020.76","1,547,000.00",373334JX0,US373334JX00,B8BPLQ2,100.93,United States,-,USD,0.37,0.35,1.0,"May 15, 2022",2.85,0.37,-,0.35,0.37,0.35,USD,"May 11, 2012","May 11, 2012"
AEP TEXAS INC,Corporates,Fixed Income,"1,561,494.10",0.1,"1,561,494.10","1,535,000.00",00108WAD2,US00108WAD20,BD5DLM3,101.13,United States,-,USD,0.66,0.89,1.0,"Oct 01, 2022",2.4,0.74,-,0.7,0.66,0.7,USD,"Sep 22, 2017","Jan 11, 2018"
NSTAR ELECTRIC CO,Corporates,Fixed Income,"1,559,751.86",0.1,"1,559,751.86","1,539,000.00",67021CAG2,US67021CAG24,B8GR1Y1,100.85,United States,-,USD,0.54,1.29,1.0,"Oct 15, 2022",2.38,0.78,-,0.8,0.53,0.8,USD,"Oct 15, 2012","Oct 15, 2012"
MOLSON COORS BREWING CO,Corporates,Fixed Income,"1,555,827.71",0.1,"1,555,827.71","1,532,000.00",60871RAC4,US60871RAC43,B4MW885,100.97,United States,-,USD,0.33,0.58,1.0,"May 01, 2022",3.5,0.33,-,0.58,0.33,0.58,USD,"May 03, 2012","May 03, 2012"
D R HORTON INC,Corporates,Fixed Income,"1,535,479.78",0.1,"1,535,479.78","1,492,000.00",23331ABE8,US23331ABE82,B7V5V54,101.63,United States,-,USD,0.45,2.04,1.0,"Sep 15, 2022",4.38,0.69,-,0.79,0.45,0.79,USD,"Sep 14, 2012","Sep 14, 2012"
AMEREN ILLINOIS CO,Corporates,Fixed Income,"1,531,457.75",0.1,"1,531,457.75","1,505,000.00",02361DAL4,US02361DAL47,B8408C9,100.86,United States,-,USD,0.41,1.4,1.0,"Sep 01, 2022",2.7,0.66,-,0.63,0.41,0.63,USD,"Aug 20, 2012","Aug 20, 2012"
AUTODESK INC,Corporates,Fixed Income,"1,526,828.55",0.1,"1,526,828.55","1,495,000.00",052769AB2,US052769AB25,B952JG2,101.97,United States,-,USD,0.7,1.52,1.0,"Dec 15, 2022",3.6,0.94,-,0.8,0.7,0.8,USD,"Dec 13, 2012","Dec 13, 2012"
PRINCIPAL FINANCIAL GROUP INC,Corporates,Fixed Income,"1,518,498.78",0.1,"1,518,498.78","1,477,000.00",74251VAE2,US74251VAE20,B8P5JJ7,101.84,United States,-,USD,0.7,0.68,1.0,"Sep 15, 2022",3.3,0.7,-,0.68,0.7,0.68,USD,"Sep 10, 2012","Sep 10, 2012"
KINDER MORGAN ENERGY PARTNERS LP,Corporates,Fixed Income,"1,507,978.54",0.1,"1,507,978.54","1,479,000.00",494550BJ4,US494550BJ49,B5N9YW8,100.58,United States,-,USD,0.16,0.68,1.0,"Mar 01, 2022",4.15,0.17,-,0.68,0.17,0.68,USD,"Aug 17, 2011","Aug 17, 2011"
SKANDINAVISKA ENSKILDA BANKEN AB,Corporates,Fixed Income,"1,504,357.80",0.1,"1,504,357.80","1,485,000.00",830505AW3,US830505AW36,BDFX7M5,100.45,Sweden,-,USD,0.19,0.49,1.0,"Mar 11, 2022",2.8,0.19,-,0.49,0.19,0.49,USD,"Mar 14, 2017","Mar 14, 2017"
JOHN DEERE CAPITAL CORP MTN,Corporates,Fixed Income,"1,485,289.42",0.09,"1,485,289.42","1,467,000.00",24422ERM3,US24422ERM39,B3QQKM4,100.44,United States,-,USD,0.2,0.62,1.0,"Mar 15, 2022",2.75,0.2,-,0.62,0.2,0.62,USD,"Feb 27, 2012","Feb 27, 2012"
LINCOLN NATIONAL CORP,Corporates,Fixed Income,"1,434,952.54",0.09,"1,434,952.54","1,407,000.00",534187BC2,US534187BC24,B7V0D42,100.75,United States,-,USD,0.2,0.54,1.0,"Mar 15, 2022",4.2,0.2,-,0.54,0.2,0.54,USD,"Mar 29, 2012","Mar 29, 2012"
KROGER CO,Corporates,Fixed Income,"1,432,776.79",0.09,"1,432,776.79","1,421,000.00",501044CQ2,US501044CQ29,B7C3N06,100.11,United States,-,USD,0.08,2.99,1.0,"Apr 15, 2022",3.4,0.28,-,1.94,0.08,1.94,USD,"Apr 16, 2012","Apr 16, 2012"
TAPESTRY INC,Corporates,Fixed Income,"1,370,667.39",0.09,"1,370,667.39","1,341,000.00",189754AB0,US189754AB06,BD6DZV9,100.83,United States,-,USD,0.45,1.45,1.0,"Jul 15, 2022",3.0,0.53,-,1.18,0.44,1.18,USD,"Jun 20, 2017","Jun 20, 2017"
DISCOVER FINANCIAL SERVICES,Corporates,Fixed Income,"1,361,593.41",0.09,"1,361,593.41","1,330,000.00",254709AG3,US254709AG33,B92LVK0,101.45,United States,-,USD,0.32,0.68,1.0,"Apr 27, 2022",5.2,0.32,-,0.68,0.32,0.68,USD,"Oct 27, 2012","Nov 15, 2012"
GENPACT LUXEMBOURG SARL,Corporates,Fixed Income,"1,350,394.92",0.09,"1,350,394.92","1,332,000.00",37254BAB6,US37254BAB62,BD0RXK2,100.46,Luxembourg,-,USD,0.16,1.85,1.0,"Apr 01, 2022",3.7,0.25,-,0.94,0.17,0.94,USD,"Apr 01, 2018","Jul 23, 2018"
PECO ENERGY CO,Corporates,Fixed Income,"1,348,637.36",0.09,"1,348,637.36","1,330,000.00",693304AP2,US693304AP22,B89ZVK8,100.7,United States,-,USD,0.45,1.37,1.0,"Sep 15, 2022",2.38,0.69,-,0.83,0.45,0.83,USD,"Sep 17, 2012","Sep 17, 2012"
WR BERKLEY CORP,Corporates,Fixed Income,"1,304,006.07",0.08,"1,304,006.07","1,277,000.00",084423AS1,US084423AS19,B6S63S0,100.75,United States,-,USD,0.2,0.94,1.0,"Mar 15, 2022",4.63,0.2,-,0.94,0.2,0.94,USD,"Mar 16, 2012","Mar 16, 2012"
PACCAR FINANCIAL CORP,Corporates,Fixed Income,"1,301,206.76",0.08,"1,301,206.76","1,280,000.00",69371RQ33,US69371RQ334,-,101.13,United States,-,USD,0.73,0.46,1.0,"Sep 26, 2022",2.0,0.73,-,0.46,0.73,0.46,USD,"Sep 26, 2019","Sep 26, 2019"
COOPERATIEVE RABOBANK UA (NEW YORK,Corporates,Fixed Income,"1,276,987.95",0.08,"1,276,987.95","1,260,000.00",21688AAJ1,US21688AAJ16,BYYPS37,100.04,Netherlands,-,USD,0.03,1.06,1.0,"Jan 10, 2022",2.75,0.02,-,1.06,0.02,1.06,USD,"Jan 10, 2017","Jan 10, 2017"
AVNET INC,Corporates,Fixed Income,"1,275,616.81",0.08,"1,275,616.81","1,227,000.00",053807AR4,US053807AR45,B99BHZ0,103.56,United States,-,USD,0.9,0.97,1.0,"Dec 01, 2022",4.88,0.9,-,0.97,0.9,0.97,USD,"Nov 27, 2012","Nov 27, 2012"
OFFICE PROPERTIES INCOME TRUST,Corporates,Fixed Income,"1,272,734.74",0.08,"1,272,734.74","1,235,000.00",38376AAB9,US38376AAB98,BDBSD26,101.21,United States,-,USD,0.45,1.73,1.0,"Jul 15, 2022",4.0,0.52,-,1.34,0.44,1.34,USD,"Jul 20, 2017","Jul 20, 2017"
RPM INTERNATIONAL INC,Corporates,Fixed Income,"1,267,111.17",0.08,"1,267,111.17","1,242,000.00",749685AS2,US749685AS28,B8K3FX2,101.58,United States,-,USD,0.62,1.62,1.0,"Nov 15, 2022",3.45,0.86,-,0.89,0.61,0.89,USD,"Oct 23, 2012","Oct 23, 2012"
LLOYDS BANK PLC,Corporates,Fixed Income,"1,260,506.09",0.08,"1,260,506.09","1,237,000.00",53944VAS8,US53944VAS88,BJ9MBF1,101.04,United Kingdom,-,USD,0.62,0.56,1.0,"Aug 14, 2022",2.25,0.61,-,0.56,0.61,0.56,USD,"Aug 14, 2019","Aug 14, 2019"
EDISON INTERNATIONAL,Corporates,Fixed Income,"1,252,194.99",0.08,"1,252,194.99","1,229,000.00",281020AP2,US281020AP29,-,101.49,United States,-,USD,0.78,1.4,1.0,"Nov 15, 2022",3.13,0.86,-,1.23,0.78,1.23,USD,"Nov 19, 2019","Nov 19, 2019"
LEGGETT AND PLATT INCORPORATED,Corporates,Fixed Income,"1,237,986.34",0.08,"1,237,986.34","1,211,000.00",524660AW7,US524660AW77,B7H1ZV0,100.94,United States,-,USD,0.37,1.86,1.0,"Aug 15, 2022",3.4,0.61,-,0.86,0.37,0.86,USD,"Aug 15, 2012","Aug 15, 2012"
SOUTHWEST AIRLINES CO,Corporates,Fixed Income,"1,215,644.24",0.08,"1,215,644.24","1,194,000.00",844741BD9,US844741BD90,BFN3K99,101.47,United States,-,USD,0.79,1.06,1.0,"Nov 16, 2022",2.75,0.86,-,0.88,0.78,0.88,USD,"Nov 16, 2017","Nov 16, 2017"
RYDER SYSTEM INC MTN,Corporates,Fixed Income,"1,213,239.94",0.08,"1,213,239.94","1,191,000.00",78355HKF5,US78355HKF54,BF7TY13,101.03,United States,-,USD,0.58,0.94,1.0,"Sep 01, 2022",2.5,0.66,-,0.72,0.58,0.72,USD,"Aug 08, 2017","Aug 08, 2017"
EXELON GENERATION COMPANY LLC,Corporates,Fixed Income,"1,208,904.02",0.08,"1,208,904.02","1,193,000.00",30161MAR4,US30161MAR43,BDH3LJ8,100.33,United States,-,USD,0.13,1.76,1.0,"Mar 15, 2022",3.4,0.2,-,0.66,0.12,0.66,USD,"Mar 10, 2017","Mar 10, 2017"
COLGATE-PALMOLIVE CO MTN,Corporates,Fixed Income,"1,183,870.03",0.08,"1,183,870.03","1,163,000.00",19416QEL0,US19416QEL05,BF02SJ5,101.51,United States,-,USD,0.87,0.52,1.0,"Nov 15, 2022",2.25,0.86,-,0.52,0.86,0.52,USD,"Nov 02, 2017","Nov 02, 2017"
NORTHERN STATES POWER COMPANY (MIN,Corporates,Fixed Income,"1,176,489.49",0.07,"1,176,489.49","1,165,000.00",665772CH0,US665772CH05,B73TH78,100.17,United States,-,USD,0.13,1.87,1.0,"Aug 15, 2022",2.15,0.61,-,0.72,0.12,0.72,USD,"Aug 13, 2012","Aug 13, 2012"
SOUTHERN COPPER CORP,Corporates,Fixed Income,"1,162,500.57",0.07,"1,162,500.57","1,134,000.00",84265VAF2,US84265VAF22,B8XF449,102.0,Mexico,-,USD,0.84,1.14,1.0,"Nov 08, 2022",3.5,0.84,-,1.14,0.84,1.14,USD,"Nov 08, 2012","Nov 08, 2012"
PUBLIC SERVICE COMPANY OF COLORADO,Corporates,Fixed Income,"1,160,898.01",0.07,"1,160,898.01","1,149,000.00",744448CF6,US744448CF61,B8889L5,100.37,United States,-,USD,0.2,1.71,1.0,"Sep 15, 2022",2.25,0.69,-,0.43,0.21,0.43,USD,"Sep 11, 2012","Sep 11, 2012"
OREILLY AUTOMOTIVE INC,Corporates,Fixed Income,"1,159,048.53",0.07,"1,159,048.53","1,130,000.00",67103HAC1,US67103HAC16,B89F722,101.3,United States,-,USD,0.41,1.82,1.0,"Sep 01, 2022",3.8,0.65,-,0.66,0.41,0.66,USD,"Aug 21, 2012","Aug 21, 2012"
VIRGINIA ELECTRIC AND POWER CO,Corporates,Fixed Income,"1,144,306.54",0.07,"1,144,306.54","1,118,000.00",927804FJ8,US927804FJ89,BZBW5N7,101.2,United States,-,USD,0.41,1.63,1.0,"Sep 01, 2022",3.45,0.65,-,0.56,0.41,0.56,USD,"Sep 01, 2010","Sep 01, 2010"
LENNAR CORP,Corporates,Fixed Income,"1,143,266.08",0.07,"1,143,266.08","1,110,000.00",526057BN3,US526057BN32,BDV82C9,102.39,United States,-,USD,0.62,1.96,1.0,"Nov 15, 2022",4.75,0.85,-,0.88,0.61,0.88,USD,"May 15, 2013","Sep 05, 2013"
SOUTHERN CALIFORNIA EDISON CO,Corporates,Fixed Income,"1,142,836.91",0.07,"1,142,836.91","1,130,000.00",842400GD9,US842400GD91,BVDPSM6,100.14,United States,-,USD,0.09,0.76,1.0,"Feb 01, 2022",2.4,0.08,-,0.68,0.08,0.68,USD,"Jan 16, 2015","Jan 16, 2015"
CHURCH & DWIGHT CO INC,Corporates,Fixed Income,"1,121,917.66",0.07,"1,121,917.66","1,096,000.00",171340AH5,US171340AH58,B83NH77,101.65,United States,-,USD,0.75,0.67,1.0,"Oct 01, 2022",2.88,0.74,-,0.67,0.74,0.67,USD,"Sep 26, 2012","Sep 26, 2012"
FRANKLIN RESOURCES INC.,Corporates,Fixed Income,"1,100,632.78",0.07,"1,100,632.78","1,075,000.00",354613AJ0,US354613AJ09,B8KQHG8,101.56,United States,-,USD,0.7,0.58,1.0,"Sep 15, 2022",2.8,0.7,-,0.58,0.7,0.58,USD,"Sep 24, 2012","Sep 24, 2012"
MARRIOTT INTERNATIONAL INC,Corporates,Fixed Income,"1,061,587.33",0.07,"1,061,587.33","1,050,000.00",571903AR4,US571903AR49,BDHFVK5,100.04,United States,-,USD,0.05,1.18,1.0,"Jan 15, 2022",2.3,0.04,-,1.18,0.04,1.18,USD,"Jun 10, 2016","Jun 10, 2016"
KEY BANK NATIONAL ASSOCIATION,Corporates,Fixed Income,"1,056,280.61",0.07,"1,056,280.61","1,042,000.00",49306SAA4,US49306SAA42,2242974,101.03,United States,-,USD,0.39,0.55,1.0,"May 22, 2022",3.18,0.39,-,0.55,0.39,0.55,USD,"May 22, 2015","May 22, 2015"
TRUIST FINANCIAL CORP MTN,Corporates,Fixed Income,"1,055,800.30",0.07,"1,055,800.30","1,040,000.00",05531GAA9,US05531GAA94,B6Z5LL9,100.43,United States,-,USD,0.15,2.0,1.0,"Mar 22, 2022",3.95,0.22,-,0.86,0.14,0.86,USD,"Mar 22, 2012","Mar 22, 2012"
RYDER SYSTEM INC MTN,Corporates,Fixed Income,"1,050,432.46",0.07,"1,050,432.46","1,039,000.00",78355HKD0,US78355HKD07,BDZCRF5,100.17,United States,-,USD,0.09,1.78,1.0,"Mar 01, 2022",2.8,0.17,-,0.76,0.09,0.76,USD,"Feb 24, 2017","Feb 24, 2017"
PACCAR FINANCIAL CORP MTN,Corporates,Fixed Income,"1,038,409.20",0.07,"1,038,409.20","1,018,000.00",69371RN77,US69371RN778,BF47RZ5,101.1,United States,-,USD,0.6,0.48,1.0,"Aug 10, 2022",2.3,0.6,-,0.48,0.6,0.48,USD,"Aug 10, 2017","Aug 10, 2017"
ALLEGHANY CORPORATION,Corporates,Fixed Income,"1,029,099.28",0.07,"1,029,099.28","1,009,000.00",017175AC4,US017175AC41,B7VSBQ4,101.94,United States,-,USD,0.49,0.97,1.0,"Jun 27, 2022",4.95,0.49,-,0.97,0.49,0.97,USD,"Jun 26, 2012","Jun 26, 2012"
NEWMARKET CORP,Corporates,Fixed Income,"1,012,197.98",0.06,"1,012,197.98","981,000.00",651587AF4,US651587AF46,B8CL051,103.0,United States,-,USD,0.94,0.94,1.0,"Dec 15, 2022",4.1,0.94,-,0.94,0.94,0.94,USD,"Dec 20, 2012","Apr 23, 2013"
KIMBERLY-CLARK CORP,Corporates,Fixed Income,"988,088.95",0.06,"988,088.95","977,000.00",494368BH5,US494368BH50,B6TC2V3,100.33,United States,-,USD,0.16,0.39,1.0,"Mar 01, 2022",2.4,0.17,-,0.39,0.17,0.39,USD,"Feb 09, 2012","Feb 09, 2012"
JB HUNT TRANSPORT SERVICES INC,Corporates,Fixed Income,"974,648.20",0.06,"974,648.20","951,000.00",445658CE5,US445658CE53,BYRLTN9,101.24,United States,-,USD,0.45,1.29,1.0,"Aug 15, 2022",3.3,0.61,-,0.57,0.45,0.57,USD,"Aug 06, 2015","Aug 06, 2015"
ARROW ELECTRONICS INC,Corporates,Fixed Income,"940,164.81",0.06,"940,164.81","930,000.00",042735BD1,US042735BD16,BW01ZP6,100.22,United States,-,USD,0.09,2.6,1.0,"Apr 01, 2022",3.5,0.25,-,0.85,0.09,0.85,USD,"Mar 02, 2015","Mar 02, 2015"
WHIRLPOOL CORP MTN,Corporates,Fixed Income,"911,885.96",0.06,"911,885.96","894,000.00",96332HCE7,US96332HCE71,B8FMQ19,101.61,United States,-,USD,0.42,0.82,1.0,"Jun 01, 2022",4.7,0.41,-,0.82,0.41,0.82,USD,"Jun 01, 2012","Jun 01, 2012"
SUNOCO LOGISTICS PARTNERS LP,Corporates,Fixed Income,"900,387.79",0.06,"900,387.79","881,000.00",86765BAJ8,US86765BAJ89,B3LZSH7,100.44,United States,-,USD,0.13,1.0,1.0,"Feb 15, 2022",4.65,0.12,-,1.0,0.12,1.0,USD,"Aug 02, 2011","Aug 02, 2011"
KAISER FOUNDATION HOSPITALS,Corporates,Fixed Income,"895,917.96",0.06,"895,917.96","882,000.00",48305QAA1,US48305QAA13,B7DCCM7,100.7,United States,-,USD,0.25,0.68,1.0,"Apr 01, 2022",3.5,0.25,-,0.68,0.25,0.68,USD,"Apr 11, 2012","Apr 11, 2012"
BEAM INC,Corporates,Fixed Income,"890,393.78",0.06,"890,393.78","884,000.00",073730AE3,US073730AE32,B8BC6W4,100.31,Japan,-,USD,0.13,2.41,1.0,"May 15, 2022",3.25,0.37,-,0.71,0.12,0.71,USD,"May 21, 2012","May 21, 2012"
ENDURANCE SPECIALTY HOLDINGS LTD,Corporates,Fixed Income,"878,090.19",0.06,"878,090.19","846,000.00",614810AB5,US614810AB54,B86M5Z5,102.81,United States,-,USD,0.78,1.12,1.0,"Oct 15, 2022",4.7,0.78,-,1.12,0.78,1.12,USD,"Oct 05, 2012","Oct 05, 2012"
CONOCOPHILLIPS CO,Corporates,Fixed Income,"860,214.17",0.05,"860,214.17","850,000.00",20826FAA4,US20826FAA49,B93LKM4,101.1,United States,-,USD,0.71,1.24,1.0,"Dec 15, 2022",2.4,0.94,-,0.84,0.7,0.84,USD,"Dec 07, 2012","Dec 07, 2012"
CENTERPOINT ENERGY HOUSTON ELECTRI,Corporates,Fixed Income,"832,476.22",0.05,"832,476.22","820,000.00",15189XAL2,US15189XAL29,B7MGJ30,100.58,United States,-,USD,0.33,1.24,1.0,"Aug 01, 2022",2.25,0.57,-,0.49,0.33,0.49,USD,"Aug 10, 2012","Aug 10, 2012"
DUKE ENERGY CAROLINAS LLC,Corporates,Fixed Income,"820,379.01",0.05,"820,379.01","808,000.00",26442CAW4,US26442CAW47,-,101.1,United States,-,USD,0.37,0.38,1.0,"May 15, 2022",3.35,0.37,-,0.38,0.37,0.38,USD,"Nov 08, 2018","Nov 08, 2018"
PACCAR FINANCIAL CORP MTN,Corporates,Fixed Income,"744,966.67",0.05,"744,966.67","735,000.00",69371RP75,US69371RP757,-,100.41,United States,-,USD,0.16,0.41,1.0,"Mar 01, 2022",2.85,0.17,-,0.41,0.17,0.41,USD,"Mar 01, 2019","Mar 01, 2019"
CAMDEN PROPERTY TRUST,Corporates,Fixed Income,"663,071.68",0.04,"663,071.68","652,000.00",133131AT9,US133131AT99,B93KQ78,101.57,United States,-,USD,0.7,1.29,1.0,"Dec 15, 2022",2.95,0.94,-,0.72,0.7,0.72,USD,"Dec 07, 2012","Dec 07, 2012"
BOEING CO,Corporates,Fixed Income,"649,295.83",0.04,"649,295.83","644,000.00",097023BT1,US097023BT13,BZBZBC7,100.11,United States,-,USD,0.09,1.43,1.0,"Mar 01, 2022",2.13,0.17,-,0.73,0.09,0.73,USD,"Feb 16, 2017","Feb 16, 2017"
CABOT CORPORATION,Corporates,Fixed Income,"623,612.55",0.04,"623,612.55","604,000.00",127055AH4,US127055AH48,B8J4PV4,101.54,United States,-,USD,0.53,0.83,1.0,"Jul 15, 2022",3.7,0.53,-,0.83,0.53,0.83,USD,"Jul 12, 2012","Jul 12, 2012"
CARLISLE CO INC,Corporates,Fixed Income,"543,123.61",0.03,"543,123.61","531,000.00",142339AF7,US142339AF70,B83FSP8,101.8,United States,-,USD,0.62,1.66,1.0,"Nov 15, 2022",3.75,0.86,-,0.83,0.61,0.83,USD,"Nov 20, 2012","Nov 20, 2012"
CINTAS CORPORATION NO. 2,Corporates,Fixed Income,"453,203.25",0.03,"453,203.25","450,000.00",17252MAL4,US17252MAL46,B8H3D42,100.44,United States,-,USD,0.16,2.18,1.0,"Jun 01, 2022",3.25,0.41,-,0.59,0.17,0.59,USD,"Jun 08, 2012","Jun 08, 2012"
RAYONIER INC.,Corporates,Fixed Income,"413,843.75",0.03,"413,843.75","410,000.00",754907AA1,US754907AA12,B7K7ND3,100.0,United States,-,USD,0.13,3.72,1.0,"Apr 01, 2022",3.75,0.25,-,3.59,0.08,3.59,USD,"Mar 05, 2012","Mar 05, 2012"
CAPITAL ONE NA (VIRGINIA),Corporates,Fixed Income,"393,287.66",0.03,"393,287.66","385,000.00",14042RHC8,US14042RHC88,BDFBGR7,101.1,United States,-,USD,0.51,0.82,1.0,"Aug 08, 2022",2.65,0.59,-,0.53,0.51,0.53,USD,"Aug 08, 2017","Aug 08, 2017"
ADVANCED MICRO DEVICES INC,Corporates,Fixed Income,"363,399.93",0.02,"363,399.93","340,000.00",007903AX5,US007903AX53,BBFKKG7,104.05,United States,-,USD,0.6,0.96,1.0,"Aug 15, 2022",7.5,0.6,-,0.96,0.6,0.96,USD,"Feb 15, 2013","Jun 07, 2013"
DIAGEO INVESTMENT CORPORATION,Corporates,Fixed Income,"325,720.62",0.02,"325,720.62","303,000.00",386088AF5,US386088AF50,2583866,105.14,United Kingdom,-,USD,0.69,0.68,1.0,"Sep 15, 2022",8.0,0.68,-,0.68,0.68,0.68,USD,"Sep 15, 1992","Sep 21, 1992"
TORCHMARK CORPORATION,Corporates,Fixed Income,"309,731.67",0.02,"309,731.67","300,000.00",891027AQ7,US891027AQ76,B8FPG30,102.13,United States,-,USD,0.7,0.77,1.0,"Sep 15, 2022",3.8,0.69,-,0.77,0.69,0.77,USD,"Sep 24, 2012","Sep 24, 2012"
ENSTAR GROUP LTD,Corporates,Fixed Income,"232,731.51",0.01,"232,731.51","229,000.00",29359UAA7,US29359UAA79,BDZ3G40,100.24,Bermuda,-,USD,0.11,3.19,1.0,"Mar 10, 2022",4.5,0.19,-,2.17,0.11,2.17,USD,"Mar 10, 2017","Mar 10, 2017"
RECKSON OPERATING PARTNERSHIP LP,Corporates,Fixed Income,"225,863.00",0.01,"225,863.00","220,000.00",75625AAD6,US75625AAD63,B90KS64,102.29,United States,-,USD,0.66,1.97,1.0,"Dec 01, 2022",4.5,0.9,-,1.05,0.66,1.05,USD,"Nov 15, 2012","Nov 15, 2012"
DIGNITY HEALTH,Corporates,Fixed Income,"132,924.78",0.01,"132,924.78","130,000.00",254010AA9,US254010AA90,B8KTZB8,101.73,United States,-,USD,0.83,1.03,1.0,"Nov 01, 2022",3.13,0.82,-,1.03,0.82,1.03,USD,"Oct 18, 2012","Oct 18, 2012"
