,,,,,,,,,,,,,,,,,,,,,,,,,,iShares U.S. Fixed Income Balanced Risk Factor ETF
GNMA 30YR PLATINUM,MBS Pass-Through,Fixed Income,"94,526.89",0.08,"94,526.89","90,978.00",3622A27M8,US3622A27M88,-,103.65,United States,-,USD,4.18,2.21,1.0,"Feb 15, 2047",3.0,4.65,-,2.21,4.65,2.21,USD,"Jun 01, 2018","Jun 01, 2018"
ARES CAPITAL CORPORATION,Financial Institutions,Fixed Income,"92,912.01",0.08,"92,912.01","93,000.00",04010LBA0,US04010LBA08,-,98.91,United States,-,USD,4.26,2.4,1.0,"Jul 15, 2026",2.15,4.25,-,2.4,4.25,2.4,USD,"Jan 13, 2021","Jan 13, 2021"
MGM GROWTH PROPERTIES OPERATING PA,Industrial,Fixed Income,"92,626.27",0.08,"92,626.27","80,000.00",55303XAJ4,US55303XAJ46,BKSLLW3,113.39,United States,-,USD,4.24,2.9,1.0,"Feb 01, 2027",5.75,4.37,-,2.77,4.18,2.77,USD,"Aug 01, 2019","Jan 06, 2020"
GOLDMAN SACHS GROUP INC/THE,Financial Institutions,Fixed Income,"92,570.40",0.08,"92,570.40","90,000.00",38141GXG4,US38141GXG45,-,101.82,United States,-,USD,7.13,2.35,1.0,"Feb 07, 2030",2.6,7.21,-,2.35,7.0,2.35,USD,"Feb 07, 2020","Feb 07, 2020"
FNMA 15YR UMBS SUPER,MBS Pass-Through,Fixed Income,"92,020.47",0.08,"92,020.47","89,629.00",3140X8NS2,US3140X8NS29,-,102.5,United States,-,USD,3.61,1.33,1.0,"Dec 01, 2035",2.0,3.88,-,1.33,3.88,1.33,USD,"Nov 01, 2020","Nov 01, 2020"
NEXTERA ENERGY CAPITAL HOLDINGS IN,Utility,Fixed Income,"91,632.80",0.08,"91,632.80","84,000.00",65339KAT7,US65339KAT79,BZ3FXP2,108.5,United States,-,USD,4.72,1.87,1.0,"May 01, 2027",3.55,4.86,-,1.79,4.65,1.79,USD,"Apr 28, 2017","Apr 28, 2017"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"91,366.02",0.08,"91,366.02","89,189.00",3140QGZ83,US3140QGZ832,-,102.23,United States,-,USD,5.45,2.09,1.0,"Feb 01, 2051",2.5,5.66,-,2.09,5.66,2.09,USD,"Jan 01, 2021","Jan 01, 2021"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"91,275.65",0.08,"91,275.65","86,702.00",36179TLS2,US36179TLS23,-,104.98,United States,-,USD,3.39,2.2,1.0,"Nov 20, 2047",3.5,3.93,-,2.2,3.93,2.2,USD,"Nov 01, 2017","Nov 01, 2017"
MORGAN STANLEY MTN,Financial Institutions,Fixed Income,"91,254.13",0.08,"91,254.13","85,000.00",61761J3R8,US61761J3R84,BYV6G28,106.02,United States,-,USD,4.22,1.75,1.0,"Jul 27, 2026",3.13,4.22,-,1.75,4.22,1.75,USD,"Jul 25, 2016","Jul 25, 2016"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"91,119.96",0.08,"91,119.96","86,591.00",36179T7J8,US36179T7J86,-,104.94,United States,-,USD,3.39,2.23,1.0,"Aug 20, 2048",3.5,4.0,-,2.23,4.0,2.23,USD,"Aug 01, 2018","Aug 01, 2018"
SVB FINANCIAL GROUP,Financial Institutions,Fixed Income,"90,834.25",0.08,"90,834.25","95,000.00",78486QAF8,US78486QAF81,-,94.87,United States,-,USD,8.22,2.43,1.0,"Feb 02, 2031",1.8,8.23,-,2.43,8.23,2.43,USD,"Feb 02, 2021","Feb 02, 2021"
VF CORPORATION,Industrial,Fixed Income,"90,753.49",0.08,"90,753.49","90,000.00",918204AZ1,US918204AZ14,BMVM7T6,100.45,United States,-,USD,0.31,0.6,1.0,"Apr 23, 2022",2.05,0.31,-,0.6,0.31,0.6,USD,"Apr 23, 2020","Apr 23, 2020"
J2 GLOBAL INC 144A,Industrial,Fixed Income,"90,208.90",0.08,"90,208.90","87,000.00",48123VAF9,US48123VAF94,-,102.71,United States,-,USD,5.61,4.25,1.0,"Oct 15, 2030",4.63,7.13,-,4.16,5.74,4.16,USD,"Oct 07, 2020","Oct 07, 2020"
CITIGROUP INC,Financial Institutions,Fixed Income,"89,542.35",0.08,"89,542.35","90,000.00",172967MX6,US172967MX62,-,99.33,United States,-,USD,2.3,1.12,1.0,"May 01, 2025",0.98,2.29,-,1.12,2.29,1.12,USD,"May 04, 2021","May 04, 2021"
DCP MIDSTREAM OPERATING LP,Industrial,Fixed Income,"89,404.38",0.08,"89,404.38","80,000.00",23311VAG2,US23311VAG23,BDG06C8,109.28,United States,-,USD,3.01,2.61,1.0,"Jul 15, 2025",5.38,3.17,-,2.42,2.97,2.42,USD,"Jul 17, 2018","Jul 17, 2018"
HCA INC,Industrial,Fixed Income,"88,462.67",0.08,"88,462.67","80,000.00",404119BX6,US404119BX69,BKKDGV1,110.4,United States,-,USD,6.35,2.58,1.0,"Jun 15, 2029",4.13,6.46,-,2.54,6.27,2.54,USD,"Jun 12, 2019","Jun 12, 2019"
CATERPILLAR FINANCIAL SERVICES COR MTN,Industrial,Fixed Income,"88,385.10",0.08,"88,385.10","90,000.00",14913R2H9,US14913R2H93,BMD2QK8,98.1,United States,-,USD,3.79,1.31,1.0,"Nov 13, 2025",0.8,3.79,-,1.31,3.79,1.31,USD,"Nov 13, 2020","Nov 13, 2020"
BOEING CO,Industrial,Fixed Income,"88,267.60",0.08,"88,267.60","80,000.00",097023CT0,US097023CT04,-,109.52,United States,-,USD,3.02,1.91,1.0,"May 01, 2025",4.88,3.08,-,1.84,3.01,1.84,USD,"May 04, 2020","May 04, 2020"
GOLDMAN SACHS BDC INC,Financial Institutions,Fixed Income,"88,239.09",0.08,"88,239.09","85,000.00",38147UAD9,US38147UAD90,-,102.49,United States,-,USD,3.74,2.23,1.0,"Jan 15, 2026",2.88,3.75,-,2.22,3.68,2.22,USD,"Nov 24, 2020","Nov 24, 2020"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"87,984.00",0.08,"87,984.00","83,966.00",36179R7H6,US36179R7H66,-,104.54,United States,-,USD,3.34,1.96,1.0,"Apr 20, 2046",3.0,4.44,-,1.96,4.44,1.96,USD,"Apr 01, 2016","Apr 01, 2016"
CVS HEALTH CORP,Industrial,Fixed Income,"87,818.80",0.08,"87,818.80","90,000.00",126650DM9,US126650DM98,-,97.11,United States,-,USD,5.36,1.84,1.0,"Aug 21, 2027",1.3,5.38,-,1.84,5.38,1.84,USD,"Aug 21, 2020","Aug 21, 2020"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"86,097.27",0.08,"86,097.27","74,953.00",3140X4GD2,US3140X4GD29,-,114.37,United States,-,USD,2.65,2.26,1.0,"Feb 01, 2049",6.0,3.83,-,2.26,3.83,2.26,USD,"Jun 01, 2019","Jun 01, 2019"
FHLMC 15YR UMBS SUPER,MBS Pass-Through,Fixed Income,"85,928.91",0.07,"85,928.91","80,993.00",3132CWC85,US3132CWC850,-,105.8,United States,-,USD,1.67,0.15,1.0,"Jul 01, 2034",3.5,1.78,-,0.15,1.78,0.15,USD,"Oct 01, 2019","Oct 01, 2019"
CONSOLIDATED EDISON COMPANY OF NEW,Utility,Fixed Income,"85,786.82",0.07,"85,786.82","85,000.00",209111GA5,US209111GA54,-,100.82,United States,-,USD,8.37,2.3,1.0,"Jun 15, 2031",2.4,8.41,-,2.3,8.21,2.3,USD,"Jun 08, 2021","Jun 08, 2021"
BATH & BODY WORKS INC,Industrial,Fixed Income,"85,658.50",0.07,"85,658.50","75,000.00",501797AR5,US501797AR52,BKDK954,113.88,United States,-,USD,2.3,5.23,1.0,"Jun 15, 2029",7.5,5.79,-,1.7,2.27,1.7,USD,"Jun 20, 2019","Jun 20, 2019"
SS&C TECHNOLOGIES INC 144A,Industrial,Fixed Income,"84,892.80",0.07,"84,892.80","80,000.00",78466CAC0,US78466CAC01,BJQ1YJ6,104.74,United States,-,USD,0.94,4.55,1.0,"Sep 30, 2027",5.5,4.85,-,2.86,0.25,2.86,USD,"Mar 28, 2019","Mar 28, 2019"
GNMA2 SINGLE FAMILY 30YR,MBS Pass-Through,Fixed Income,"84,179.38",0.07,"84,179.38","80,335.00",36179SLR6,US36179SLR66,BFX17F8,104.54,United States,-,USD,3.34,1.96,1.0,"Sep 20, 2046",3.0,4.44,-,1.96,4.44,1.96,USD,"Sep 01, 2016","Sep 01, 2016"
CHARLES SCHWAB CORPORATION (THE),Financial Institutions,Fixed Income,"84,066.13",0.07,"84,066.13","85,000.00",808513BR5,US808513BR53,-,98.75,United States,-,USD,4.22,1.45,1.0,"May 13, 2026",1.15,4.23,-,1.45,4.23,1.45,USD,"May 13, 2021","May 13, 2021"
BAXTER INTERNATIONAL INC,Industrial,Fixed Income,"83,815.38",0.07,"83,815.38","80,000.00",071813BQ1,US071813BQ15,BDHDFF2,103.79,United States,-,USD,4.21,1.74,1.0,"Aug 15, 2026",2.6,4.31,-,1.7,4.09,1.7,USD,"Aug 15, 2016","Aug 15, 2016"
OCCIDENTAL PETROLEUM CORPORATION,Industrial,Fixed Income,"83,635.14",0.07,"83,635.14","65,000.00",674599DZ5,US674599DZ54,-,124.75,United States,-,USD,4.15,3.54,1.0,"Jul 15, 2027",8.5,4.43,-,3.15,4.11,3.15,USD,"Jul 13, 2020","Jul 13, 2020"
MATADOR RESOURCES CO,Industrial,Fixed Income,"83,516.69",0.07,"83,516.69","80,000.00",576485AE6,US576485AE64,BJ1MZM4,102.67,United States,-,USD,2.7,5.23,1.0,"Sep 15, 2026",5.88,4.01,-,4.81,2.44,4.81,USD,"Aug 21, 2018","Dec 19, 2018"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"82,851.97",0.07,"82,851.97","80,693.00",3617NX3P3,US3617NX3P31,-,102.47,United States,-,USD,3.96,1.91,1.0,"Aug 20, 2050",2.5,4.33,-,1.91,4.33,1.91,USD,"Aug 01, 2020","Aug 01, 2020"
CONTINENTAL RESOURCES INC,Industrial,Fixed Income,"82,757.52",0.07,"82,757.52","75,000.00",212015AS0,US212015AS02,BF19CF9,108.33,United States,-,USD,5.15,2.86,1.0,"Jan 15, 2028",4.38,5.23,-,2.81,5.04,2.81,USD,"Dec 08, 2017","May 23, 2018"
GNMA 30YR,MBS Pass-Through,Fixed Income,"82,654.48",0.07,"82,654.48","78,177.00",36179VFR6,US36179VFR69,-,105.39,United States,-,USD,3.21,2.42,1.0,"Feb 20, 2050",4.0,3.52,-,2.42,3.52,2.42,USD,"Feb 01, 2020","Feb 01, 2020"
FNMA 15YR,MBS Pass-Through,Fixed Income,"81,683.90",0.07,"81,683.90","75,786.00",3140J8ST1,-,-,107.49,United States,-,USD,2.09,1.07,1.0,"Apr 01, 2033",3.5,3.11,-,1.07,3.11,1.07,USD,"Jun 01, 2018","Jun 01, 2018"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"81,507.04",0.07,"81,507.04","79,380.00",3617QG2H6,US3617QG2H63,-,102.47,United States,-,USD,3.88,1.88,1.0,"Sep 20, 2050",2.5,4.16,-,1.88,4.16,1.88,USD,"Sep 01, 2020","Sep 01, 2020"
CCO HOLDINGS LLC 144A,Industrial,Fixed Income,"81,303.69",0.07,"81,303.69","75,000.00",1248EPCB7,US1248EPCB75,BK8KJX7,107.96,United States,-,USD,3.38,4.12,1.0,"Jun 01, 2029",5.38,6.12,-,3.02,2.26,3.02,USD,"May 23, 2019","May 23, 2019"
BROOKFIELD RESIDENTIAL PROPERTIES 144A,Industrial,Fixed Income,"80,016.21",0.07,"80,016.21","75,000.00",11283YAB6,US11283YAB65,BKVJXG2,104.85,Canada,-,USD,1.45,5.25,1.0,"Sep 15, 2027",6.25,4.7,-,3.63,0.68,3.63,USD,"Sep 23, 2019","Sep 23, 2019"
CREDIT ACCEPTANCE CORPORATION,Financial Institutions,Fixed Income,"79,560.52",0.07,"79,560.52","75,000.00",225310AM3,US225310AM36,-,104.13,United States,-,USD,0.2,5.51,1.0,"Mar 15, 2026",6.63,3.58,-,2.5,0.2,2.5,USD,"Mar 15, 2020","Mar 24, 2020"
QUANTA SERVICES INC.,Industrial,Fixed Income,"79,306.89",0.07,"79,306.89","80,000.00",74762EAG7,US74762EAG70,-,98.88,United States,-,USD,2.33,1.37,1.0,"Oct 01, 2024",0.95,2.7,-,1.37,2.7,1.37,USD,"Sep 23, 2021","Sep 23, 2021"
BOMBARDIER INC 144A,Industrial,Fixed Income,"79,079.62",0.07,"79,079.62","75,000.00",097751BT7,US097751BT78,BHL3S24,103.78,Canada,-,USD,2.12,7.0,1.0,"Apr 15, 2027",7.88,4.23,-,6.08,2.05,6.08,USD,"Mar 07, 2019","Mar 07, 2019"
GENERAL MOTORS FINANCIAL CO INC,Industrial,Fixed Income,"78,722.64",0.07,"78,722.64","80,000.00",37045XDE3,US37045XDE31,-,97.27,United States,-,USD,7.94,2.69,1.0,"Jan 08, 2031",2.35,7.96,-,2.69,7.96,2.69,USD,"Jan 08, 2021","Jan 08, 2021"
NVR INC,Industrial,Fixed Income,"78,282.25",0.07,"78,282.25","75,000.00",62944TAF2,US62944TAF21,-,103.99,United States,-,USD,7.17,2.47,1.0,"May 15, 2030",3.0,7.37,-,2.44,6.98,2.44,USD,"May 04, 2020","May 04, 2020"
GNMA 30YR PLATINUM,MBS Pass-Through,Fixed Income,"77,853.88",0.07,"77,853.88","69,716.00",3622A2ES7,US3622A2ES70,-,111.38,United States,-,USD,3.39,0.59,1.0,"Mar 15, 2043",3.5,3.97,-,0.59,3.97,0.59,USD,"Apr 01, 2013","Apr 01, 2013"
COSTCO WHOLESALE CORPORATION,Industrial,Fixed Income,"77,850.84",0.07,"77,850.84","80,000.00",22160KAP0,US22160KAP03,-,97.0,United States,-,USD,7.63,1.99,1.0,"Apr 20, 2030",1.6,7.7,-,1.99,7.7,1.99,USD,"Apr 20, 2020","Apr 20, 2020"
UMBS 30YR TBA(REG A),MBS Pass-Through,Fixed Income,"77,791.50",0.07,"77,791.50","75,000.00",01F030611,US01F0306112,-,103.62,United States,-,USD,3.74,2.04,1.0,"Jan 13, 2022",3.0,3.93,-,2.04,3.93,2.04,USD,"Jan 01, 2022","Jan 01, 2022"
ROPER TECHNOLOGIES INC,Industrial,Fixed Income,"77,529.71",0.07,"77,529.71","75,000.00",776743AH9,US776743AH99,BKRLVN5,102.68,United States,-,USD,2.57,1.34,1.0,"Sep 15, 2024",2.35,2.6,-,1.31,2.53,1.31,USD,"Aug 26, 2019","Aug 26, 2019"
OCCIDENTAL PETROLEUM CORPORATION,Industrial,Fixed Income,"77,480.83",0.07,"77,480.83","75,000.00",674599CH6,US674599CH65,BDBFN27,102.59,United States,-,USD,3.87,2.75,1.0,"Apr 15, 2026",3.4,3.95,-,2.72,3.73,2.72,USD,"Apr 04, 2016","Apr 04, 2016"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"77,361.71",0.07,"77,361.71","72,316.00",31418DPL0,US31418DPL00,-,106.64,United States,-,USD,3.06,2.19,1.0,"May 01, 2050",4.0,3.78,-,2.19,3.78,2.19,USD,"Apr 01, 2020","Apr 01, 2020"
APACHE CORPORATION,Industrial,Fixed Income,"77,326.71",0.07,"77,326.71","70,000.00",037411BF1,US037411BF15,BK1M2B9,108.51,United States,-,USD,6.65,3.05,1.0,"Jan 15, 2030",4.25,6.72,-,3.02,6.54,3.02,USD,"Jun 19, 2019","Jun 19, 2019"
FGOLD 30YR GIANT,MBS Pass-Through,Fixed Income,"76,968.99",0.07,"76,968.99","73,305.00",3128MJZF0,US3128MJZF08,-,104.75,United States,-,USD,3.74,1.98,1.0,"Jan 01, 2047",3.0,4.7,-,1.98,4.7,1.98,USD,"Dec 01, 2016","Dec 01, 2016"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"76,737.25",0.07,"76,737.25","75,000.00",31418EAN0,US31418EAN04,-,102.23,United States,-,USD,5.45,2.09,1.0,"Jan 01, 2052",2.5,5.66,-,2.09,5.66,2.09,USD,"Dec 01, 2021","Dec 01, 2021"
BWAY HOLDING CO 144A,Industrial,Fixed Income,"76,539.08",0.07,"76,539.08","75,000.00",12429TAD6,US12429TAD63,BYYQMZ0,100.89,United States,-,USD,0.29,5.08,1.0,"Apr 15, 2024",5.5,2.11,-,2.37,0.29,2.37,USD,"Apr 03, 2017","Apr 03, 2017"
SPRINT CAPITAL CORPORATION,Industrial,Fixed Income,"76,485.19",0.07,"76,485.19","50,000.00",852060AT9,US852060AT99,2964029,150.39,United States,-,USD,7.4,2.98,1.0,"Mar 15, 2032",8.75,7.37,-,2.98,7.37,2.98,USD,"Mar 14, 2002","Jun 21, 2002"
BUILDERS FIRSTSOURCE INC 144A,Industrial,Fixed Income,"76,125.47",0.07,"76,125.47","70,000.00",12008RAN7,US12008RAN70,-,107.08,United States,-,USD,4.33,3.97,1.0,"Mar 01, 2030",5.0,6.62,-,3.38,2.88,3.38,USD,"Feb 11, 2020","Feb 11, 2020"
BOSTON SCIENTIFIC CORP,Industrial,Fixed Income,"76,104.63",0.07,"76,104.63","75,000.00",101137AQ0,US101137AQ02,BXQ9681,101.04,United States,-,USD,0.37,0.57,1.0,"May 15, 2022",3.38,0.37,-,0.57,0.37,0.57,USD,"May 12, 2015","May 12, 2015"
BANK OF AMERICA CORP MTN,Financial Institutions,Fixed Income,"76,074.61",0.07,"76,074.61","75,000.00",06051GHZ5,US06051GHZ54,-,100.48,United States,-,USD,7.08,2.31,1.0,"Feb 13, 2031",2.5,7.24,-,2.31,7.24,2.31,USD,"Feb 13, 2020","Feb 13, 2020"
ARROW ELECTRONICS INC,Industrial,Fixed Income,"75,881.88",0.07,"75,881.88","75,000.00",04273WAC5,US04273WAC55,-,100.93,United States,-,USD,8.68,2.84,1.0,"Feb 15, 2032",2.95,8.69,-,2.84,8.5,2.84,USD,"Dec 01, 2021","Dec 01, 2021"
LUMEN TECHNOLOGIES INC 144A,Industrial,Fixed Income,"75,582.67",0.07,"75,582.67","75,000.00",550241AA1,US550241AA19,-,100.54,United States,-,USD,5.0,5.29,1.0,"Jun 15, 2029",5.38,6.07,-,5.24,3.91,5.24,USD,"Jun 15, 2021","Jun 15, 2021"
FNMA 15YR,MBS Pass-Through,Fixed Income,"75,420.55",0.07,"75,420.55","70,592.00",3140J9D65,US3140J9D653,-,106.59,United States,-,USD,2.65,0.73,1.0,"Feb 01, 2032",3.0,2.94,-,0.73,2.94,0.73,USD,"Oct 01, 2018","Oct 01, 2018"
EXELON CORPORATION,Utility,Fixed Income,"75,163.04",0.07,"75,163.04","70,000.00",30161NAU5,US30161NAU54,BD073L3,106.66,United States,-,USD,3.83,1.78,1.0,"Apr 15, 2026",3.4,3.98,-,1.69,3.76,1.69,USD,"Apr 07, 2016","Apr 07, 2016"
CHARTER COMMUNICATIONS OPERATING L,Industrial,Fixed Income,"74,979.75",0.07,"74,979.75","75,000.00",161175BU7,US161175BU77,BMCJ8R1,99.27,United States,-,USD,8.01,2.89,1.0,"Apr 01, 2031",2.8,8.04,-,2.89,8.04,2.89,USD,"Apr 17, 2020","Apr 17, 2020"
WALMART INC,Industrial,Fixed Income,"74,920.88",0.07,"74,920.88","75,000.00",931142ES8,US931142ES82,-,99.48,United States,-,USD,6.29,1.58,1.0,"Sep 22, 2028",1.5,6.34,-,1.58,6.34,1.58,USD,"Sep 22, 2021","Sep 22, 2021"
JABIL INC,Industrial,Fixed Income,"74,756.17",0.07,"74,756.17","75,000.00",466313AL7,US466313AL75,-,99.32,United States,-,USD,4.09,1.87,1.0,"Apr 15, 2026",1.7,4.1,-,1.87,4.1,1.87,USD,"Apr 14, 2021","Apr 14, 2021"
GOLUB CAPITAL BDC INC.,Financial Institutions,Fixed Income,"74,460.71",0.06,"74,460.71","75,000.00",38173MAB8,US38173MAB81,-,98.4,United States,-,USD,4.33,2.87,1.0,"Aug 24, 2026",2.5,4.31,-,2.87,4.31,2.87,USD,"Feb 24, 2021","Feb 24, 2021"
UBER TECHNOLOGIES INC 144A,Industrial,Fixed Income,"74,383.63",0.06,"74,383.63","70,000.00",90353TAF7,US90353TAF75,BMFKWG8,105.3,United States,-,USD,0.38,5.74,1.0,"May 15, 2025",7.5,2.94,-,3.13,0.37,3.13,USD,"May 15, 2020","May 15, 2020"
APPALACHIAN POWER CO,Utility,Fixed Income,"74,297.53",0.06,"74,297.53","70,000.00",037735CU9,US037735CU97,BXPB5S1,105.86,United States,-,USD,3.07,1.63,1.0,"Jun 01, 2025",3.4,3.23,-,1.5,3.0,1.5,USD,"May 18, 2015","May 18, 2015"
KEYSIGHT TECHNOLOGIES INC,Industrial,Fixed Income,"74,070.17",0.06,"74,070.17","65,000.00",49338LAE3,US49338LAE39,BD1WWT8,112.87,United States,-,USD,4.53,2.01,1.0,"Apr 06, 2027",4.6,4.68,-,1.9,4.48,1.9,USD,"Apr 06, 2017","Apr 06, 2017"
GNMA 30YR PLATINUM,MBS Pass-Through,Fixed Income,"73,976.52",0.06,"73,976.52","70,860.00",3622A2XW7,US3622A2XW71,-,104.15,United States,-,USD,3.34,2.09,1.0,"Dec 15, 2046",3.0,4.58,-,2.09,4.58,2.09,USD,"Apr 01, 2017","Apr 01, 2017"
ROYAL BANK OF CANADA MTN,Financial Institutions,Fixed Income,"73,915.00",0.06,"73,915.00","75,000.00",78016EZQ3,US78016EZQ33,-,98.34,Canada,-,USD,4.19,1.6,1.0,"Apr 27, 2026",1.2,4.18,-,1.6,4.18,1.6,USD,"Apr 27, 2021","Apr 27, 2021"
FNMA 40YR REPERFORMING MODIFIED,MBS Pass-Through,Fixed Income,"73,897.58",0.06,"73,897.58","69,282.00",3140FXF23,US3140FXF238,-,106.33,United States,-,USD,2.86,2.09,1.0,"Feb 01, 2057",4.0,3.44,-,2.09,3.44,2.09,USD,"Sep 01, 2017","Sep 01, 2017"
FNMA 40YR REPERFORMING MODIFIED,MBS Pass-Through,Fixed Income,"72,478.91",0.06,"72,478.91","67,952.00",3140FXFM9,US3140FXFM99,-,106.33,United States,-,USD,2.86,2.09,1.0,"Jan 01, 2057",4.0,3.44,-,2.09,3.44,2.09,USD,"Aug 01, 2017","Aug 01, 2017"
MATCH GROUP INC 144A,Industrial,Fixed Income,"72,183.12",0.06,"72,183.12","69,000.00",57665RAG1,US57665RAG11,BDSHS54,104.39,United States,-,USD,2.02,4.16,1.0,"Dec 15, 2027",5.0,5.13,-,2.9,0.93,2.9,USD,"Dec 04, 2017","Dec 04, 2017"
BLOCK FINANCIAL LLC,Industrial,Fixed Income,"71,081.97",0.06,"71,081.97","70,000.00",093662AJ3,US093662AJ37,-,100.25,United States,-,USD,5.9,2.46,1.0,"Jul 15, 2028",2.5,5.92,-,2.46,5.92,2.46,USD,"Jun 25, 2021","Jun 25, 2021"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"69,873.88",0.06,"69,873.88","68,209.00",31418DYY2,US31418DYY20,-,102.23,United States,-,USD,5.45,2.09,1.0,"May 01, 2051",2.5,5.66,-,2.09,5.66,2.09,USD,"Apr 01, 2021","Apr 01, 2021"
MASTERCARD INC,Industrial,Fixed Income,"69,452.36",0.06,"69,452.36","65,000.00",57636QAG9,US57636QAG91,BD6KVY5,106.52,United States,-,USD,4.42,1.56,1.0,"Nov 21, 2026",2.95,4.55,-,1.49,4.33,1.49,USD,"Nov 21, 2016","Nov 21, 2016"
ROYAL BANK OF CANADA MTN,Financial Institutions,Fixed Income,"69,426.00",0.06,"69,426.00","70,000.00",78016EZX8,US78016EZX83,-,99.0,Canada,-,USD,2.73,1.12,1.0,"Oct 07, 2024",0.75,2.72,-,1.12,2.72,1.12,USD,"Oct 07, 2021","Oct 07, 2021"
LABORATORY CORPORATION OF AMERICA,Industrial,Fixed Income,"69,378.52",0.06,"69,378.52","70,000.00",50540RAX0,US50540RAX08,-,98.98,United States,-,USD,4.23,1.79,1.0,"Jun 01, 2026",1.55,4.24,-,1.79,4.24,1.79,USD,"May 26, 2021","May 26, 2021"
MARSH & MCLENNAN COMPANIES INC,Financial Institutions,Fixed Income,"69,349.92",0.06,"69,349.92","60,000.00",571748BG6,US571748BG65,BJ2NYK7,114.3,United States,-,USD,6.06,2.22,1.0,"Mar 15, 2029",4.38,6.19,-,2.15,6.01,2.15,USD,"Jan 15, 2019","Jan 15, 2019"
CENTURYLINK INC 144A,Industrial,Fixed Income,"68,890.97",0.06,"68,890.97","65,000.00",156700BB1,US156700BB17,BJ170W4,104.05,United States,-,USD,2.15,4.21,1.0,"Dec 15, 2026",5.13,4.28,-,3.44,0.91,3.44,USD,"Dec 16, 2019","Dec 16, 2019"
FNMA 15YR,MBS Pass-Through,Fixed Income,"67,704.39",0.06,"67,704.39","62,816.00",3140J8EY5,US3140J8EY54,-,107.49,United States,-,USD,2.09,1.07,1.0,"Mar 01, 2033",3.5,3.11,-,1.07,3.11,1.07,USD,"Mar 01, 2018","Mar 01, 2018"
FNMA 30YR,MBS Pass-Through,Fixed Income,"67,066.78",0.06,"67,066.78","61,546.00",3140HJJL6,US3140HJJL68,-,108.6,United States,-,USD,2.55,2.37,1.0,"Aug 01, 2048",4.5,4.13,-,2.37,4.13,2.37,USD,"Aug 01, 2018","Aug 01, 2018"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"66,135.38",0.06,"66,135.38","62,241.00",36179UEA6,US36179UEA60,-,105.88,United States,-,USD,2.79,2.74,1.0,"Oct 20, 2048",4.5,3.45,-,2.74,3.45,2.74,USD,"Oct 01, 2018","Oct 01, 2018"
GNMA 30YR,MBS Pass-Through,Fixed Income,"65,444.78",0.06,"65,444.78","58,921.00",3622A2FW7,US3622A2FW73,-,110.78,United States,-,USD,3.39,0.61,1.0,"Jun 15, 2043",3.5,3.96,-,0.61,3.96,0.61,USD,"Jul 01, 2013","Jul 01, 2013"
PUBLIC STORAGE,Financial Institutions,Fixed Income,"65,114.18",0.06,"65,114.18","65,000.00",74460DAH2,US74460DAH26,-,99.89,United States,-,USD,6.33,1.97,1.0,"Nov 09, 2028",1.95,6.37,-,1.97,6.37,1.97,USD,"Nov 09, 2021","Nov 09, 2021"
OCCIDENTAL PETROLEUM CORPORATION,Industrial,Fixed Income,"64,774.08",0.06,"64,774.08","50,000.00",674599DF9,US674599DF90,BK8VN61,127.65,United States,-,USD,10.03,3.95,1.0,"Sep 15, 2036",6.45,9.99,-,3.95,9.99,3.95,USD,"Sep 15, 2019","Sep 18, 2019"
BARINGS BDC INC 144A,Financial Institutions,Fixed Income,"64,622.57",0.06,"64,622.57","65,000.00",06759LAA1,US06759LAA17,-,99.07,United States,-,USD,4.49,3.51,1.0,"Nov 23, 2026",3.3,4.46,-,3.51,4.46,3.51,USD,"Nov 23, 2021","Nov 23, 2021"
TEXAS INSTRUMENTS INC,Industrial,Fixed Income,"64,604.44",0.06,"64,604.44","65,000.00",882508BL7,US882508BL77,-,98.83,United States,-,USD,8.72,2.03,1.0,"Sep 15, 2031",1.9,8.76,-,2.03,8.76,2.03,USD,"Sep 15, 2021","Sep 15, 2021"
ABBVIE INC,Industrial,Fixed Income,"64,506.93",0.06,"64,506.93","60,000.00",00287YBX6,US00287YBX67,-,107.16,United States,-,USD,6.86,2.21,1.0,"Nov 21, 2029",3.2,6.97,-,2.18,6.77,2.18,USD,"May 21, 2020","Nov 17, 2020"
FNMA 30YR,MBS Pass-Through,Fixed Income,"64,479.97",0.06,"64,479.97","58,993.00",3140J8PJ6,US3140J8PJ68,-,109.01,United States,-,USD,3.04,1.86,1.0,"May 01, 2048",3.5,5.54,-,1.86,5.54,1.86,USD,"May 01, 2018","May 01, 2018"
