,,,,,,,,,,,,,,,,,,,,,,,,,,iShares USD Bond Factor ETF
ABBVIE INC,Corporates,Fixed Income,"6,297.28",0.03,"6,297.28","5,000.00",00287YDA4,US00287YDA47,BMW97K7,125.73,United States,-,USD,14.46,3.23,1.0,"Jun 15, 2044",4.85,14.65,-,3.21,14.45,3.21,USD,"Jun 15, 2020","Nov 17, 2020"
BATH & BODY WORKS INC,Corporates,Fixed Income,"6,277.59",0.03,"6,277.59","5,000.00",501797AL8,US501797AL82,BD218S5,124.41,United States,-,USD,9.44,4.49,1.0,"Nov 01, 2035",6.88,9.37,-,4.49,9.37,4.49,USD,"Oct 30, 2015","Mar 08, 2016"
SOUTHERN CALIFORNIA EDISON COMPANY,Corporates,Fixed Income,"6,232.55",0.03,"6,232.55","5,000.00",842400GR8,US842400GR87,BJMTK74,123.03,United States,-,USD,15.85,3.55,1.0,"Mar 01, 2049",4.88,16.04,-,3.53,15.88,3.53,USD,"Mar 15, 2019","Mar 15, 2019"
BROOKFIELD FINANCE INC,Corporates,Fixed Income,"6,230.78",0.03,"6,230.78","5,000.00",11271LAB8,US11271LAB80,BZ0WZL6,123.3,Canada,-,USD,15.66,3.34,1.0,"Sep 20, 2047",4.7,15.85,-,3.33,15.67,3.33,USD,"Sep 14, 2017","Sep 14, 2017"
REYNOLDS AMERICAN INC,Corporates,Fixed Income,"6,205.60",0.03,"6,205.60","5,000.00",761713BB1,US761713BB19,BZ0HGQ3,121.9,United States,-,USD,13.44,4.36,1.0,"Aug 15, 2045",5.85,13.56,-,4.34,13.4,4.34,USD,"Jun 12, 2015","Jun 12, 2015"
WALGREENS BOOTS ALLIANCE INC,Corporates,Fixed Income,"6,079.62",0.03,"6,079.62","5,000.00",931427AC2,US931427AC23,BSL6W51,120.98,United States,-,USD,14.49,3.46,1.0,"Nov 18, 2044",4.8,14.66,-,3.45,14.46,3.45,USD,"Nov 18, 2014","Nov 18, 2014"
WESTERN MIDSTREAM OPERATING LP,Corporates,Fixed Income,"6,073.02",0.03,"6,073.02","5,000.00",958667AA5,US958667AA50,-,118.75,United States,-,USD,13.64,5.22,1.0,"Feb 01, 2050",6.5,13.72,-,5.21,13.62,5.21,USD,"Jan 13, 2020","Jan 13, 2020"
AT&T INC,Corporates,Fixed Income,"6,071.43",0.03,"6,071.43","5,000.00",00206RHK1,US00206RHK14,BJN3990,119.81,United States,-,USD,11.84,3.33,1.0,"Mar 01, 2039",4.85,12.0,-,3.3,11.75,3.3,USD,"Feb 19, 2019","Feb 19, 2019"
DELTA AIR LINES INC,Corporates,Fixed Income,"6,049.28",0.03,"6,049.28","5,000.00",247361ZZ4,US247361ZZ42,-,117.58,United States,-,USD,3.42,2.75,1.0,"Jan 15, 2026",7.38,3.46,-,2.66,3.4,2.66,USD,"Jun 12, 2020","Jun 12, 2020"
AMGEN INC,Corporates,Fixed Income,"6,019.17",0.03,"6,019.17","5,000.00",031162BZ2,US031162BZ23,BWTM390,119.65,United States,-,USD,15.08,3.2,1.0,"May 01, 2045",4.4,15.27,-,3.18,15.07,3.18,USD,"May 01, 2015","May 01, 2015"
CARNIVAL CORP 144A,Corporates,Fixed Income,"5,923.34",0.03,"5,923.34","5,000.00",143658BJ0,US143658BJ01,-,114.27,United States,-,USD,2.47,6.76,1.0,"Aug 01, 2027",9.88,4.21,-,4.84,2.6,4.84,USD,"Aug 18, 2020","Aug 18, 2020"
FORD MOTOR COMPANY,Corporates,Fixed Income,"5,882.70",0.03,"5,882.70","5,000.00",345370CS7,US345370CS72,BYPL1V3,117.32,United States,-,USD,14.51,4.17,1.0,"Dec 08, 2046",5.29,14.63,-,4.16,14.48,4.16,USD,"Dec 08, 2016","Dec 08, 2016"
UNION PACIFIC CORPORATION,Corporates,Fixed Income,"5,819.74",0.03,"5,819.74","5,000.00",907818FL7,US907818FL73,BKDMLC1,114.87,United States,-,USD,23.24,3.15,1.0,"Feb 05, 2070",3.75,23.54,-,3.15,23.44,3.15,USD,"Jan 31, 2020","Jan 31, 2020"
NORFOLK SOUTHERN CORPORATION,Corporates,Fixed Income,"5,752.50",0.03,"5,752.50","5,000.00",655844CJ5,US655844CJ57,-,114.49,United States,-,USD,26.37,3.57,1.0,"May 15, 2121",4.1,26.8,-,3.57,26.79,3.57,USD,"May 12, 2021","May 12, 2021"
ROYAL CARIBBEAN CRUISES LTD 144A,Corporates,Fixed Income,"5,741.11",0.03,"5,741.11","5,000.00",780153AY8,US780153AY85,-,109.72,United States,-,USD,1.07,3.78,1.0,"Jun 01, 2023",10.88,1.27,-,2.38,1.06,2.38,USD,"May 19, 2020","May 19, 2020"
HUGHES SATELLITE SYSTEMS CORP,Corporates,Fixed Income,"5,733.37",0.03,"5,733.37","5,000.00",444454AF9,US444454AF95,BYQN8F1,111.91,United States,-,USD,3.94,3.77,1.0,"Aug 01, 2026",6.63,3.89,-,3.77,3.89,3.77,USD,"Feb 01, 2017","May 11, 2017"
EMBARQ CORP,Corporates,Fixed Income,"5,687.31",0.03,"5,687.31","5,000.00",29078EAA3,US29078EAA38,B156W36,113.08,United States,-,USD,8.95,6.58,1.0,"Jun 01, 2036",8.0,8.82,-,6.58,8.82,6.58,USD,"May 17, 2006","May 19, 2006"
TELESAT CANADA 144A,Corporates,Fixed Income,"5,660.57",0.03,"5,660.57","6,000.00",87952VAR7,US87952VAR78,-,93.87,Canada,-,USD,4.26,7.12,1.0,"Dec 06, 2026",5.63,4.18,-,7.12,4.18,7.12,USD,"Apr 27, 2021","Apr 27, 2021"
OCCIDENTAL PETROLEUM CORPORATION,Corporates,Fixed Income,"5,648.51",0.03,"5,648.51","5,000.00",674599DC6,US674599DC69,BK8VN94,111.34,United States,-,USD,3.58,2.68,1.0,"Mar 15, 2026",5.55,3.73,-,2.52,3.53,2.52,USD,"Sep 15, 2019","Sep 18, 2019"
AMERIGAS PARTNERS LP/AMERIGAS FINA,Corporates,Fixed Income,"5,579.29",0.03,"5,579.29","5,000.00",030981AL8,US030981AL88,BYNHPQ6,110.93,United States,-,USD,4.54,3.5,1.0,"May 20, 2027",5.75,4.64,-,3.41,4.45,3.41,USD,"Feb 13, 2017","Feb 13, 2017"
WESTERN DIGITAL CORPORATION,Corporates,Fixed Income,"5,571.62",0.03,"5,571.62","5,000.00",958102AM7,US958102AM75,BFZHJV4,109.64,United States,-,USD,3.56,2.29,1.0,"Feb 15, 2026",4.75,3.71,-,2.14,3.5,2.14,USD,"Feb 13, 2018","Feb 13, 2018"
UBER TECHNOLOGIES INC 144A,Corporates,Fixed Income,"5,554.67",0.03,"5,554.67","5,000.00",90353TAE0,US90353TAE01,BKPQNG9,108.89,United States,-,USD,0.77,5.65,1.0,"Sep 15, 2027",7.5,4.57,-,2.65,0.68,2.65,USD,"Sep 17, 2019","Sep 17, 2019"
AECOM,Corporates,Fixed Income,"5,519.45",0.03,"5,519.45","5,000.00",00774CAB3,US00774CAB37,BZBYDG2,108.88,United States,-,USD,4.42,3.26,1.0,"Mar 15, 2027",5.13,4.53,-,3.17,4.34,3.17,USD,"Feb 21, 2017","Jun 26, 2017"
LIVE NATION ENTERTAINMENT INC 144A,Corporates,Fixed Income,"5,514.28",0.03,"5,514.28","5,000.00",538034AV1,US538034AV10,-,109.46,United States,-,USD,1.9,4.5,1.0,"May 15, 2027",6.5,4.52,-,2.92,1.31,2.92,USD,"May 20, 2020","May 20, 2020"
GULFPORT ENERGY OPERATING CORP,Corporates,Fixed Income,"5,504.86",0.03,"5,504.86","5,000.00",402635AR7,US402635AR75,-,109.36,United States,-,USD,3.76,5.56,1.0,"May 17, 2026",8.0,3.68,-,5.56,3.68,5.56,USD,"May 17, 2021","May 17, 2021"
PRIME SECURITY SERVICES BORROWER L 144A,Corporates,Fixed Income,"5,452.20",0.03,"5,452.20","5,000.00",74166MAC0,US74166MAC01,BJTRRK3,107.35,United States,-,USD,3.8,3.87,1.0,"Apr 15, 2026",5.75,3.75,-,3.87,3.75,3.87,USD,"Apr 04, 2019","Apr 04, 2019"
ARCONIC ROLLED PRODUCTS CORP 144A,Corporates,Fixed Income,"5,435.14",0.03,"5,435.14","5,000.00",03966VAA5,US03966VAA52,-,106.39,United States,-,USD,1.7,4.9,1.0,"Feb 15, 2028",6.13,5.0,-,2.99,1.06,2.99,USD,"Feb 07, 2020","Feb 07, 2020"
USA COMPRESSION PARTNERS LP,Corporates,Fixed Income,"5,398.75",0.03,"5,398.75","5,000.00",91740PAF5,US91740PAF53,BKWC8B0,105.63,United States,-,USD,2.54,5.7,1.0,"Sep 01, 2027",6.88,4.59,-,5.17,3.16,5.17,USD,"Sep 01, 2019","Dec 17, 2019"
MAGELLAN MIDSTREAM PARTNERS LP,Corporates,Fixed Income,"5,396.63",0.03,"5,396.63","5,000.00",559080AP1,US559080AP17,BK63XX6,106.58,United States,-,USD,16.92,3.58,1.0,"Mar 01, 2050",3.95,17.09,-,3.57,16.91,3.57,USD,"Aug 19, 2019","Aug 19, 2019"
AVAYA INC. 144A,Corporates,Fixed Income,"5,396.47",0.03,"5,396.47","5,000.00",053499AL3,US053499AL36,BM9TQX6,106.13,United States,-,USD,2.97,5.04,1.0,"Sep 15, 2028",6.13,5.41,-,4.12,1.59,4.12,USD,"Sep 25, 2020","Sep 25, 2020"
PG&E CORPORATION,Corporates,Fixed Income,"5,381.70",0.03,"5,381.70","5,000.00",69331CAH1,US69331CAH16,BLCC3Z6,105.13,United States,-,USD,2.73,4.09,1.0,"Jul 01, 2028",5.0,5.42,-,3.11,1.41,3.11,USD,"Jun 23, 2020","Jun 23, 2020"
DELTA AIR LINES INC,Corporates,Fixed Income,"5,368.02",0.03,"5,368.02","5,000.00",247361ZN1,US247361ZN12,BFZP587,106.45,United States,-,USD,5.4,3.23,1.0,"Apr 19, 2028",4.38,5.47,-,3.19,5.28,3.19,USD,"Apr 19, 2018","Apr 19, 2018"
ROYAL CARIBBEAN CRUISES LTD 144A,Corporates,Fixed Income,"5,348.91",0.03,"5,348.91","5,000.00",780153BC5,US780153BC56,-,106.6,United States,-,USD,1.16,4.4,1.0,"Jun 15, 2023",9.13,1.37,-,3.51,1.15,3.51,USD,"Jun 09, 2020","Jun 09, 2020"
SPIRIT AEROSYSTEMS INC 144A,Corporates,Fixed Income,"5,340.57",0.03,"5,340.57","5,000.00",85205TAL4,US85205TAL44,-,105.23,United States,-,USD,0.29,5.73,1.0,"Apr 15, 2025",7.5,2.86,-,2.23,0.29,2.23,USD,"Apr 17, 2020","Apr 17, 2020"
SABRE GLBL INC 144A,Corporates,Fixed Income,"5,322.97",0.03,"5,322.97","5,000.00",78573NAF9,US78573NAF96,-,104.0,United States,-,USD,2.23,6.14,1.0,"Sep 01, 2025",7.38,3.12,-,6.14,3.12,6.14,USD,"Aug 27, 2020","Aug 27, 2020"
PARK INTERMEDIATE HOLDINGS LLC 144A,Corporates,Fixed Income,"5,309.19",0.03,"5,309.19","5,000.00",70052LAB9,US70052LAB99,BMGWP75,104.72,United States,-,USD,3.46,5.04,1.0,"Oct 01, 2028",5.88,5.48,-,4.49,3.31,4.49,USD,"Sep 18, 2020","Sep 18, 2020"
TENET HEALTHCARE CORPORATION 144A,Corporates,Fixed Income,"5,306.01",0.03,"5,306.01","5,000.00",88033GCX6,US88033GCX60,BHX13B0,103.52,United States,-,USD,0.09,5.45,1.0,"Feb 01, 2027",6.25,4.22,-,1.47,0.08,1.47,USD,"Feb 05, 2019","Feb 05, 2019"
HUMANA INC,Corporates,Fixed Income,"5,299.23",0.03,"5,299.23","5,000.00",444859BK7,US444859BK72,BK59KS9,104.8,United States,-,USD,6.62,2.43,1.0,"Aug 15, 2029",3.13,6.71,-,2.41,6.51,2.41,USD,"Aug 15, 2019","Aug 15, 2019"
USA COMPRESSION PARTNERS LP,Corporates,Fixed Income,"5,292.94",0.03,"5,292.94","5,000.00",91740PAC2,US91740PAC23,BHPG3B3,104.14,United States,-,USD,0.65,5.76,1.0,"Apr 01, 2026",6.88,3.61,-,3.84,0.25,3.84,USD,"Oct 01, 2018","Jan 11, 2019"
TRANSDIGM INC 144A,Corporates,Fixed Income,"5,287.96",0.03,"5,287.96","5,000.00",893647BE6,US893647BE67,BJJQH22,103.92,United States,-,USD,0.2,5.2,1.0,"Mar 15, 2026",6.25,3.62,-,2.26,0.2,2.26,USD,"Feb 13, 2019","Feb 13, 2019"
OASIS PETROLEUM INC 144A,Corporates,Fixed Income,"5,282.67",0.03,"5,282.67","5,000.00",674215AL2,US674215AL24,-,105.07,United States,-,USD,2.68,5.08,1.0,"Jun 01, 2026",6.38,3.82,-,4.75,3.05,4.75,USD,"Jun 09, 2021","Jun 09, 2021"
VECTOR GROUP LTD 144A,Corporates,Fixed Income,"5,273.18",0.03,"5,273.18","5,000.00",92240MBJ6,US92240MBJ62,BGKX9B4,103.63,United States,-,USD,1.97,9.54,1.0,"Nov 01, 2026",10.5,3.69,-,8.31,1.62,8.31,USD,"Nov 02, 2018","Nov 02, 2018"
BOMBARDIER INC 144A,Corporates,Fixed Income,"5,271.98",0.03,"5,271.98","5,000.00",097751BT7,US097751BT78,BHL3S24,103.78,Canada,-,USD,2.12,7.0,1.0,"Apr 15, 2027",7.88,4.23,-,6.08,2.05,6.08,USD,"Mar 07, 2019","Mar 07, 2019"
FORTRESS TRANSPORTATION AND INFRAS 144A,Corporates,Fixed Income,"5,253.70",0.03,"5,253.70","5,000.00",34960PAB7,US34960PAB76,BFD2RL7,103.45,United States,-,USD,0.49,5.47,1.0,"Oct 01, 2025",6.5,3.26,-,3.71,0.08,3.71,USD,"Sep 18, 2018","Sep 18, 2018"
CEDAR FAIR LP 144A,Corporates,Fixed Income,"5,242.43",0.03,"5,242.43","5,000.00",150190AF3,US150190AF30,BMTRDY0,103.93,United States,-,USD,0.35,4.22,1.0,"May 01, 2025",5.5,3.01,-,1.86,0.33,1.86,USD,"Apr 27, 2020","Apr 27, 2020"
DIRECTV FINANCING LLC 144A,Corporates,Fixed Income,"5,234.93",0.03,"5,234.93","5,000.00",25461LAA0,US25461LAA08,-,102.27,United States,-,USD,4.12,5.4,1.0,"Aug 15, 2027",5.88,4.64,-,5.31,3.92,5.31,USD,"Aug 02, 2021","Aug 02, 2021"
BRINKS CO 144A,Corporates,Fixed Income,"5,228.17",0.03,"5,228.17","5,000.00",109696AA2,US109696AA22,BF2F3Z3,103.59,United States,-,USD,2.03,3.93,1.0,"Oct 15, 2027",4.63,5.01,-,2.91,0.77,2.91,USD,"Oct 20, 2017","Oct 20, 2017"
BROOKFIELD PROPERTY REIT INC 144A,Corporates,Fixed Income,"5,224.24",0.03,"5,224.24","5,000.00",11284DAA3,US11284DAA37,BJBL0T3,103.75,United States,-,USD,0.99,4.79,1.0,"May 15, 2026",5.75,3.82,-,3.25,0.37,3.25,USD,"May 01, 2019","May 01, 2019"
CLEVELAND-CLIFFS INC,Corporates,Fixed Income,"5,222.18",0.03,"5,222.18","5,000.00",185899AH4,US185899AH46,BMF04M8,103.95,United States,-,USD,1.06,5.03,1.0,"Jun 01, 2027",5.88,4.6,-,3.29,0.41,3.29,USD,"Dec 01, 2019","Apr 24, 2020"
EQUINIX INC,Corporates,Fixed Income,"5,222.98",0.03,"5,222.98","5,000.00",29444UBT2,US29444UBT25,-,102.34,United States,-,USD,18.34,3.28,1.0,"Feb 15, 2052",3.4,18.53,-,3.28,18.35,3.28,USD,"May 17, 2021","May 17, 2021"
TRINSEO MATERIALS OPERATING SCA 144A,Corporates,Fixed Income,"5,221.54",0.03,"5,221.54","5,000.00",89668QAF5,US89668QAF54,-,102.45,United States,-,USD,4.43,4.72,1.0,"Apr 01, 2029",5.13,5.91,-,4.49,3.72,4.49,USD,"Mar 24, 2021","Mar 24, 2021"
MATADOR RESOURCES CO,Corporates,Fixed Income,"5,219.79",0.03,"5,219.79","5,000.00",576485AE6,US576485AE64,BJ1MZM4,102.67,United States,-,USD,2.7,5.23,1.0,"Sep 15, 2026",5.88,4.01,-,4.81,2.44,4.81,USD,"Aug 21, 2018","Dec 19, 2018"
ENLINK MIDSTREAM PARTNERS LP,Corporates,Fixed Income,"5,196.59",0.03,"5,196.59","5,000.00",29336UAE7,US29336UAE73,BXNT1C3,103.59,United States,-,USD,3.07,3.04,1.0,"Jun 01, 2025",4.15,3.17,-,2.96,2.95,2.96,USD,"May 12, 2015","May 12, 2015"
ELDORADO GOLD CORPORATION 144A,Corporates,Fixed Income,"5,195.51",0.03,"5,195.51","5,000.00",284902AF0,US284902AF02,-,101.69,Turkey,-,USD,4.97,5.92,1.0,"Sep 01, 2029",6.25,6.02,-,5.76,4.03,5.76,USD,"Aug 26, 2021","Aug 26, 2021"
AIR CANADA 144A,Corporates,Fixed Income,"5,188.50",0.03,"5,188.50","5,000.00",008911BK4,US008911BK48,-,102.26,Canada,-,USD,4.0,3.34,1.0,"Aug 15, 2026",3.88,4.15,-,3.28,3.74,3.28,USD,"Aug 11, 2021","Aug 11, 2021"
ICAHN ENTERPRISES LP,Corporates,Fixed Income,"5,178.79",0.03,"5,178.79","5,000.00",451102BZ9,US451102BZ91,-,102.91,United States,-,USD,4.52,4.63,1.0,"May 15, 2027",5.25,4.62,-,4.58,4.25,4.58,USD,"Dec 12, 2019","Mar 09, 2020"
NEW FORTRESS ENERGY LLC 144A,Corporates,Fixed Income,"5,178.68",0.03,"5,178.68","5,000.00",644393AA8,US644393AA81,-,101.59,United States,-,USD,2.82,6.26,1.0,"Sep 15, 2025",6.75,3.18,-,6.1,2.4,6.1,USD,"Sep 02, 2020","Sep 02, 2020"
RENEWABLE ENERGY GROUP INC 144A,Corporates,Fixed Income,"5,165.58",0.03,"5,165.58","5,000.00",75972AAD5,US75972AAD54,BKPGJS3,102.77,United States,-,USD,4.34,5.36,1.0,"Jun 01, 2028",5.88,5.29,-,5.16,3.84,5.16,USD,"May 20, 2021","May 20, 2021"
TRINSEO MATERIALS OPERATING SCA 144A,Corporates,Fixed Income,"5,125.95",0.03,"5,125.95","5,000.00",89668QAE8,US89668QAE89,BD5KBF7,101.67,United States,-,USD,1.37,4.87,1.0,"Sep 01, 2025",5.38,3.27,-,4.16,0.65,4.16,USD,"Aug 29, 2017","Aug 29, 2017"
VIASAT INC 144A,Corporates,Fixed Income,"5,108.56",0.03,"5,108.56","5,000.00",92552VAK6,US92552VAK61,BDG75N3,100.52,United States,-,USD,1.66,5.47,1.0,"Sep 15, 2025",5.63,3.26,-,4.86,0.68,4.86,USD,"Sep 21, 2017","Sep 21, 2017"
SAN DIEGO GAS & ELECTRIC CO,Corporates,Fixed Income,"5,105.69",0.03,"5,105.69","5,000.00",797440CA0,US797440CA05,BNSNRL1,100.98,United States,-,USD,19.29,2.9,1.0,"Aug 15, 2051",2.95,19.5,-,2.9,19.29,2.9,USD,"Aug 13, 2021","Aug 13, 2021"
UNITI GROUP LP 144A,Corporates,Fixed Income,"5,103.78",0.03,"5,103.78","5,000.00",91327BAA8,US91327BAA89,-,99.62,United States,-,USD,4.76,6.57,1.0,"Feb 15, 2029",6.5,5.49,-,6.57,5.49,6.57,USD,"Feb 02, 2021","Feb 02, 2021"
NIELSEN FINANCE LLC 144A,Corporates,Fixed Income,"5,097.15",0.03,"5,097.15","5,000.00",65409QBK7,US65409QBK76,-,99.09,United States,-,USD,6.46,4.87,1.0,"Jul 15, 2031",4.75,7.38,-,4.87,7.38,4.87,USD,"May 28, 2021","May 28, 2021"
WYNN LAS VEGAS LLC / WYNN LAS VEGA 144A,Corporates,Fixed Income,"5,079.52",0.03,"5,079.52","5,000.00",983130AU9,US983130AU95,B9DPF21,101.19,United States,-,USD,1.2,3.38,1.0,"May 30, 2023",4.25,1.36,-,3.2,1.12,3.2,USD,"May 22, 2013","May 22, 2013"
FLIR SYSTEMS INC,Corporates,Fixed Income,"5,077.53",0.03,"5,077.53","5,000.00",302445AE1,US302445AE15,-,100.51,United States,-,USD,7.55,2.43,1.0,"Aug 01, 2030",2.5,7.61,-,2.43,7.41,2.43,USD,"Aug 03, 2020","Aug 03, 2020"
RLJ LODGING TRUST LP 144A,Corporates,Fixed Income,"5,010.87",0.03,"5,010.87","5,000.00",74965LAB7,US74965LAB71,-,98.98,United States,-,USD,5.43,4.15,1.0,"Sep 15, 2029",4.0,6.49,-,4.15,6.49,4.15,USD,"Sep 13, 2021","Sep 13, 2021"
BAUSCH HEALTH COMPANIES INC 144A,Corporates,Fixed Income,"4,985.41",0.02,"4,985.41","5,000.00",071734AF4,US071734AF49,BK8KJZ9,99.1,United States,-,USD,5.01,7.41,1.0,"May 30, 2029",7.25,5.62,-,7.41,5.62,7.41,USD,"May 23, 2019","May 23, 2019"
HOSPITALITY PROPERTIES TRUST,Corporates,Fixed Income,"4,985.53",0.02,"4,985.53","5,000.00",44106MAZ5,US44106MAZ59,BKVJX95,98.62,United States,-,USD,2.57,4.89,1.0,"Oct 01, 2024",4.35,2.53,-,4.89,2.53,4.89,USD,"Sep 18, 2019","Sep 18, 2019"
GFL ENVIRONMENTAL INC 144A,Corporates,Fixed Income,"4,983.63",0.02,"4,983.63","5,000.00",36168QAM6,US36168QAM69,-,98.51,Canada,-,USD,5.76,3.75,1.0,"Sep 01, 2028",3.5,5.82,-,3.75,5.82,3.75,USD,"Dec 21, 2020","Dec 21, 2020"
VECTOR GROUP LTD 144A,Corporates,Fixed Income,"4,983.54",0.02,"4,983.54","5,000.00",92240MBL1,US92240MBL19,-,97.28,United States,-,USD,5.08,6.23,1.0,"Feb 01, 2029",5.75,5.58,-,6.23,5.58,6.23,USD,"Jan 28, 2021","Jan 28, 2021"
IAMGOLD CORP 144A,Corporates,Fixed Income,"4,975.59",0.02,"4,975.59","5,000.00",450913AF5,US450913AF55,-,98.25,Burkina Faso,-,USD,5.09,6.07,1.0,"Oct 15, 2028",5.75,5.47,-,6.07,5.47,6.07,USD,"Sep 23, 2020","Sep 23, 2020"
HOSPITALITY PROPERTIES TRUST,Corporates,Fixed Income,"4,943.45",0.02,"4,943.45","5,000.00",44106MBA9,US44106MBA99,BKVJX73,97.64,United States,-,USD,4.2,5.32,1.0,"Oct 01, 2026",4.75,4.14,-,5.32,4.14,5.32,USD,"Sep 18, 2019","Sep 18, 2019"
CARNIVAL CORP 144A,Corporates,Fixed Income,"4,740.87",0.02,"4,740.87","4,000.00",143658BG6,US143658BG61,-,114.18,United States,-,USD,1.56,6.49,1.0,"Feb 01, 2026",10.5,3.24,-,4.38,1.42,4.38,USD,"Jul 20, 2020","Jul 20, 2020"
ANTERO RESOURCES CORP 144A,Corporates,Fixed Income,"4,582.64",0.02,"4,582.64","4,000.00",03674XAQ9,US03674XAQ97,-,111.39,United States,-,USD,2.33,5.65,1.0,"Feb 01, 2029",7.63,5.38,-,3.67,1.89,3.67,USD,"Jan 26, 2021","Jan 26, 2021"
BUILDERS FIRSTSOURCE INC 144A,Corporates,Fixed Income,"4,242.74",0.02,"4,242.74","4,000.00",12008RAM9,US12008RAM97,BJVRGC6,105.51,United States,-,USD,0.42,5.56,1.0,"Jun 01, 2027",6.75,4.5,-,1.54,0.41,1.54,USD,"May 30, 2019","May 30, 2019"
AMERICAN AIRLINES INC 144A,Corporates,Fixed Income,"3,863.91",0.02,"3,863.91","3,000.00",023771S58,US023771S586,-,123.38,United States,-,USD,2.91,4.52,1.0,"Jul 15, 2025",11.75,2.86,-,4.52,2.86,4.52,USD,"Jun 30, 2020","Jun 30, 2020"
NETFLIX INC,Corporates,Fixed Income,"3,767.24",0.02,"3,767.24","3,000.00",64110LAX4,US64110LAX47,BK724H3,124.76,United States,-,USD,6.07,2.65,1.0,"May 15, 2029",6.38,6.04,-,2.65,6.04,2.65,USD,"Oct 26, 2018","Oct 26, 2018"
EQT MIDSTREAM PARTNERS LP,Corporates,Fixed Income,"3,736.93",0.02,"3,736.93","3,000.00",26885BAE0,US26885BAE02,BFXXB41,121.57,United States,-,USD,13.42,5.02,1.0,"Jul 15, 2048",6.5,13.51,-,5.01,13.39,5.01,USD,"Jun 25, 2018","Jun 25, 2018"
BATH & BODY WORKS INC,Corporates,Fixed Income,"3,691.12",0.02,"3,691.12","3,000.00",501797AM6,US501797AM65,BYMC9V5,122.98,United States,-,USD,9.59,4.56,1.0,"Jul 01, 2036",6.75,9.52,-,4.56,9.52,4.56,USD,"Jun 16, 2016","Jun 16, 2016"
NCL CORPORATION LTD 144A,Corporates,Fixed Income,"3,596.41",0.02,"3,596.41","3,000.00",62886HAY7,US62886HAY71,-,115.64,United States,-,USD,1.46,5.89,1.0,"Feb 01, 2026",10.25,3.27,-,3.23,1.44,3.23,USD,"Jul 21, 2020","Jul 21, 2020"
SPRINT CORP,Corporates,Fixed Income,"3,542.24",0.02,"3,542.24","3,000.00",85207UAJ4,US85207UAJ43,BVZCLQ0,115.19,United States,-,USD,2.58,2.53,1.0,"Feb 15, 2025",7.63,2.76,-,2.14,2.56,2.14,USD,"Feb 24, 2015","Feb 24, 2015"
EQT CORP,Corporates,Fixed Income,"3,468.82",0.02,"3,468.82","3,000.00",26884LAH2,US26884LAH24,-,112.87,United States,-,USD,2.71,2.28,1.0,"Feb 01, 2025",6.63,2.76,-,2.17,2.69,2.17,USD,"Jan 21, 2020","Jan 21, 2020"
TRAVEL + LEISURE CO 144A,Corporates,Fixed Income,"3,406.06",0.02,"3,406.06","3,000.00",98310WAS7,US98310WAS70,BMWZQD1,110.78,United States,-,USD,3.78,4.03,1.0,"Jul 31, 2026",6.63,3.88,-,3.9,3.7,3.9,USD,"Jul 24, 2020","Jul 24, 2020"
TARGA RESOURCES PARTNERS LP,Corporates,Fixed Income,"3,304.27",0.02,"3,304.27","3,000.00",87612BBL5,US87612BBL53,BKVFC29,107.15,United States,-,USD,0.61,5.01,1.0,"Jul 15, 2027",6.5,4.53,-,2.13,0.52,2.13,USD,"Jan 17, 2019","Jan 17, 2019"
HECLA MINING COMPANY,Corporates,Fixed Income,"3,300.30",0.02,"3,300.30","3,000.00",422704AH9,US422704AH97,-,107.27,United States,-,USD,2.68,5.82,1.0,"Feb 15, 2028",7.25,4.83,-,5.22,1.91,5.22,USD,"Feb 19, 2020","Feb 19, 2020"
UNISYS CORPORATION 144A,Corporates,Fixed Income,"3,284.66",0.02,"3,284.66","3,000.00",909214BV9,US909214BV97,-,108.34,United States,-,USD,2.55,5.2,1.0,"Nov 01, 2027",6.88,4.77,-,3.94,1.71,3.94,USD,"Oct 29, 2020","Oct 29, 2020"
MINERAL RESOURCES LTD 144A,Corporates,Fixed Income,"3,262.88",0.02,"3,262.88","3,000.00",603051AA1,US603051AA15,BJXP2N1,107.43,Australia,-,USD,0.51,6.45,1.0,"May 01, 2027",8.13,4.28,-,3.81,0.33,3.81,USD,"Apr 23, 2019","Apr 23, 2019"
CUSHMAN & WAKEFIELD US BORROWER LL 144A,Corporates,Fixed Income,"3,252.89",0.02,"3,252.89","3,000.00",23166MAA1,US23166MAA18,-,107.57,United States,-,USD,1.91,5.33,1.0,"May 15, 2028",6.75,5.15,-,3.49,1.31,3.49,USD,"May 22, 2020","May 22, 2020"
NRG ENERGY INC,Corporates,Fixed Income,"3,247.78",0.02,"3,247.78","3,000.00",629377CE0,US629377CE03,BF5J772,105.61,United States,-,USD,1.71,4.67,1.0,"Jan 15, 2028",5.75,4.97,-,2.97,0.98,2.97,USD,"Jul 15, 2018","Oct 30, 2018"
CARNIVAL CORP 144A,Corporates,Fixed Income,"3,219.40",0.02,"3,219.40","3,000.00",143658BL5,US143658BL56,-,104.79,United States,-,USD,2.84,6.3,1.0,"Mar 01, 2026",7.63,3.47,-,5.94,2.74,5.94,USD,"Nov 25, 2020","Nov 25, 2020"
