,,,,,,,,,,,,,,,,,,,,,,,,,,iShares ESG Advanced High Yield Corporate Bond ETF
OWENS-BROCKWAY GLASS CONTAINER INC 144A,Capital Goods,Fixed Income,"171,186.31",0.12,"171,186.31","160,000.00",69073TAR4,US69073TAR41,BZ56Z57,104.77,United States,-,USD,1.54,2.84,1.0,"Aug 15, 2023",5.88,1.52,-,2.84,1.52,2.84,USD,"Aug 24, 2015","Aug 24, 2015"
MGM GROWTH PROPERTIES OPERATING PA 144A,Consumer Cyclical,Fixed Income,"171,083.02",0.12,"171,083.02","160,000.00",55303XAL9,US55303XAL91,BLD4C87,105.46,United States,-,USD,6.07,3.02,1.0,"Feb 15, 2029",3.88,6.14,-,2.99,5.95,2.99,USD,"Nov 19, 2020","Nov 19, 2020"
ZOOMINFO TECHNOLOGIES LLC 144A,Technology,Fixed Income,"170,762.59",0.12,"170,762.59","170,000.00",98981BAA0,US98981BAA08,BMGS3M4,98.83,United States,-,USD,5.03,4.07,1.0,"Feb 01, 2029",3.88,6.03,-,4.07,6.03,4.07,USD,"Feb 02, 2021","Feb 02, 2021"
IHS MARKIT LTD,Technology,Fixed Income,"170,650.46",0.12,"170,650.46","145,000.00",44962LAF4,US44962LAF40,-,115.72,United States,-,USD,5.51,2.17,1.0,"Aug 01, 2028",4.75,5.65,-,2.09,5.46,2.09,USD,"Jul 23, 2018","Jul 23, 2018"
SPIRIT AEROSYSTEMS INC 144A,Capital Goods,Fixed Income,"170,171.38",0.12,"170,171.38","160,000.00",85205TAM2,US85205TAM27,-,103.82,United States,-,USD,1.75,4.15,1.0,"Jan 15, 2025",5.5,2.72,-,3.29,1.65,3.29,USD,"Oct 05, 2020","Oct 05, 2020"
SPRINGLEAF FINANCE CORP,Finance Companies,Fixed Income,"169,898.00",0.12,"169,898.00","160,000.00",85172FAL3,US85172FAL31,BD1DF58,104.53,United States,-,USD,1.16,1.81,1.0,"Mar 15, 2023",5.63,1.16,-,1.81,1.16,1.81,USD,"Dec 08, 2017","Dec 08, 2017"
LAMB WESTON HOLDINGS INC 144A,Consumer Non-Cyclical,Fixed Income,"168,945.22",0.12,"168,945.22","155,000.00",513272AC8,US513272AC82,BLB4P57,108.37,United States,-,USD,5.27,3.4,1.0,"May 15, 2028",4.88,5.47,-,3.29,5.1,3.29,USD,"May 12, 2020","May 12, 2020"
MGM GROWTH PROPERTIES OPERATING PA,Consumer Cyclical,Fixed Income,"167,885.11",0.12,"167,885.11","145,000.00",55303XAJ4,US55303XAJ46,BKSLLW3,113.39,United States,-,USD,4.24,2.9,1.0,"Feb 01, 2027",5.75,4.37,-,2.77,4.18,2.77,USD,"Aug 01, 2019","Jan 06, 2020"
PGT INNOVATIONS INC 144A,Capital Goods,Fixed Income,"167,717.25",0.12,"167,717.25","165,000.00",69336VAB7,US69336VAB71,-,100.47,United States,-,USD,5.14,4.29,1.0,"Oct 01, 2029",4.38,6.46,-,4.25,4.08,4.25,USD,"Sep 24, 2021","Sep 24, 2021"
NEWMARK GROUP INC,Consumer Cyclical,Fixed Income,"167,323.49",0.12,"167,323.49","155,000.00",65158NAB8,US65158NAB82,BJL1156,107.17,United States,-,USD,1.71,2.19,1.0,"Nov 15, 2023",6.13,1.77,-,2.02,1.69,2.02,USD,"Nov 06, 2018","Mar 11, 2019"
B&G FOODS INC,Consumer Non-Cyclical,Fixed Income,"167,239.11",0.12,"167,239.11","159,000.00",05508WAB1,US05508WAB19,BKKF792,103.64,United States,-,USD,2.22,4.52,1.0,"Sep 15, 2027",5.25,4.84,-,4.02,2.86,4.02,USD,"Sep 26, 2019","Sep 26, 2019"
FIRSTENERGY TRANSMISSION LLC 144A,Electric,Fixed Income,"167,200.90",0.12,"167,200.90","165,000.00",33767BAD1,US33767BAD10,-,100.49,United States,-,USD,6.0,2.78,1.0,"Sep 15, 2028",2.87,6.02,-,2.78,5.88,2.78,USD,"Mar 19, 2021","Mar 19, 2021"
NOKIA OYJ,Technology,Fixed Income,"167,017.83",0.12,"167,017.83","120,000.00",654902AC9,US654902AC90,B40SLR5,138.34,Finland,-,USD,11.37,3.63,1.0,"May 15, 2039",6.63,11.37,-,3.63,11.37,3.63,USD,"May 07, 2009","May 07, 2009"
TRANSDIGM INC,Capital Goods,Fixed Income,"166,926.38",0.12,"166,926.38","165,000.00",893647BQ9,US893647BQ97,-,100.36,United States,-,USD,4.94,4.82,1.0,"May 01, 2029",4.88,6.06,-,4.78,3.84,4.78,USD,"Apr 21, 2021","Sep 20, 2021"
SSL ROBOTICS LLC 144A,Technology,Fixed Income,"166,517.63",0.12,"166,517.63","154,000.00",78472GAA7,US78472GAA76,BKMJX05,107.69,United States,-,USD,0.28,5.63,1.0,"Dec 31, 2023",9.75,1.81,-,4.48,0.08,4.48,USD,"Dec 02, 2019","Dec 02, 2019"
AVIS BUDGET CAR RENTAL LLC 144A,Transportation,Fixed Income,"166,041.68",0.12,"166,041.68","155,000.00",053773BF3,US053773BF30,-,105.33,United States,-,USD,3.7,4.5,1.0,"Mar 01, 2029",5.38,5.84,-,3.97,2.86,3.97,USD,"Mar 01, 2021","Mar 01, 2021"
IHEARTCOMMUNICATIONS INC,Communications,Fixed Income,"165,734.14",0.11,"165,734.14","155,000.00",45174HBC0,US45174HBC07,BK0NK53,104.27,United States,-,USD,0.5,5.26,1.0,"May 01, 2026",6.38,3.67,-,3.0,0.32,3.0,USD,"May 01, 2019","May 01, 2019"
NATIONSTAR MORTGAGE HOLDINGS INC 144A,Financial Other,Fixed Income,"165,626.28",0.11,"165,626.28","155,000.00",63861CAA7,US63861CAA71,-,104.09,United States,-,USD,2.52,5.07,1.0,"Jan 15, 2027",6.0,4.22,-,4.54,2.69,4.54,USD,"Jan 16, 2020","Jan 16, 2020"
REALOGY GROUP LLC 144A,Consumer Cyclical,Fixed Income,"165,198.83",0.11,"165,198.83","155,000.00",75606DAJ0,US75606DAJ00,-,106.24,United States,-,USD,0.45,5.61,1.0,"Jun 15, 2025",7.63,3.02,-,2.15,0.45,2.15,USD,"Jun 16, 2020","Jun 16, 2020"
NATIONSTAR MORTGAGE HOLDINGS INC 144A,Financial Other,Fixed Income,"164,653.13",0.11,"164,653.13","165,000.00",63861CAD1,US63861CAD11,BNBRDV2,99.56,United States,-,USD,6.14,5.19,1.0,"Dec 15, 2030",5.13,7.09,-,5.19,7.09,5.19,USD,"Dec 04, 2020","Dec 04, 2020"
TRIVIUM PACKAGING FINANCE BV 144A,Capital Goods,Fixed Income,"163,320.75",0.11,"163,320.75","150,000.00",89686QAB2,US89686QAB23,BK0YL64,105.69,Netherlands,-,USD,1.63,7.25,1.0,"Aug 15, 2027",8.5,4.33,-,5.85,0.59,5.85,USD,"Aug 02, 2019","Aug 02, 2019"
SWITCH LTD 144A,Technology,Fixed Income,"163,182.65",0.11,"163,182.65","160,000.00",87105NAA8,US87105NAA81,-,100.88,United States,-,USD,4.32,3.6,1.0,"Sep 15, 2028",3.75,5.83,-,3.49,3.4,3.49,USD,"Sep 17, 2020","Sep 17, 2020"
APX GROUP INC 144A,Consumer Cyclical,Fixed Income,"162,306.00",0.11,"162,306.00","150,000.00",00213MAV6,US00213MAV63,-,105.65,United States,-,USD,2.15,5.47,1.0,"Feb 15, 2027",6.75,4.22,-,4.49,1.05,4.49,USD,"Feb 14, 2020","Feb 14, 2020"
TRAVEL + LEISURE CO 144A,Consumer Cyclical,Fixed Income,"162,151.20",0.11,"162,151.20","160,000.00",894164AA0,US894164AA06,-,100.81,United States,-,USD,6.58,4.38,1.0,"Dec 01, 2029",4.5,6.57,-,4.37,6.4,4.37,USD,"Nov 18, 2021","Nov 18, 2021"
HILTON DOMESTIC OPERATING COMPANY,Consumer Cyclical,Fixed Income,"161,931.21",0.11,"161,931.21","155,000.00",432891AK5,US432891AK52,BZ5ZRW5,103.25,United States,-,USD,0.34,4.18,1.0,"Apr 01, 2027",4.88,4.56,-,1.54,0.25,1.54,USD,"Mar 16, 2017","Aug 07, 2017"
PRESTIGE BRANDS INC 144A,Consumer Non-Cyclical,Fixed Income,"161,313.08",0.11,"161,313.08","165,000.00",74112BAM7,US74112BAM72,-,96.83,United States,-,USD,6.76,4.17,1.0,"Apr 01, 2031",3.75,7.64,-,4.17,7.64,4.17,USD,"Mar 01, 2021","Mar 01, 2021"
NATIONSTAR MORTGAGE HOLDINGS INC 144A,Financial Other,Fixed Income,"161,312.67",0.11,"161,312.67","160,000.00",63861CAE9,US63861CAE93,-,99.91,United States,-,USD,6.58,5.76,1.0,"Nov 15, 2031",5.75,7.39,-,5.76,7.39,5.76,USD,"Nov 04, 2021","Nov 04, 2021"
TRIUMPH GROUP INC 144A,Capital Goods,Fixed Income,"160,743.93",0.11,"160,743.93","146,000.00",896818AS0,US896818AS01,-,109.36,United States,-,USD,1.67,4.73,1.0,"Jun 01, 2024",8.88,2.17,-,3.76,1.77,3.76,USD,"Aug 17, 2020","Aug 17, 2020"
IHEARTCOMMUNICATIONS INC 144A,Communications,Fixed Income,"160,698.23",0.11,"160,698.23","155,000.00",45174HBG1,US45174HBG11,BKM81Q4,101.49,United States,-,USD,3.58,4.47,1.0,"Jan 15, 2028",4.75,5.1,-,4.22,2.75,4.22,USD,"Nov 22, 2019","Nov 22, 2019"
AVIENT CORP,Basic Industry,Fixed Income,"159,685.25",0.11,"159,685.25","150,000.00",73179PAK2,US73179PAK21,BFWV588,104.91,United States,-,USD,1.16,1.14,1.0,"Mar 15, 2023",5.25,1.16,-,1.14,1.16,1.14,USD,"Sep 15, 2013","Oct 10, 2013"
ZIGGO BOND COMPANY BV 144A,Communications,Fixed Income,"158,683.50",0.11,"158,683.50","150,000.00",98954UAB9,US98954UAB98,BZCR8L0,103.04,Netherlands,-,USD,1.16,5.3,1.0,"Jan 15, 2027",6.0,4.21,-,4.86,0.98,4.86,USD,"Sep 23, 2016","Sep 23, 2016"
TEGNA INC 144A,Communications,Fixed Income,"158,286.92",0.11,"158,286.92","150,000.00",87901JAF2,US87901JAF21,-,104.13,United States,-,USD,2.31,3.68,1.0,"Mar 15, 2026",4.75,3.75,-,3.18,1.15,3.18,USD,"Sep 10, 2020","Sep 10, 2020"
SLM CORP,Finance Companies,Fixed Income,"158,193.50",0.11,"158,193.50","150,000.00",78442PGD2,US78442PGD24,-,104.74,United States,-,USD,3.49,2.88,1.0,"Oct 29, 2025",4.2,3.51,-,2.86,3.44,2.86,USD,"Oct 29, 2020","Oct 29, 2020"
TAYLOR MORRISON COMMUNITIES INC 144A,Consumer Cyclical,Fixed Income,"157,533.76",0.11,"157,533.76","140,000.00",87724RAA0,US87724RAA05,BJR4FL3,112.26,United States,-,USD,4.59,3.39,1.0,"Jun 15, 2027",5.88,4.7,-,3.29,4.52,3.29,USD,"Jun 05, 2019","Jun 05, 2019"
CIMPRESS PLC 144A,Communications,Fixed Income,"157,193.50",0.11,"157,193.50","150,000.00",17186HAC6,US17186HAC60,BFWN9W6,104.5,Ireland,-,USD,1.35,5.84,1.0,"Jun 15, 2026",7.0,3.8,-,4.59,0.45,4.59,USD,"Jun 15, 2018","Jun 15, 2018"
RITCHIE BROS HOLDINGS INC 144A,Capital Goods,Fixed Income,"156,952.42",0.11,"156,952.42","150,000.00",76774LAA5,US76774LAA52,BLDBF89,104.5,United States,-,USD,6.34,4.19,1.0,"Dec 15, 2031",4.75,7.92,-,4.0,5.9,4.0,USD,"Dec 21, 2021","Dec 21, 2021"
TENNECO INC 144A,Consumer Cyclical,Fixed Income,"156,943.15",0.11,"156,943.15","140,000.00",880349AS4,US880349AS45,-,108.47,United States,-,USD,2.81,6.36,1.0,"Jan 15, 2029",7.88,5.26,-,5.29,1.82,5.29,USD,"Nov 30, 2020","Nov 30, 2020"
TELEFLEX INCORPORATED,Consumer Non-Cyclical,Fixed Income,"156,848.96",0.11,"156,848.96","150,000.00",879369AF3,US879369AF39,BDG2CF9,103.97,United States,-,USD,1.94,3.86,1.0,"Nov 15, 2027",4.63,5.1,-,2.62,0.85,2.62,USD,"Nov 20, 2017","Nov 20, 2017"
FIRSTENERGY TRANSMISSION LLC 144A,Electric,Fixed Income,"156,758.62",0.11,"156,758.62","135,000.00",33767BAC3,US33767BAC37,BH3W5T5,114.98,United States,-,USD,16.06,3.67,1.0,"Apr 01, 2049",4.55,16.23,-,3.67,16.06,3.67,USD,"Mar 28, 2019","Mar 28, 2019"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"156,684.43",0.11,"156,684.43","115,000.00",50077LBJ4,US50077LBJ44,BNG49V0,135.79,United States,-,USD,16.08,3.5,1.0,"Jun 01, 2050",5.5,16.28,-,3.48,16.13,3.48,USD,"Dec 01, 2020","Jan 19, 2021"
CAMELOT FINANCE SA 144A,Technology,Fixed Income,"156,513.75",0.11,"156,513.75","150,000.00",13323AAB6,US13323AAB61,BKSGCW5,103.61,Luxembourg,-,USD,1.97,3.68,1.0,"Nov 01, 2026",4.5,4.3,-,2.78,0.81,2.78,USD,"Oct 31, 2019","Oct 31, 2019"
SEAGATE HDD CAYMAN,Technology,Fixed Income,"156,469.27",0.11,"156,469.27","135,000.00",81180WAN1,US81180WAN11,BD6RKV6,115.42,United States,-,USD,9.26,4.19,1.0,"Dec 01, 2034",5.75,9.34,-,4.15,9.08,4.15,USD,"Dec 02, 2014","Dec 02, 2014"
MACYS RETAIL HOLDINGS LLC 144A,Consumer Cyclical,Fixed Income,"156,472.04",0.11,"156,472.04","145,000.00",55617LAP7,US55617LAP76,-,106.44,United States,-,USD,3.59,4.81,1.0,"Apr 01, 2029",5.88,5.83,-,4.1,2.08,4.1,USD,"Mar 17, 2021","Mar 17, 2021"
NCR CORPORATION 144A,Technology,Fixed Income,"156,448.50",0.11,"156,448.50","150,000.00",62886EAY4,US62886EAY41,-,103.05,United States,-,USD,3.83,4.47,1.0,"Oct 01, 2028",5.0,5.63,-,4.47,5.63,4.47,USD,"Aug 20, 2020","Aug 20, 2020"
RACKSPACE TECHNOLOGY GLOBAL INC 144A,Technology,Fixed Income,"156,411.07",0.11,"156,411.07","160,000.00",750098AA3,US750098AA35,-,97.31,United States,-,USD,5.11,5.85,1.0,"Dec 01, 2028",5.38,5.66,-,5.85,5.66,5.85,USD,"Dec 01, 2020","Dec 01, 2020"
HILTON DOMESTIC OPERATING COMPANY 144A,Consumer Cyclical,Fixed Income,"156,346.73",0.11,"156,346.73","145,000.00",432833AH4,US432833AH41,-,106.87,United States,-,USD,1.92,4.49,1.0,"May 01, 2028",5.75,5.27,-,2.61,1.28,2.61,USD,"Apr 21, 2020","Apr 21, 2020"
CIT GROUP INC,Banking,Fixed Income,"156,124.88",0.11,"156,124.88","145,000.00",125581GR3,US125581GR39,BCL2NF4,105.59,United States,-,USD,1.51,1.42,1.0,"Aug 01, 2023",5.0,1.5,-,1.42,1.5,1.42,USD,"Aug 01, 2013","Aug 01, 2013"
NEWELL RUBBERMAID INC,Consumer Non-Cyclical,Fixed Income,"155,813.44",0.11,"155,813.44","125,000.00",651229AX4,US651229AX48,BD3J3G1,123.18,United States,-,USD,9.9,3.76,1.0,"Apr 01, 2036",5.88,10.02,-,3.71,9.78,3.71,USD,"Mar 30, 2016","Mar 30, 2016"
GO DADDY OPERATING COMPANY LLC 144A,Consumer Cyclical,Fixed Income,"155,796.75",0.11,"155,796.75","150,000.00",38016LAA3,US38016LAA35,BJLPZ45,103.43,United States,-,USD,1.36,4.58,1.0,"Dec 01, 2027",5.25,5.04,-,3.2,0.41,3.2,USD,"Jun 04, 2019","Jun 04, 2019"
SENSATA TECHNOLOGIES INC 144A,Technology,Fixed Income,"155,607.88",0.11,"155,607.88","145,000.00",81728UAA2,US81728UAA25,BKV8YH7,105.66,United States,-,USD,6.69,3.57,1.0,"Feb 15, 2030",4.38,6.74,-,3.54,6.56,3.54,USD,"Sep 20, 2019","Sep 20, 2019"
UNITI GROUP LP 144A,Communications,Fixed Income,"155,205.81",0.11,"155,205.81","155,000.00",91327BAB6,US91327BAB62,-,99.13,United States,-,USD,4.76,4.91,1.0,"Apr 15, 2028",4.75,5.32,-,4.91,5.32,4.91,USD,"Apr 20, 2021","Apr 20, 2021"
UNDER ARMOUR INC,Consumer Cyclical,Fixed Income,"155,055.67",0.11,"155,055.67","150,000.00",904311AA5,US904311AA54,BD1JWR7,103.23,United States,-,USD,4.04,2.48,1.0,"Jun 15, 2026",3.25,4.13,-,2.44,3.92,2.44,USD,"Jun 13, 2016","Jun 13, 2016"
FLEX ACQUISITION COMPANY INC 144A,Capital Goods,Fixed Income,"154,852.71",0.11,"154,852.71","150,000.00",33936YAA3,US33936YAA38,BDHTRW1,100.07,United States,-,USD,0.49,6.85,1.0,"Jan 15, 2025",6.88,2.62,-,6.01,0.07,6.01,USD,"Jan 17, 2017","Jan 17, 2017"
HOWARD HUGHES CORP 144A,Financial Other,Fixed Income,"154,472.88",0.11,"154,472.88","150,000.00",44267DAF4,US44267DAF42,-,101.16,United States,-,USD,5.47,4.22,1.0,"Feb 01, 2031",4.38,7.31,-,4.06,3.65,4.06,USD,"Feb 02, 2021","Feb 02, 2021"
CHARLES RIVER LABORATORIES INTERNA 144A,Consumer Non-Cyclical,Fixed Income,"153,916.75",0.11,"153,916.75","150,000.00",159864AG2,US159864AG27,-,101.51,United States,-,USD,4.58,3.51,1.0,"Mar 15, 2029",3.75,6.21,-,3.36,3.83,3.36,USD,"Mar 23, 2021","Mar 23, 2021"
BOOZ ALLEN HAMILTON INC 144A,Industrial Other,Fixed Income,"153,642.81",0.11,"153,642.81","145,000.00",09951LAB9,US09951LAB99,-,103.81,United States,-,USD,4.28,3.42,1.0,"Jul 01, 2029",4.0,6.34,-,3.09,4.03,3.09,USD,"Jun 17, 2021","Jun 17, 2021"
IRON MOUNTAIN INC 144A,Technology,Fixed Income,"153,578.25",0.11,"153,578.25","140,000.00",46284VAL5,US46284VAL53,-,107.11,United States,-,USD,5.72,4.76,1.0,"Jul 15, 2032",5.63,7.81,-,4.44,3.91,4.44,USD,"Jun 22, 2020","Jun 22, 2020"
AMERICAN AXLE AND MANUFACTURING IN,Consumer Cyclical,Fixed Income,"153,253.40",0.11,"153,253.40","145,000.00",02406PAU4,US02406PAU49,BDZVHM9,104.07,United States,-,USD,0.35,5.59,1.0,"Apr 01, 2027",6.5,4.36,-,3.06,0.25,3.06,USD,"Oct 01, 2017","Feb 01, 2018"
ADAPTHEALTH LLC 144A,Consumer Non-Cyclical,Fixed Income,"153,195.12",0.11,"153,195.12","150,000.00",00653VAC5,US00653VAC54,-,100.2,United States,-,USD,4.88,4.59,1.0,"Aug 01, 2029",4.63,6.22,-,4.57,3.62,4.57,USD,"Jan 04, 2021","Jan 04, 2021"
KAISER ALUMINUM CORPORATION 144A,Basic Industry,Fixed Income,"153,186.50",0.11,"153,186.50","155,000.00",483007AL4,US483007AL48,-,98.45,United States,-,USD,6.64,4.7,1.0,"Jun 01, 2031",4.5,7.56,-,4.7,7.56,4.7,USD,"May 20, 2021","May 20, 2021"
WILLIAMS SCOTSMAN INTERNATIONAL IN 144A,Industrial Other,Fixed Income,"153,109.06",0.11,"153,109.06","146,000.00",96950GAE2,US96950GAE26,-,103.12,United States,-,USD,3.63,4.08,1.0,"Aug 15, 2028",4.63,5.59,-,3.7,3.27,3.7,USD,"Aug 25, 2020","Aug 25, 2020"
VAIL RESORTS INC 144A,Consumer Cyclical,Fixed Income,"153,062.89",0.11,"153,062.89","145,000.00",91879QAL3,US91879QAL32,-,104.76,United States,-,USD,0.37,4.7,1.0,"May 15, 2025",6.25,3.01,-,1.75,0.37,1.75,USD,"May 04, 2020","May 04, 2020"
NIELSEN FINANCE LLC 144A,Technology,Fixed Income,"152,855.12",0.11,"152,855.12","150,000.00",65409QBK7,US65409QBK76,-,99.09,United States,-,USD,6.46,4.87,1.0,"Jul 15, 2031",4.75,7.38,-,4.87,7.38,4.87,USD,"May 28, 2021","May 28, 2021"
CENTRAL GARDEN & PET COMPANY,Consumer Non-Cyclical,Fixed Income,"152,498.75",0.11,"152,498.75","150,000.00",153527AN6,US153527AN61,-,100.8,United States,-,USD,5.91,4.02,1.0,"Oct 15, 2030",4.13,7.26,-,3.99,5.83,3.99,USD,"Oct 16, 2020","Oct 16, 2020"
BUILDERS FIRSTSOURCE INC 144A,Capital Goods,Fixed Income,"152,250.93",0.11,"152,250.93","140,000.00",12008RAN7,US12008RAN70,-,107.08,United States,-,USD,4.33,3.97,1.0,"Mar 01, 2030",5.0,6.62,-,3.38,2.88,3.38,USD,"Feb 11, 2020","Feb 11, 2020"
TAYLOR MORRISON COMMUNITIES INC 144A,Consumer Cyclical,Fixed Income,"152,082.11",0.11,"152,082.11","135,000.00",87724RAJ1,US87724RAJ14,-,110.52,United States,-,USD,6.7,3.68,1.0,"Aug 01, 2030",5.13,6.88,-,3.61,6.55,3.61,USD,"Jul 22, 2020","Jul 22, 2020"
NIELSEN FINANCE LLC 144A,Technology,Fixed Income,"151,541.25",0.11,"151,541.25","150,000.00",65409QBH4,US65409QBH48,-,98.36,United States,-,USD,5.31,4.76,1.0,"Jul 15, 2029",4.5,6.15,-,4.76,6.15,4.76,USD,"May 28, 2021","May 28, 2021"
CLEVELAND-CLIFFS INC 144A,Basic Industry,Fixed Income,"151,356.32",0.1,"151,356.32","145,000.00",185899AK7,US185899AK74,-,102.84,United States,-,USD,4.26,4.16,1.0,"Mar 01, 2029",4.63,5.98,-,3.88,3.72,3.88,USD,"Feb 17, 2021","Feb 17, 2021"
ELASTIC NV 144A,Technology,Fixed Income,"151,306.12",0.1,"151,306.12","150,000.00",28415LAA1,US28415LAA17,-,98.88,United States,-,USD,5.29,4.3,1.0,"Jul 15, 2029",4.13,6.29,-,4.3,6.29,4.3,USD,"Jul 06, 2021","Jul 06, 2021"
SPRINGLEAF FINANCE CORP,Finance Companies,Fixed Income,"151,252.62",0.1,"151,252.62","140,000.00",85172FAS8,US85172FAS83,-,107.3,United States,-,USD,0.42,6.46,1.0,"Jun 01, 2025",8.88,2.92,-,1.86,0.41,1.86,USD,"May 14, 2020","May 14, 2020"
ADAPTHEALTH LLC 144A,Consumer Non-Cyclical,Fixed Income,"151,068.49",0.1,"151,068.49","145,000.00",00653VAE1,US00653VAE11,-,102.31,United States,-,USD,5.13,4.78,1.0,"Mar 01, 2030",5.13,6.52,-,4.62,4.43,4.62,USD,"Aug 19, 2021","Aug 19, 2021"
RHP HOTEL PROPERTIES LP,Reits,Fixed Income,"150,954.92",0.1,"150,954.92","146,000.00",749571AF2,US749571AF20,BMX0NL2,102.39,United States,-,USD,3.59,4.28,1.0,"Oct 15, 2027",4.75,4.98,-,4.06,3.41,4.06,USD,"Apr 15, 2020","Jul 10, 2020"
KRAFT HEINZ FOODS CO,Consumer Non-Cyclical,Fixed Income,"150,901.08",0.1,"150,901.08","131,000.00",50077LBF2,US50077LBF22,-,113.78,United States,-,USD,7.52,2.55,1.0,"Mar 01, 2031",4.25,7.61,-,2.52,7.43,2.52,USD,"Sep 01, 2020","Jan 19, 2021"
ADT CORP,Consumer Cyclical,Fixed Income,"150,883.13",0.1,"150,883.13","145,000.00",00101JAH9,US00101JAH95,B9XQGS7,103.87,United States,-,USD,1.42,1.43,1.0,"Jun 15, 2023",4.13,1.42,-,1.43,1.42,1.43,USD,"Jan 14, 2013","May 17, 2013"
ASBURY AUTOMOTIVE GROUP INC 144A,Consumer Cyclical,Fixed Income,"150,649.68",0.1,"150,649.68","145,000.00",043436AX2,US043436AX21,-,103.31,United States,-,USD,6.44,4.59,1.0,"Feb 15, 2032",5.0,7.88,-,4.49,6.45,4.49,USD,"Nov 19, 2021","Nov 19, 2021"
VIDEOTRON LTD 144A,Communications,Fixed Income,"150,460.64",0.1,"150,460.64","140,000.00",92660FAG9,US92660FAG90,BL2FPN7,107.23,Canada,-,USD,2.11,2.33,1.0,"Jun 15, 2024",5.38,2.31,-,2.01,2.09,2.01,USD,"Apr 09, 2014","Apr 09, 2014"
CEDAR FAIR LP,Consumer Cyclical,Fixed Income,"150,322.55",0.1,"150,322.55","145,000.00",150190AB2,US150190AB26,BFWG0X3,102.54,United States,-,USD,2.2,4.82,1.0,"Apr 15, 2027",5.38,4.52,-,4.53,2.96,4.53,USD,"Apr 15, 2018","Jun 22, 2018"
AVIS BUDGET CAR RENTAL LLC 144A,Transportation,Fixed Income,"150,183.02",0.1,"150,183.02","145,000.00",053773BG1,US053773BG13,-,102.39,United States,-,USD,4.22,4.31,1.0,"Apr 01, 2028",4.75,5.32,-,4.13,3.78,4.13,USD,"Mar 23, 2021","Mar 23, 2021"
AMERICAN AXLE & MANUFACTURING INC,Consumer Cyclical,Fixed Income,"149,964.50",0.1,"149,964.50","150,000.00",02406PBB5,US02406PBB58,-,98.14,United States,-,USD,5.46,5.29,1.0,"Oct 01, 2029",5.0,6.23,-,5.29,6.23,5.29,USD,"Aug 19, 2021","Aug 19, 2021"
UNITED NATURAL FOODS INC 144A,Consumer Non-Cyclical,Fixed Income,"149,925.96",0.1,"149,925.96","138,000.00",911163AA1,US911163AA17,-,107.22,United States,-,USD,2.88,5.46,1.0,"Oct 15, 2028",6.75,5.39,-,4.34,1.66,4.34,USD,"Oct 22, 2020","Oct 22, 2020"
REALOGY GROUP LLC 144A,Consumer Cyclical,Fixed Income,"149,554.01",0.1,"149,554.01","135,000.00",75606DAG6,US75606DAG60,BJY5HL3,108.44,United States,-,USD,0.25,7.4,1.0,"Apr 01, 2027",9.38,4.07,-,3.39,0.25,3.39,USD,"Mar 29, 2019","Mar 29, 2019"
HILTON GRAND VACATIONS BORROWER ES 144A,Consumer Cyclical,Fixed Income,"149,203.73",0.1,"149,203.73","145,000.00",43284MAB4,US43284MAB46,-,100.42,United States,-,USD,6.3,4.82,1.0,"Jul 01, 2031",4.88,7.36,-,4.81,6.08,4.81,USD,"Jun 28, 2021","Jun 28, 2021"
PTC INC 144A,Technology,Fixed Income,"149,170.84",0.1,"149,170.84","145,000.00",69370CAB6,US69370CAB63,-,101.51,United States,-,USD,1.75,3.11,1.0,"Feb 15, 2025",3.63,2.9,-,2.89,2.01,2.89,USD,"Feb 13, 2020","Feb 13, 2020"
DANA INC,Consumer Cyclical,Fixed Income,"149,094.40",0.1,"149,094.40","140,000.00",235825AG1,US235825AG15,-,106.25,United States,-,USD,2.42,4.5,1.0,"Jun 15, 2028",5.63,5.4,-,3.11,1.4,3.11,USD,"Jun 19, 2020","Jun 19, 2020"
BED BATH & BEYOND INC,Consumer Cyclical,Fixed Income,"149,038.90",0.1,"149,038.90","175,000.00",075896AC4,US075896AC47,BP81YD0,83.01,United States,-,USD,12.02,6.63,1.0,"Aug 01, 2044",5.17,11.95,-,6.63,11.95,6.63,USD,"Jul 17, 2014","Jul 17, 2014"
ROYAL CARIBBEAN CRUISES LTD 144A,Consumer Cyclical,Fixed Income,"148,949.75",0.1,"148,949.75","150,000.00",780153BH4,US780153BH44,-,97.1,United States,-,USD,3.95,4.98,1.0,"Jul 01, 2026",4.25,3.95,-,4.98,3.95,4.98,USD,"Jun 24, 2021","Jun 24, 2021"
CLEVELAND-CLIFFS INC 144A,Basic Industry,Fixed Income,"147,961.80",0.1,"147,961.80","140,000.00",185899AL5,US185899AL57,-,104.06,United States,-,USD,5.67,4.33,1.0,"Mar 01, 2031",4.88,7.27,-,4.21,5.94,4.21,USD,"Feb 17, 2021","Feb 17, 2021"
CASCADES INC. 144A,Basic Industry,Fixed Income,"147,941.56",0.1,"147,941.56","140,000.00",14739LAB8,US14739LAB80,BJV9C79,103.21,Canada,-,USD,2.98,4.76,1.0,"Jan 15, 2028",5.38,5.01,-,4.24,2.73,4.24,USD,"Nov 26, 2019","Nov 26, 2019"
