,,,,,,,,,,,,,,,,,,,,,,,,,,iShares International High Yield Bond ETF
EDP - ENERGIAS DE PORTUGAL SA RegS,Electric,Fixed Income,"113,376.78",0.17,"113,376.78","100,000.00",-,PTEDPROM0029,-,112.5,Portugal,-,USD,4.18,2.89,0.88,"Aug 02, 2081",1.88,3.97,-,2.14,4.36,2.14,EUR,"Feb 02, 2021","Feb 02, 2021"
INTERNATIONAL CONSOLIDATED AIRLINE RegS,Transportation,Fixed Income,"113,357.63",0.17,"113,357.63","100,000.00",-,XS2322423455,-,110.95,United Kingdom,-,USD,3.07,3.56,0.88,"Mar 25, 2025",2.75,2.96,-,3.56,2.96,3.56,EUR,"Mar 25, 2021","Mar 25, 2021"
MPT OPERATING PARTNERSHIP LP,Reits,Fixed Income,"113,353.05",0.17,"113,353.05","100,000.00",-,XS2390849318,-,113.09,United States,-,USD,4.68,1.11,0.88,"Oct 15, 2026",0.99,4.64,-,1.11,4.57,1.11,EUR,"Oct 06, 2021","Oct 06, 2021"
WMG ACQUISITION CORP RegS,Communications,Fixed Income,"113,175.02",0.17,"113,175.02","100,000.00",-,XS2367081523,-,112.22,United States,-,USD,7.64,2.40,0.88,"Aug 15, 2031",2.25,8.53,-,2.40,8.53,2.40,EUR,"Aug 16, 2021","Aug 16, 2021"
ALTICE FINANCING SA RegS,Communications,Fixed Income,"113,050.95",0.17,"113,050.95","100,000.00",-,XS2373430425,-,111.2,Luxembourg,-,USD,5.97,4.60,0.88,"Aug 15, 2029",4.25,6.33,-,4.60,6.33,4.60,EUR,"Aug 12, 2021","Aug 12, 2021"
EVONIK INDUSTRIES AG RegS,Basic Industry,Fixed Income,"113,016.60",0.17,"113,016.60","100,000.00",-,DE000A3E5WW4,BMYY733,112.89,Germany,-,USD,4.56,2.30,0.88,"Sep 02, 2081",1.38,4.4,-,1.56,4.76,1.56,EUR,"Sep 02, 2021","Sep 02, 2021"
BANK OF IRELAND GROUP PLC MTN RegS,Banking,Fixed Income,"112,994.23",0.17,"112,994.23","100,000.00",-,XS2340236327,-,112.39,Ireland,-,USD,4.25,1.65,0.88,"Aug 11, 2031",1.38,4.4,-,1.65,4.44,1.65,EUR,"May 11, 2021","May 11, 2021"
ICCREA BANCA ISTITUTO CENTRALE DEL MTN RegS,Banking,Fixed Income,"112,980.56",0.17,"112,980.56","100,000.00",-,XS2407593222,-,112.69,Italy,-,USD,3.82,1.78,0.88,"Jan 17, 2027",2.13,3.87,-,1.78,3.87,1.78,EUR,"Nov 17, 2021","Nov 17, 2021"
RENAULT SA MTN RegS,Consumer Cyclical,Fixed Income,"112,921.33",0.17,"112,921.33","100,000.00",-,FR0013368206,BFM4XP0,112.34,France,-,USD,4.51,2.27,0.88,"Sep 28, 2026",2.0,4.45,-,2.27,4.45,2.27,EUR,"Sep 28, 2018","Sep 28, 2018"
ROLLS-ROYCE PLC MTN RegS,Capital Goods,Fixed Income,"112,847.11",0.17,"112,847.11","100,000.00",-,XS1819575066,BG20667,112.2,United Kingdom,-,USD,2.33,1.45,0.88,"May 09, 2024",0.88,2.29,-,1.45,2.29,1.45,EUR,"May 09, 2018","May 09, 2018"
LOXAM SAS RegS,Capital Goods,Fixed Income,"112,818.11",0.17,"112,818.11","100,000.00",-,XS1975699569,BJN5N61,112.68,France,-,USD,3.65,3.19,0.88,"Apr 15, 2026",2.88,4.0,-,3.19,4.0,3.19,EUR,"Apr 11, 2019","Apr 11, 2019"
INTRUM AB RegS,Financial Other,Fixed Income,"112,806.99",0.17,"112,806.99","100,000.00",-,XS2052216111,BKFHFP5,111.81,Sweden,-,USD,4.62,3.35,0.88,"Sep 15, 2027",3.0,5.15,-,3.35,5.15,3.35,EUR,"Sep 19, 2019","Sep 19, 2019"
ALTICE FRANCE SA (FRANCE) RegS,Communications,Fixed Income,"112,809.38",0.17,"112,809.38","100,000.00",-,XS2332975007,-,111.85,France,-,USD,5.86,4.31,0.88,"Jul 15, 2029",4.0,6.38,-,4.31,6.38,4.31,EUR,"Apr 27, 2021","Apr 27, 2021"
ARDAGH METAL PACKAGING FINANCE USA RegS,Capital Goods,Fixed Income,"112,602.66",0.17,"112,602.66","100,000.00",-,XS2310487074,BNKLD82,112.32,United States,-,USD,5.48,2.20,0.88,"Sep 01, 2028",2.0,6.19,-,2.20,6.19,2.20,EUR,"Mar 12, 2021","Mar 12, 2021"
BANCA MONTE DEI PASCHI DI SIENA SP MTN RegS,Banking,Fixed Income,"112,578.03",0.17,"112,578.03","100,000.00",-,XS2031926731,BK9WBK3,107.31,Italy,-,USD,5.29,11.53,0.88,"Jul 23, 2029",10.5,4.74,-,11.53,4.74,11.53,EUR,"Jul 23, 2019","Jul 23, 2019"
CIRSA FINANCE INTERNATIONAL SARL RegS,Consumer Cyclical,Fixed Income,"112,524.52",0.17,"112,524.52","100,000.00",-,XS2388186996,-,111.17,Spain,-,USD,4.46,5.06,0.88,"Mar 15, 2027",4.5,4.52,-,5.06,4.52,5.06,EUR,"Sep 27, 2021","Sep 27, 2021"
BPER BANCA SPA MTN RegS,Banking,Fixed Income,"112,511.78",0.17,"112,511.78","100,000.00",-,XS2325743990,-,111.33,Italy,-,USD,3.99,1.76,0.88,"Mar 31, 2027",1.38,4.06,-,1.76,4.07,1.76,EUR,"Mar 31, 2021","Mar 31, 2021"
CONTOURGLOBAL POWER HOLDINGS SA RegS,Electric,Fixed Income,"112,396.71",0.17,"112,396.71","100,000.00",-,XS2274815369,-,110.84,Spain,-,USD,3.72,3.43,0.88,"Jan 01, 2026",2.75,3.7,-,3.43,3.7,3.43,EUR,"Dec 17, 2020","Dec 17, 2020"
RENAULT SA MTN RegS,Consumer Cyclical,Fixed Income,"112,381.77",0.17,"112,381.77","100,000.00",-,FR0013299435,BF2W0H5,112.28,France,-,USD,3.82,1.33,0.88,"Nov 28, 2025",1.0,3.8,-,1.33,3.8,1.33,EUR,"Nov 28, 2017","Nov 28, 2017"
CELLNEX FINANCE COMPANY SA MTN RegS,Communications,Fixed Income,"112,357.38",0.17,"112,357.38","100,000.00",-,XS2348237871,-,111.4,Spain,-,USD,6.1,1.84,0.88,"Jun 08, 2028",1.5,6.02,-,1.84,6.02,1.84,EUR,"Jun 08, 2021","Jun 08, 2021"
AKELIUS RESIDENTIAL PROPERTY AB (P RegS,Financial Other,Fixed Income,"112,349.40",0.17,"112,349.40","100,000.00",-,XS2110077299,-,110.75,Sweden,-,USD,3.94,2.83,0.88,"May 17, 2081",2.25,3.74,-,2.93,4.1,2.93,EUR,"Feb 17, 2020","Feb 17, 2020"
RENAULT SA MTN RegS,Consumer Cyclical,Fixed Income,"112,288.29",0.16,"112,288.29","100,000.00",-,FR0013428414,BJF8MY9,111.55,France,-,USD,3.4,1.82,0.88,"Jun 24, 2025",1.25,3.34,-,1.82,3.34,1.82,EUR,"Jun 24, 2019","Jun 24, 2019"
DUFRY ONE BV RegS,Consumer Cyclical,Fixed Income,"112,281.37",0.16,"112,281.37","100,000.00",-,XS1699848914,BF15FK3,111.69,Switzerland,-,USD,0.08,36.59,0.88,"Oct 15, 2024",2.5,0.07,-,36.59,0.07,36.59,EUR,"Oct 24, 2017","Oct 24, 2017"
VIVION INVESTMENTS SARL RegS,Financial Other,Fixed Income,"112,158.81",0.16,"112,158.81","100,000.00",-,XS2031925840,BKLVKS9,110.8,Luxembourg,-,USD,2.52,4.05,0.88,"Aug 08, 2024",3.0,2.42,-,4.05,2.42,4.05,EUR,"Aug 08, 2019","Aug 08, 2019"
BRITISH TELECOMMUNICATIONS PLC RegS,Communications,Fixed Income,"111,929.43",0.16,"111,929.43","100,000.00",-,XS2119468572,-,111.14,United Kingdom,-,USD,3.29,2.68,0.88,"Aug 18, 2080",1.87,3.1,-,2.58,3.48,2.58,EUR,"Feb 18, 2020","Feb 18, 2020"
ALTICE FINANCING SA RegS,Communications,Fixed Income,"111,916.20",0.16,"111,916.20","100,000.00",-,XS2102489353,-,110.74,Luxembourg,-,USD,2.93,3.16,0.88,"Jan 15, 2025",2.25,2.88,-,3.16,2.88,3.16,EUR,"Jan 22, 2020","Jan 22, 2020"
DOMETIC GROUP AB (PUBL) MTN RegS,Consumer Non-Cyclical,Fixed Income,"111,916.13",0.16,"111,916.13","100,000.00",-,XS2391403354,-,111.34,Sweden,-,USD,6.31,2.34,0.88,"Sep 29, 2028",2.0,6.2,-,2.34,6.2,2.34,EUR,"Sep 29, 2021","Sep 29, 2021"
SUMMER BC HOLDCO A SARL RegS,Communications,Fixed Income,"111,906.69",0.16,"111,906.69","90,105.00",-,XS2067265392,BKWBFL6,122.44,Luxembourg,-,USD,0.81,7.62,0.88,"Oct 31, 2027",9.25,4.45,-,0.77,0.81,0.77,EUR,"Oct 30, 2019","Oct 30, 2019"
VIVION INVESTMENTS SARL RegS,Financial Other,Fixed Income,"111,824.07",0.16,"111,824.07","100,000.00",-,XS2070311431,-,111.17,Luxembourg,-,USD,3.65,4.14,0.88,"Nov 01, 2025",3.5,3.49,-,4.14,3.49,4.14,EUR,"Nov 01, 2019","Nov 01, 2019"
ARDAGH METAL PACKAGING FINANCE USA RegS,Capital Goods,Fixed Income,"111,729.59",0.16,"111,729.59","100,000.00",-,XS2310511717,-,111.3,United States,-,USD,6.17,3.31,0.88,"Sep 01, 2029",3.0,6.76,-,3.31,6.76,3.31,EUR,"Mar 12, 2021","Mar 12, 2021"
UNITED GROUP BV RegS,Communications,Fixed Income,"111,697.98",0.16,"111,697.98","100,000.00",-,XS2111947748,-,110.15,Netherlands,-,USD,5.16,4.26,0.88,"Feb 15, 2028",3.63,5.35,-,4.26,5.35,4.26,EUR,"Feb 06, 2020","Feb 06, 2020"
CELLNEX FINANCE COMPANY SA MTN RegS,Communications,Fixed Income,"111,643.91",0.16,"111,643.91","100,000.00",-,XS2300292617,-,111.54,Spain,-,USD,4.77,1.16,0.88,"Nov 15, 2026",0.75,4.74,-,1.16,4.74,1.16,EUR,"Feb 15, 2021","Feb 15, 2021"
ARDAGH PACKAGING FINANCE PLC RegS,Capital Goods,Fixed Income,"111,631.49",0.16,"111,631.49","100,000.00",-,XS2036387525,BK5HL57,111.33,United States,-,USD,4.17,2.63,0.88,"Aug 15, 2026",2.13,4.36,-,2.63,4.36,2.63,EUR,"Aug 12, 2019","Aug 12, 2019"
CELLNEX TELECOM SA MTN RegS,Communications,Fixed Income,"111,630.08",0.16,"111,630.08","100,000.00",-,XS2102934697,-,110.84,Spain,-,USD,5.13,1.50,0.88,"Apr 20, 2027",1.0,5.08,-,1.50,5.08,1.50,EUR,"Jan 20, 2020","Jan 20, 2020"
UNITED GROUP BV RegS,Communications,Fixed Income,"111,594.09",0.16,"111,594.09","100,000.00",-,XS2111946930,-,110.26,Netherlands,-,USD,3.8,3.96,0.88,"Feb 15, 2026",3.13,3.78,-,3.96,3.78,3.96,EUR,"Feb 06, 2020","Feb 06, 2020"
STANDARD INDUSTRIES INC RegS,Capital Goods,Fixed Income,"111,582.16",0.16,"111,582.16","100,000.00",-,XS2080766475,-,111.3,United States,-,USD,4.45,2.75,0.88,"Nov 21, 2026",2.25,4.33,-,2.75,4.33,2.75,EUR,"Nov 21, 2019","Nov 21, 2019"
VALEO SE MTN RegS,Consumer Cyclical,Fixed Income,"111,447.84",0.16,"111,447.84","100,000.00",-,FR0014004UE6,-,110.98,France,-,USD,6.35,1.38,0.88,"Aug 03, 2028",1.0,6.29,-,1.38,6.29,1.38,EUR,"Aug 03, 2021","Aug 03, 2021"
COMMERZBANK AG MTN RegS,Banking,Fixed Income,"111,447.56",0.16,"111,447.56","100,000.00",-,DE000CZ45WP5,-,111.44,Germany,-,USD,4.63,1.78,0.88,"Dec 29, 2031",1.38,4.77,-,1.90,4.82,1.90,EUR,"Sep 28, 2021","Sep 28, 2021"
ATLAS LUXCO 4 SARL RegS,Consumer Cyclical,Fixed Income,"111,406.83",0.16,"111,406.83","100,000.00",-,XS2342057143,-,111.08,United States,-,USD,5.47,4.05,0.88,"Jun 01, 2028",3.63,5.64,-,4.05,5.64,4.05,EUR,"May 14, 2021","May 14, 2021"
BANCO BPM SPA MTN RegS,Banking,Fixed Income,"111,276.33",0.16,"111,276.33","100,000.00",-,XS2365097455,-,110.82,Italy,-,USD,4.46,1.46,0.88,"Jul 15, 2026",0.88,4.39,-,1.46,4.39,1.46,EUR,"Jul 15, 2021","Jul 15, 2021"
SOFTBANK GROUP CORP RegS,Communications,Fixed Income,"111,158.14",0.16,"111,158.14","100,000.00",-,XS1684385591,BF166H0,109.88,Japan,-,USD,6.6,4.50,0.88,"Sep 19, 2029",4.0,6.48,-,4.50,6.48,4.50,EUR,"Sep 19, 2017","Sep 19, 2017"
TRAPEZA PEIRAIOS AE MTN RegS,Banking,Fixed Income,"111,028.99",0.16,"111,028.99","100,000.00",-,XS2400040460,-,110.33,Greece,-,USD,4.18,4.39,0.88,"Nov 03, 2027",3.88,4.36,-,4.39,4.38,4.39,EUR,"Nov 03, 2021","Nov 03, 2021"
DUFRY ONE BV RegS,Consumer Cyclical,Fixed Income,"110,482.53",0.16,"110,482.53","100,000.00",-,XS2333564503,-,109.68,Switzerland,-,USD,5.5,4.05,0.88,"Apr 15, 2028",3.38,5.56,-,4.05,5.56,4.05,EUR,"Apr 22, 2021","Apr 22, 2021"
ALTICE FINCO SA RegS,Communications,Fixed Income,"110,438.70",0.16,"110,438.70","100,000.00",-,XS1577952440,BF2DYR6,107.96,Luxembourg,-,USD,5.14,5.76,0.88,"Jan 15, 2028",4.75,5.04,-,5.76,5.04,5.76,EUR,"Oct 11, 2017","Oct 11, 2017"
CELLNEX FINANCE COMPANY SA MTN RegS,Communications,Fixed Income,"110,383.59",0.16,"110,383.59","100,000.00",-,XS2385393405,-,110.05,Spain,-,USD,5.54,1.60,0.88,"Sep 15, 2027",1.0,5.47,-,1.60,5.47,1.60,EUR,"Sep 15, 2021","Sep 15, 2021"
FASTIGHETS AB BALDER RegS,Financial Other,Fixed Income,"110,271.77",0.16,"110,271.77","100,000.00",-,XS2305362951,-,108.37,Sweden,-,USD,3.92,3.76,0.88,"Jun 02, 2081",2.87,3.66,-,4.12,4.07,4.12,EUR,"Mar 02, 2021","Mar 02, 2021"
BANK OF CYPRUS PCL MTN RegS,Banking,Fixed Income,"110,121.91",0.16,"110,121.91","100,000.00",-,XS2355059168,-,108.64,Cyprus,-,USD,4.01,3.37,0.88,"Jun 24, 2027",2.5,4.15,-,3.37,4.16,3.37,EUR,"Jun 24, 2021","Jun 24, 2021"
EDP ENERGIAS DE PORTUGAL SA NC5.5 RegS,Electric,Fixed Income,"110,071.03",0.16,"110,071.03","100,000.00",-,PTEDPXOM0021,-,109.57,Portugal,-,USD,4.8,2.51,0.88,"Mar 14, 2082",1.5,4.61,-,2.29,4.96,2.29,EUR,"Sep 14, 2021","Sep 14, 2021"
BANCO DE SABADELL SA MTN RegS,Banking,Fixed Income,"110,002.79",0.16,"110,002.79","100,000.00",-,XS2353366268,-,109.46,Spain,-,USD,5.15,1.45,0.88,"Jun 16, 2028",0.88,5.28,-,1.45,5.28,1.45,EUR,"Jun 16, 2021","Jun 16, 2021"
ENERGIZER GAMMA ACQUISITION BV RegS,Consumer Non-Cyclical,Fixed Income,"109,903.28",0.16,"109,903.28","100,000.00",-,XS2353416386,-,109.9,United States,-,USD,6.26,4.06,0.88,"Jun 30, 2029",3.5,6.51,-,4.06,6.51,4.06,EUR,"Jun 23, 2021","Jun 23, 2021"
ALTICE FRANCE HOLDING SA RegS,Communications,Fixed Income,"109,882.67",0.16,"109,882.67","100,000.00",-,XS2138140798,BM636G4,108.18,Luxembourg,-,USD,5.29,4.94,0.88,"Feb 15, 2028",4.0,5.26,-,4.94,5.26,4.94,EUR,"Feb 06, 2020","Feb 06, 2020"
BANCO DE CREDITO SOCIAL COOPERATIV MTN RegS,Banking,Fixed Income,"109,680.10",0.16,"109,680.10","100,000.00",-,XS2383811424,-,109.06,Spain,-,USD,4.74,2.45,0.88,"Mar 09, 2028",1.75,4.9,-,2.45,4.91,2.45,EUR,"Sep 09, 2021","Sep 09, 2021"
EUROBANK SA (ATHINA) MTN RegS,Banking,Fixed Income,"109,659.43",0.16,"109,659.43","100,000.00",-,XS2338193019,-,108.16,Greece,-,USD,3.96,2.99,0.88,"May 05, 2027",2.0,4.07,-,2.99,4.08,2.99,EUR,"May 05, 2021","May 05, 2021"
ROLLS-ROYCE PLC MTN RegS,Capital Goods,Fixed Income,"109,648.18",0.16,"109,648.18","100,000.00",-,XS1819574929,BDT56X1,108.45,United Kingdom,-,USD,6.01,2.42,0.88,"May 09, 2028",1.63,5.87,-,2.42,5.87,2.42,EUR,"May 09, 2018","May 09, 2018"
BANCO COMERCIAL PORTUGUES SA MTN RegS,Banking,Fixed Income,"109,220.20",0.16,"109,220.20","100,000.00",-,PTBCPHOM0066,-,108.09,Portugal,-,USD,3.88,2.12,0.88,"Feb 12, 2027",1.13,3.95,-,2.12,3.96,2.12,EUR,"Feb 12, 2021","Feb 12, 2021"
SOFTBANK GROUP CORP RegS,Communications,Fixed Income,"109,203.27",0.16,"109,203.27","100,000.00",-,XS2361254597,-,107.62,Japan,-,USD,4.64,4.07,0.88,"Jan 06, 2027",2.88,4.54,-,4.07,4.54,4.07,EUR,"Jul 06, 2021","Jul 06, 2021"
BANCO COMERCIAL PORTUGUES SA MTN RegS,Banking,Fixed Income,"109,172.07",0.16,"109,172.07","100,000.00",-,PTBCPEOM0069,-,108.71,Portugal,-,USD,4.83,2.46,0.88,"Apr 07, 2028",1.75,4.97,-,2.46,4.98,2.46,EUR,"Oct 07, 2021","Oct 07, 2021"
ALPHA BANK SOCIETE ANONYME RegS,Banking,Fixed Income,"108,948.60",0.16,"108,948.60","100,000.00",-,XS2388172855,-,108.18,Greece,-,USD,4.63,3.36,0.88,"Mar 23, 2028",2.5,4.82,-,3.36,4.83,3.36,EUR,"Sep 23, 2021","Sep 23, 2021"
CASINO GUICHARD PERRACHON SA RegS,Consumer Non-Cyclical,Fixed Income,"108,912.13",0.16,"108,912.13","100,000.00",-,XS2328426445,-,107.67,France,-,USD,4.61,6.55,0.88,"Apr 15, 2027",5.25,4.47,-,6.55,4.47,6.55,EUR,"Apr 13, 2021","Apr 13, 2021"
EDP ENERGIAS DE PORTUGAL SA NC8 RegS,Electric,Fixed Income,"108,699.93",0.16,"108,699.93","100,000.00",-,PTEDPYOM0020,-,108.07,Portugal,-,USD,6.98,2.70,0.88,"Mar 14, 2082",1.88,6.84,-,2.62,7.1,2.62,EUR,"Sep 14, 2021","Sep 14, 2021"
EUROBANK SA (ATHINA) RegS,Banking,Fixed Income,"108,667.04",0.16,"108,667.04","100,000.00",-,XS2385386029,-,107.91,Greece,-,USD,4.64,3.15,0.88,"Mar 14, 2028",2.25,4.83,-,3.15,4.84,3.15,EUR,"Sep 14, 2021","Sep 14, 2021"
ADLER REAL ESTATE AG RegS,Financial Other,Fixed Income,"108,352.95",0.16,"108,352.95","100,000.00",-,XS1713464441,BD8ZD20,106.9,Germany,-,USD,1.31,6.76,0.88,"Apr 27, 2023",1.88,1.22,-,6.76,1.22,6.76,EUR,"Apr 27, 2018","Apr 27, 2018"
Q-PARK HOLDING I BV RegS,Transportation,Fixed Income,"107,983.45",0.16,"107,983.45","100,000.00",-,XS2115190451,BKTHZ39,107.23,Netherlands,-,USD,1.15,8.10,0.88,"Mar 01, 2027",2.0,1.11,-,8.10,1.11,8.10,EUR,"Feb 13, 2020","Feb 13, 2020"
SOFTBANK GROUP CORP RegS,Communications,Fixed Income,"107,775.06",0.16,"107,775.06","100,000.00",-,XS2362416617,-,105.65,Japan,-,USD,8.46,4.73,0.88,"Jul 06, 2032",3.88,8.29,-,4.73,8.29,4.73,EUR,"Jul 06, 2021","Jul 06, 2021"
DUFRY ONE BV RegS,Consumer Cyclical,Fixed Income,"106,027.41",0.16,"106,027.41","100,000.00",-,XS2079388828,-,105.17,Switzerland,-,USD,4.86,3.65,0.88,"Feb 15, 2027",2.0,4.76,-,3.65,4.76,3.65,EUR,"Nov 20, 2019","Nov 20, 2019"
RENAULT SA MTN RegS,Consumer Cyclical,Fixed Income,"105,930.99",0.16,"105,930.99","100,000.00",-,FR0013451416,BK79TR9,105.62,France,-,USD,5.6,2.47,0.88,"Oct 04, 2027",1.13,5.45,-,2.47,5.45,2.47,EUR,"Oct 04, 2019","Oct 04, 2019"
TELECOM ITALIA SPA MTN RegS,Communications,Fixed Income,"105,784.24",0.16,"105,784.24","100,000.00",-,XS2288109676,BM8DHB4,104.03,Italy,-,USD,6.6,2.98,0.88,"Jan 18, 2029",1.63,6.4,-,2.98,6.4,2.98,EUR,"Jan 18, 2021","Jan 18, 2021"
SIGMA HOLDCO BV RegS,Consumer Non-Cyclical,Fixed Income,"105,441.66",0.15,"105,441.66","100,000.00",-,XS1813504666,BD9C1P9,104.62,Netherlands,-,USD,3.88,8.12,0.88,"May 15, 2026",5.75,3.73,-,8.12,3.73,8.12,EUR,"May 09, 2018","May 09, 2018"
BLITZ F18-675 GMBH RegS,Industrial Other,Fixed Income,"105,253.45",0.15,"105,253.45","87,920.00",-,XS1859258383,BG1TGX2,116.87,Germany,-,USD,0.71,5.43,0.88,"Jul 30, 2026",6.0,3.88,-,4.11,0.56,4.11,EUR,"Jul 30, 2018","Jul 30, 2018"
INTERNATIONAL CONSOLIDATED AIRLINE RegS,Transportation,Fixed Income,"101,530.80",0.15,"101,530.80","100,000.00",-,XS2020581752,BGMGB37,100.69,United Kingdom,-,USD,5.29,3.85,0.88,"Jul 04, 2027",1.5,5.08,-,3.85,5.08,3.85,EUR,"Jul 04, 2019","Jul 04, 2019"
ADO PROPERTIES SA RegS,Financial Other,Fixed Income,"100,150.71",0.15,"100,150.71","100,000.00",-,XS2010029663,-,98.65,Germany,-,USD,3.4,7.59,0.88,"Aug 05, 2025",3.25,3.15,-,7.59,3.15,7.59,EUR,"Aug 05, 2020","Aug 05, 2020"
ADO PROPERTIES SA RegS,Financial Other,Fixed Income,"100,030.18",0.15,"100,030.18","100,000.00",-,XS1652965085,BD5MTP9,99.29,Germany,-,USD,2.53,7.07,0.88,"Jul 26, 2024",1.5,2.35,-,7.07,2.35,7.07,EUR,"Jul 27, 2017","Jul 27, 2017"
LHMC FINCO SARL RegS,Consumer Cyclical,Fixed Income,"97,896.27",0.14,"97,896.27","84,917.00",-,XS1849558900,BFWG282,115.09,Spain,-,USD,0.47,5.58,0.88,"Dec 20, 2023",6.25,1.83,-,3.60,0.46,3.60,EUR,"Jul 02, 2018","Jul 02, 2018"
ADLER GROUP SA RegS,Financial Other,Fixed Income,"97,219.89",0.14,"97,219.89","100,000.00",-,XS2283224231,-,95.17,Germany,-,USD,3.61,6.90,0.88,"Jan 14, 2026",1.88,3.38,-,6.90,3.38,6.90,EUR,"Jan 14, 2021","Jan 14, 2021"
ADLER GROUP SA RegS,Financial Other,Fixed Income,"97,035.87",0.14,"97,035.87","100,000.00",-,XS2336188029,-,95.3,Germany,-,USD,4.97,5.88,0.88,"Apr 27, 2027",2.25,4.68,-,5.88,4.68,5.88,EUR,"Apr 27, 2021","Apr 27, 2021"
MEDIOBANCA BANCA DI CREDITO FINANZ,Banking,Fixed Income,"94,943.65",0.14,"94,943.65","75,000.00",-,IT0005188351,BD49X60,124.28,Italy,-,USD,4.14,1.58,0.88,"Jun 16, 2026",3.75,4.06,-,1.58,4.06,1.58,EUR,"Jun 16, 2016","Jun 16, 2016"
BANCA MONTE DEI PASCHI DI SIENA SP MTN RegS,Banking,Fixed Income,"94,868.89",0.14,"94,868.89","100,000.00",-,XS1752894292,BFX3Q46,89.06,Italy,-,USD,0.99,9.99,0.88,"Jan 18, 2028",5.38,0.77,-,32.60,0.86,32.60,EUR,"Jan 18, 2018","Jan 18, 2018"
ZIGGO BV RegS,Communications,Fixed Income,"94,449.39",0.14,"94,449.39","80,000.00",-,XS1493836461,BYQ76G0,115.85,Netherlands,-,USD,2.45,3.88,0.88,"Jan 15, 2027",4.25,4.43,-,3.63,2.78,3.63,EUR,"Sep 23, 2016","Sep 23, 2016"
LANXESS AG RegS,Basic Industry,Fixed Income,"91,726.68",0.13,"91,726.68","75,000.00",-,XS1405763019,BDDN0B7,119.39,Germany,-,USD,1.39,4.69,0.88,"Dec 06, 2076",4.5,0.89,-,0.98,1.38,0.98,EUR,"Dec 06, 2016","Dec 06, 2016"
CARNIVAL PLC,Consumer Cyclical,Fixed Income,"85,205.10",0.13,"85,205.10","100,000.00",-,XS2066744231,BK5HMX2,85.01,United States,-,USD,7.51,4.93,0.88,"Oct 28, 2029",1.0,7.15,-,4.93,7.15,4.93,EUR,"Oct 28, 2019","Oct 28, 2019"
FORD CREDIT CANADA CO,Consumer Cyclical,Fixed Income,"82,729.01",0.12,"82,729.01","100,000.00",34527ACG3,CA34527ACG37,-,82.26,United States,-,USD,2.7,3.03,1.26,"Nov 13, 2024",4.46,2.67,-,3.03,2.67,3.03,CAD,"Nov 13, 2019","Nov 05, 2019"
BROOKFIELD PROPERTY FINANCE ULC MTN,Financial Other,Fixed Income,"80,713.12",0.12,"80,713.12","100,000.00",11286ZAE4,CA11286ZAE49,-,79.61,Canada,-,USD,3.34,3.75,1.26,"Aug 24, 2025",3.93,3.33,-,3.75,3.26,3.75,CAD,"Aug 24, 2020","Aug 24, 2020"
FORD CREDIT CANADA CO,Consumer Cyclical,Fixed Income,"80,526.41",0.12,"80,526.41","100,000.00",34527ACH1,CA34527ACH10,-,80.29,United States,-,USD,1.86,2.73,1.26,"Nov 30, 2023",3.5,1.84,-,2.73,1.84,2.73,CAD,"Nov 30, 2020","Nov 30, 2020"
PARKLAND CORP,Energy,Fixed Income,"79,491.44",0.12,"79,491.44","100,000.00",70137WAF5,CA70137WAF55,-,78.58,Canada,-,USD,5.88,4.50,1.26,"Mar 26, 2029",4.38,6.07,-,4.50,6.07,4.50,CAD,"Mar 25, 2021","Mar 25, 2021"
PARKLAND CORP 144A,Energy,Fixed Income,"78,468.57",0.12,"78,468.57","100,000.00",70137WAK4,CA70137WAK41,-,78.34,Canada,-,USD,4.09,4.13,1.26,"Jun 16, 2026",3.88,4.05,-,4.13,4.05,4.13,CAD,"Jun 16, 2021","Jun 16, 2021"
FORD CREDIT CANADA CO,Consumer Cyclical,Fixed Income,"78,437.86",0.12,"78,437.86","100,000.00",34527ACJ7,CA34527ACJ75,-,77.76,United States,-,USD,4.36,3.37,1.26,"Sep 16, 2026",2.96,4.31,-,3.37,4.31,3.37,CAD,"Sep 16, 2021","Sep 16, 2021"
MEDIOBANCA SPA,Banking,Fixed Income,"62,828.61",0.09,"62,828.61","50,000.00",-,IT0004917842,B906YJ7,121.05,Italy,-,USD,1.25,0.70,0.88,"Apr 18, 2023",5.75,1.24,-,0.70,1.24,0.70,EUR,"Apr 18, 2013","Apr 18, 2013"
FORD CREDIT CANADA CO,Consumer Cyclical,Fixed Income,"60,579.03",0.09,"60,579.03","75,000.00",34527ACA6,CA34527ACA66,-,80.34,United States,-,USD,1.32,2.62,1.26,"May 08, 2023",3.74,1.31,-,2.62,1.31,2.62,CAD,"May 08, 2018","May 08, 2018"
DEUTSCHE LUFTHANSA AG,Transportation,Fixed Income,"55,090.21",0.08,"55,090.21","50,000.00",-,XS2049726990,-,110.09,Germany,-,USD,2.68,1.47,0.88,"Sep 06, 2024",0.25,2.64,-,1.47,2.64,1.47,EUR,"Sep 06, 2019","Sep 06, 2019"
VIDEOTRON LTD,Communications,Fixed Income,"42,774.67",0.06,"42,774.67","50,000.00",92660FAF1,CA92660FAF14,BBH85X1,84.61,Canada,-,USD,2.94,3.50,1.26,"Jun 15, 2025",5.63,3.11,-,3.34,2.91,3.34,CAD,"Jun 17, 2013","Jun 17, 2013"
